timestamp,passed_time,side,cut_length,time,speed,event_type,start,end
2021.4.16 15:36:18:71,3.487,left,0.5088952615316445,0.386,1.3183815065586646,4,264,298
2021.4.16 15:36:18:175,3.591,right,0.466787666809765,0.404,1.155415016855854,4,272,307
2021.4.16 15:36:18:515,3.931,right,0.1414626436994197,0.159,0.8897021616315703,4,324,337
2021.4.16 15:36:18:989,4.405,right,0.5670365074989353,0.301,1.8838422176044363,2,354,380
2021.4.16 15:36:19:436,4.852,right,0.3515747534559558,0.281,1.251155706248953,2,396,420
2021.4.16 15:36:19:825,5.241,left,0.4948210734462214,0.312,1.5859649789942993,2,428,455
2021.4.16 15:36:20:442,5.858,left,0.5450452965268139,0.338,1.6125600488958989,4,481,510
2021.4.16 15:36:20:465,5.881,right,0.7950625548583165,0.483,1.646092246083471,4,470,512
2021.4.16 15:36:20:768,6.184,right,0.28346322386299416,0.247,1.147624388109288,4,518,539
2021.4.16 15:36:21:166,6.582,right,0.5662189810835311,0.279,2.029458713561043,2,551,575
2021.4.16 15:36:21:801,7.217,right,0.5570674119390809,0.456,1.2216390612699144,1,592,631
2021.4.16 15:36:22:106,7.522,left,0.5858761853601042,0.346,1.6932837727170644,1,629,659
2021.4.16 15:36:22:267,7.683,right,0.2277123740450301,0.208,1.094771029062645,4,656,673
2021.4.16 15:36:22:697,8.113,left,0.9580329299790418,0.469,2.0427141364158676,4,671,712
2021.4.16 15:36:22:742,8.158,right,0.6674834597349064,0.312,2.139370063252905,4,689,716
2021.4.16 15:36:23:56,8.472,left,0.4387508775609667,0.29200000000000004,1.502571498496461,4,719,744
2021.4.16 15:36:23:68,8.484,right,0.42009966566749296,0.29200000000000004,1.4386974851626468,4,720,745
2021.4.16 15:36:23:769,9.185,left,0.4585087978513397,0.28,1.6375314208976417,2,784,808
2021.4.16 15:36:23:992,9.408,right,1.4890652869374332,0.748,1.9907289932318626,2,762,828
2021.4.16 15:36:24:607,10.023,right,0.406032014054797,0.201,2.0200597714169004,1,866,883
