timestamp,passed_time,side,cut_length,time,speed,event_type,start,end
2021.4.19 10:13:46:349,3.347,left,0.30689625145774535,0.19,1.6152434287249755,4,272,288
2021.4.19 10:13:46:468,3.466,left,0.12656854249492383,0.108,1.1719309490270726,4,290,299
2021.4.19 10:13:46:545,3.543,right,0.4590028054077768,0.242,1.8967058074701522,4,285,306
2021.4.19 10:13:46:804,3.802,left,0.20535169427003236,0.191,1.0751397605760857,4,313,329
2021.4.19 10:13:46:814,3.8120000000000003,right,0.2421075947218795,0.213,1.1366553742811245,4,312,330
2021.4.19 10:13:47:511,4.509,right,0.6649457235079221,0.402,1.6540938395719456,2,357,392
2021.4.19 10:13:47:645,4.643,right,0.1165685424949239,0.123,0.9477117276010074,2,394,404
2021.4.19 10:13:48:214,5.212,left,0.5044838959105136,0.30200000000000005,1.6704764765248792,2,429,455
2021.4.19 10:13:48:482,5.48,left,0.1356047793231508,0.143,0.9482851700919637,4,467,479
2021.4.19 10:13:48:695,5.693,right,0.7048782844289561,0.423,1.6663789229998962,4,461,498
2021.4.19 10:13:48:729,5.727,left,0.3737336013992199,0.235,1.5903557506349784,4,481,501
2021.4.19 10:13:48:975,5.973,left,0.2651471751741247,0.18,1.4730398620784708,4,508,523
2021.4.19 10:13:49:74,6.072,right,0.4084789448447288,0.267,1.5298836885570366,4,509,532
2021.4.19 10:13:49:576,6.574,right,0.6914028414980148,0.39,1.7728277987128584,2,543,577
2021.4.19 10:13:49:867,6.865,right,0.27945254243165296,0.247,1.131386811464182,2,582,603
2021.4.19 10:13:50:170,7.168,left,0.1065685424949237,0.101,1.0551340841081553,1,622,630
2021.4.19 10:13:50:437,7.435,left,0.5420216819231796,0.234,2.316331974030682,1,634,654
2021.4.19 10:13:50:973,7.971,right,0.5374671703325983,0.267,2.0129856566763977,4,679,702
2021.4.19 10:13:51:19,8.017,left,0.9544872629943493,0.492,1.9400147621836368,4,663,706
2021.4.19 10:13:51:241,8.239,left,0.14071067811865473,0.145,0.9704184697838258,4,714,726
2021.4.19 10:13:51:476,8.474,right,0.31702613556046016,0.302,1.0497554157631133,4,721,747
2021.4.19 10:13:51:976,8.974,right,0.9118776964861873,0.377,2.4187737307325925,2,759,792
2021.4.19 10:13:52:133,9.131,left,0.5228952129685717,0.275,1.9014371380675332,2,782,806
2021.4.19 10:13:52:436,9.434,right,0.4180629525522611,0.347,1.2047923704676113,2,803,833
2021.4.19 10:13:52:548,9.546,left,0.4000317663579179,0.36,1.1111993509942164,2,812,843
2021.4.19 10:13:52:693,9.691,left,0.11828427124746198,0.134,0.8827184421452385,1,845,856
2021.4.19 10:13:52:928,9.926,right,0.4737138645069991,0.246,1.9256661158821102,1,856,877
2021.4.19 10:13:53:151,10.149,left,0.27067191203983776,0.144,1.8796660558322067,1,885,897
2021.4.19 10:13:53:274,10.272,right,0.2852859671738374,0.246,1.1596990535521847,1,887,908
2021.4.19 10:13:53:386,10.384,left,0.1165685424949238,0.123,0.9477117276010064,1,908,918
2021.4.19 10:13:53:800,10.798,left,0.5101622053016558,0.289,1.7652671463725116,4,930,955
2021.4.19 10:13:54:35,11.033,left,0.27849824105185017,0.22399999999999998,1.2432957189814742,4,957,976
