timestamp,passed_time,side,cut_length,time,speed,event_type,start,end
2021.4.11 16:07:08:387,3.492,right,0.28079834824110617,0.2,1.4039917412055307,4,259,276
2021.4.11 16:07:08:421,3.526,left,0.19045759306553628,0.178,1.0699864778962713,4,264,279
2021.4.11 16:07:08:578,3.683,left,0.10796545909814857,0.101,1.0689649415658273,4,285,293
2021.4.11 16:07:08:660,3.765,right,0.30652942724619364,0.228,1.3444273124833055,4,281,300
2021.4.11 16:07:09:120,4.225,right,0.21777810114122512,0.20099999999999996,1.0834731400060953,2,325,342
2021.4.11 16:07:09:346,4.451,right,0.44612707487582237,0.181,2.4647904689271956,2,347,362
2021.4.11 16:07:10:255,5.36,left,0.3802530739696288,0.31499999999999995,1.2071526157765997,2,416,443
2021.4.11 16:07:10:764,5.869,left,0.16252608362217538,0.146,1.1131923535765438,4,477,489
2021.4.11 16:07:11:504,6.609,right,0.3413936001378303,0.178,1.9179415738080356,2,540,555
2021.4.11 16:07:12:604,7.709,left,0.1786761372168033,0.153,1.167817890305904,4,641,654
2021.4.11 16:07:12:729,7.834,right,0.29762087554939065,0.169,1.7610702695230216,4,651,665
2021.4.11 16:07:13:869,8.974,right,0.46367283279037774,0.198,2.3417819837897866,2,750,767
2021.4.11 16:07:14:218,9.323,left,0.1379654590981487,0.136,1.0144519051334462,2,787,798
2021.4.11 16:07:14:796,9.901,right,0.3427560828824354,0.178,1.9255959712496373,1,835,850
2021.4.11 16:07:15:355,10.46,left,0.2036505818199175,0.179,1.1377127475973046,4,885,900
2021.4.11 16:07:15:401,10.506,right,0.40527862936651465,0.348,1.164593762547456,4,874,904
2021.4.11 16:07:15:603,10.708,left,0.2013556291411145,0.192,1.0487272351099712,4,906,922
2021.4.11 16:07:15:716,10.821,right,0.40131447302312756,0.226,1.7757277567395024,4,913,932
2021.4.11 16:07:16:173,11.278,right,0.38834714896804856,0.168,2.3115901724288603,4,959,973
2021.4.11 16:07:16:187,11.292,left,0.32773371494758163,0.20399999999999996,1.6065378183704986,4,957,974
2021.4.11 16:07:16:497,11.602,left,0.28660249214971134,0.224,1.2794754113826399,4,983,1002
2021.4.11 16:07:16:519,11.624,right,0.341151110045207,0.246,1.3867931302650691,4,983,1004
