timestamp,passed_time,side,cut_length,time,speed,event_type,start,end
2021.3.30 20:42:21:355,2.028,right,0.10656854249492381,0.223,0.4778858407844117,0,61,70
2021.3.30 20:42:22:750,3.423,right,0.11892922226992161,0.32,0.371653819593505,4,121,130
2021.3.30 20:42:23:376,4.049,left,0.6489566744031418,0.927,0.7000611374359673,4,122,152
2021.3.30 20:42:23:436,4.109,right,0.5964423294706149,0.618,0.9651170379783414,2,133,155
2021.3.30 20:42:24:73,4.746,right,0.437673939259726,0.501,0.8736006771651217,2,162,183
2021.3.30 20:42:24:192,4.865,left,0.16064495102245968,0.29000000000000004,0.5539481069739989,2,177,189
2021.3.30 20:42:25:139,5.812,left,0.863689178012485,0.722,1.196245398909259,4,200,230
2021.3.30 20:42:25:590,6.263,left,0.19649032308095304,0.401,0.4900008056881622,4,233,244
2021.3.30 20:42:25:590,6.263,right,0.6051171031807829,0.764,0.792038093168564,4,218,244
2021.3.30 20:42:26:609,7.282,left,0.20714776642118862,0.37,0.5598588281653747,1,268,282
2021.3.30 20:42:26:609,7.282,right,0.6785126102189577,0.921,0.7367129318338302,1,248,282
2021.3.30 20:42:27:530,8.203,right,0.39429733212867357,0.421,0.9365732354600322,4,298,313
2021.3.30 20:42:31:487,12.16,left,3.326990014866425,4.847,0.6864019011484268,2,284,405
2021.3.30 20:42:33:233,13.906,left,0.7590915887592797,1.405,0.5402787108606973,1,413,444
2021.3.30 20:42:33:322,13.995,right,3.792682226509778,5.727,0.6622458925283355,1,317,446
2021.3.30 20:42:34:313,14.986,right,0.5963393639774694,0.9410000000000001,0.6337293984882778,1,448,467
2021.3.30 20:42:34:664,15.337,right,0.12482653998134463,0.312,0.4000850640427713,1,469,475
2021.3.30 20:42:35:217,15.89,right,0.15300563079745763,0.496,0.308479094349713,2,477,487
2021.3.30 20:42:36:690,17.363,right,0.4031246409008044,1.284,0.31396000070156105,1,492,519
2021.3.30 20:42:37:187,17.86,left,0.6792664072488724,0.988,0.6875166065271988,2,509,530
2021.3.30 20:42:37:798,18.471,right,0.27753963239053,0.972,0.2855346012248251,1,523,543
2021.3.30 20:42:38:397,19.07,left,1.0820675826032162,1.17,0.9248440876950567,2,532,556
2021.3.30 20:42:39:557,20.23,left,0.8570989436338219,1.107,0.774253788287102,2,558,581
2021.3.30 20:42:40:391,21.064,left,0.1815905426604055,0.43500000000000005,0.417449523357254,2,591,599
2021.3.30 20:42:41:480,22.153,right,0.677460887574766,1.371,0.4941363147883049,3,594,623
2021.3.30 20:42:42:171,22.844,left,0.3679640713050393,0.777,0.47357023333981885,1,622,638
2021.3.30 20:42:42:406,23.079,right,0.2516426638490205,0.875,0.287591615827452,1,625,643
2021.3.30 20:42:42:816,23.489,right,0.11640986324787461,0.368,0.31633115013009405,2,645,652
2021.3.30 20:42:42:868,23.541,left,0.16446827449687745,0.552,0.29794977263927075,2,642,653
2021.3.30 20:42:44:846,25.519,right,1.2271355438374492,1.978,0.6203920848520976,2,654,697
2021.3.30 20:42:45:69,25.742,left,0.12990704784914558,0.46199999999999997,0.2811840862535619,2,693,702
2021.3.30 20:42:45:563,26.236,left,0.344016309372484,0.398,0.8643625863630251,1,705,713
2021.3.30 20:42:48:510,29.183,right,0.37396402822023117,0.915,0.4087038559783947,2,757,777
2021.3.30 20:42:49:41,29.714,left,1.5763593621535077,3.418,0.4611934939009677,2,715,785
2021.3.30 20:42:50:408,31.081,left,0.4501828315720378,1.2690000000000001,0.3547540043908887,4,787,801
2021.3.30 20:42:51:89,31.762,right,0.6678150711742542,1.95,0.3424692672688483,1,787,813
2021.3.30 20:42:52:216,32.889,left,1.30557469538812,1.722,0.7581734584135424,1,803,835
2021.3.30 20:42:53:80,33.753,left,0.6437110695962128,0.808,0.796672115836897,4,837,849
2021.3.30 20:42:53:80,33.753,right,1.331605096105398,1.946,0.6842780555526198,4,815,849
2021.3.30 20:42:54:12,34.685,left,0.18194891547483022,0.796,0.22857903954124398,2,852,864
2021.3.30 20:42:54:736,35.409,left,0.4622618109942724,0.66,0.7003966833246551,2,866,876
2021.3.30 20:42:57:182,37.855,left,1.630057227071666,2.387,0.6828894960501324,3,878,915
2021.3.30 20:43:00:538,41.211,left,2.7615497953610175,3.291,0.8391217852813788,2,917,969
2021.3.30 20:43:02:752,43.425,left,1.5232031994102895,1.989,0.7658135743641475,4,974,1006
2021.3.30 20:43:06:750,47.423,left,3.5544479936917655,3.88,0.9160948437349912,2,1009,1071
2021.3.30 20:43:07:735,48.408,left,0.10382332347441771,0.502,0.20681936947095161,1,1080,1087
2021.3.30 20:43:12:639,53.312,left,2.902819887157518,4.848,0.5987664783740756,2,1089,1166
2021.3.30 20:43:16:948,57.621,left,3.117016725400471,4.243,0.7346256717889396,2,1168,1235
2021.3.30 20:43:18:233,58.906,left,1.3888247917471799,1.23,1.1291258469489267,1,1237,1256
2021.3.30 20:43:19:907,60.58,left,1.0021210525377382,1.6099999999999999,0.6224354363588437,1,1258,1283
2021.3.30 20:43:20:796,61.469,left,0.5518119286317851,0.832,0.6632354911439725,2,1285,1297
2021.3.30 20:43:21:855,62.528,right,27.387412746631814,28.639,0.9562978018307837,2,852,1314
2021.3.30 20:43:26:249,66.922,left,3.828132859540032,5.2,0.7361793960653907,1,1302,1384
2021.3.30 20:43:26:581,67.254,right,4.317079854891962,4.662,0.9260145548888808,1,1316,1389
2021.3.30 20:43:26:649,67.322,left,0.11387692602220872,0.334,0.3409488803060141,1,1386,1390
2021.3.30 20:43:28:459,69.132,left,0.45826142229413747,0.825,0.5554683906595606,2,1407,1419
2021.3.30 20:43:29:867,70.54,right,2.002519719529093,2.539,0.7887041037924746,4,1402,1441
2021.3.30 20:43:30:709,71.382,left,1.2017448107678652,1.8639999999999999,0.6447128813132325,4,1426,1455
2021.3.30 20:43:30:830,71.503,right,0.19869019962425427,0.908,0.21882180575358398,4,1443,1457
2021.3.30 20:43:34:153,74.826,left,1.2193178527840844,2.183,0.5585514671480003,4,1476,1510
2021.3.30 20:43:35:280,75.953,left,0.12478708664619079,0.706,0.17675224737420792,4,1518,1528
2021.3.30 20:43:35:340,76.013,right,3.324368907425968,4.308,0.7716733768398254,4,1461,1529
2021.3.30 20:43:37:310,77.983,left,0.502204701233993,1.218,0.4123191307339844,2,1542,1560
2021.3.30 20:43:39:433,80.106,left,1.1936679471290257,1.854,0.643833844190413,2,1565,1593
2021.3.30 20:43:41:532,82.205,left,1.4216703088322815,2.041,0.6965557613093001,2,1595,1626
2021.3.30 20:43:42:290,82.963,right,5.32701207870932,6.893,0.7728147510096214,2,1531,1638
2021.3.30 20:43:42:929,83.602,left,0.7351727479174764,1.335,0.5506911969419299,1,1628,1648
2021.3.30 20:43:43:285,83.958,right,0.8295482947033798,0.808,1.0266686815635888,1,1642,1654
2021.3.30 20:43:44:818,85.491,left,1.5193155080454475,1.833,0.8288682531617281,1,1650,1679
2021.3.30 20:43:46:443,87.116,left,0.8086057861979034,1.06,0.7628356473565125,2,1689,1705
2021.3.30 20:43:46:919,87.592,right,3.4185928078150263,3.5709999999999997,0.9573208646919704,2,1656,1713
2021.3.30 20:43:48:694,89.367,right,1.3717487084517561,1.588,0.8638216048184861,4,1717,1743
2021.3.30 20:43:52:745,93.418,left,5.809595033786395,6.2379999999999995,0.931323346230586,4,1707,1810
2021.3.30 20:43:52:997,93.67,right,3.8558378972859177,4.244,0.9085386185876339,4,1745,1814
2021.3.30 20:43:53:729,94.402,left,0.14277916867529372,0.732,0.19505350911925373,1,1815,1826
2021.3.30 20:43:55:113,95.786,left,0.862696123712545,1.329,0.6491317710402897,2,1828,1848
2021.3.30 20:43:56:76,96.749,left,0.6762653267474406,0.9,0.7514059186082672,1,1850,1863
2021.3.30 20:43:59:766,100.439,left,3.3961044990977993,3.636,0.9340221394658413,4,1865,1921
2021.3.30 20:44:01:284,101.957,left,1.6609350584816265,1.459,1.1384064828523828,4,1923,1945
2021.3.30 20:44:01:726,102.399,right,9.660558218595042,8.663,1.1151515893564634,4,1816,1952
2021.3.30 20:44:03:205,103.878,left,2.077114470315692,1.861,1.1161281409541601,4,1947,1976
2021.3.30 20:44:06:928,107.601,left,3.5135964000011852,3.656,0.9610493435451819,4,1978,2035
2021.3.30 20:44:08:160,108.833,left,0.13300563079745772,0.617,0.21556828330220054,2,2046,2055
2021.3.30 20:44:12:664,113.337,right,13.759960443295,10.877,1.2650510658540957,2,1954,2127
2021.3.30 20:44:14:937,115.61,right,1.1007640087970496,2.206,0.4989864047130778,2,2129,2163
2021.3.30 20:44:21:407,122.08,left,10.922606470484288,10.302,1.0602413580357493,2,2103,2266
2021.3.30 20:44:23:186,123.859,left,1.6803193942904642,1.71,0.9826429206376983,2,2268,2294
2021.3.30 20:44:23:436,124.109,right,8.830081998188453,8.437,1.0465902569857122,2,2165,2298
2021.3.30 20:44:24:460,125.133,right,1.212447868313058,0.969,1.2512361902095541,1,2300,2315
2021.3.30 20:44:24:593,125.266,left,1.4364245994780969,1.347,1.0663879728864862,1,2296,2317
2021.3.30 20:44:26:538,127.211,left,1.2287469533010607,1.109,1.1079774150595678,2,2332,2349
2021.3.30 20:44:27:34,127.707,left,0.10342411969775356,0.42600000000000005,0.24277962370364684,1,2351,2357
2021.3.30 20:44:29:886,130.559,right,6.51837111877093,5.179,1.2586157788706178,4,2320,2403
2021.3.30 20:44:32:650,133.323,left,4.728964982105981,4.981,0.9494007191539814,0,2368,2447
2021.3.30 20:44:33:393,134.066,right,2.4304574163227954,3.4379999999999997,0.7069393299368225,0,2405,2459
2021.3.30 20:44:40:566,141.239,left,0.241535697519448,1.09,0.22159238304536513,0,2559,2575
