timestamp,passed_time,side,cut_length,time,speed,event_type,start,end
2021.4.19 10:16:15:62,2.643,left,0.24130923539728372,0.20199999999999996,1.194600175234078,0,207,224
2021.4.19 10:16:15:443,3.024,left,0.28656125291633355,0.258,1.1107025306834633,0,236,258
2021.4.19 10:16:15:499,3.08,right,0.1721733218180744,0.168,1.0248412012980619,0,249,263
2021.4.19 10:16:15:947,3.528,left,0.36043087771428756,0.168,2.1454218911564733,4,289,303
2021.4.19 10:16:16:92,3.673,right,0.7963651767681096,0.47,1.6943939931236376,4,275,316
2021.4.19 10:16:17:500,5.081,right,2.024255493744672,0.984,2.057170217220195,2,355,442
2021.4.19 10:16:17:633,5.214,left,0.7371315680296695,0.291,2.533098171923263,2,429,454
2021.4.19 10:16:18:291,5.872,right,0.8247688823400765,0.45699999999999996,1.8047459132167978,4,473,513
2021.4.19 10:16:18:336,5.917,left,1.0756693034574345,0.646,1.6651227607700223,4,460,517
2021.4.19 10:16:18:628,6.209,left,0.1402457954745282,0.135,1.0388577442557645,4,532,543
2021.4.19 10:16:18:650,6.231,right,0.12656854249492383,0.134,0.9445413619024166,4,534,545
2021.4.19 10:16:19:62,6.643,right,1.0629753771319546,0.402,2.644217356049638,2,547,582
2021.4.19 10:16:19:650,7.231,right,0.6107979961545695,0.432,1.4138842503578,1,597,635
2021.4.19 10:16:20:32,7.6129999999999995,left,0.8559825992531163,0.371,2.3072307257496396,1,637,669
2021.4.19 10:16:20:449,8.03,left,1.1346962435509536,0.405,2.8017191198788973,4,671,706
2021.4.19 10:16:20:548,8.129,right,0.7625931009538148,0.368,2.0722638612875404,4,683,715
2021.4.19 10:16:20:928,8.509,right,0.2885227771434,0.234,1.233003321125641,1,729,749
2021.4.19 10:16:21:643,9.224,left,0.9018473380066698,0.324,2.783479438292191,2,785,813
2021.4.19 10:16:21:643,9.224,right,1.5950975715677405,0.569,2.80333492366914,2,763,813
2021.4.19 10:16:22:56,9.637,right,0.5977660834292046,0.403,1.4832905296010037,1,815,850
2021.4.19 10:16:22:79,9.66,left,0.679463679664269,0.381,1.7833692379639607,1,819,852
2021.4.19 10:16:22:382,9.963,left,0.10242640687119292,0.113,0.9064283793910878,1,870,879
2021.4.19 10:16:22:492,10.073,right,0.6435960207913592,0.269,2.392550263164904,1,866,889
2021.4.19 10:16:22:705,10.286,left,0.4218935108237921,0.258,1.6352461659836903,1,886,908
2021.4.19 10:16:22:771,10.352,right,0.2870601334439803,0.245,1.1716740140570625,1,893,914
2021.4.19 10:16:23:207,10.788,left,0.5114701573227634,0.21199999999999997,2.412595081711148,4,935,953
2021.4.19 10:16:23:207,10.788,right,0.9543227481346356,0.42400000000000004,2.250761198430744,4,916,953
2021.4.19 10:16:23:306,10.887,left,0.2768426388232372,0.089,3.1105914474521033,4,955,962
2021.4.19 10:16:23:945,11.526,left,1.3606033476663493,0.628,2.1665658402330403,4,964,1019
2021.4.19 10:16:23:956,11.537,right,1.5414702004291305,0.739,2.0858866040989588,4,955,1020
2021.4.19 10:16:24:224,11.805,left,0.12071067811865471,0.124,0.9734732106343122,4,1034,1044
2021.4.19 10:16:24:579,12.16,right,0.3272062039387934,0.273,1.1985575235853236,2,1052,1076
2021.4.19 10:16:24:926,12.507,right,0.9536736113993861,0.336,2.83831431964103,2,1078,1107
2021.4.19 10:16:25:72,12.653,right,0.1430713578936526,0.134,1.0676967006989,2,1109,1120
2021.4.19 10:16:25:240,12.821,left,0.3007373381948522,0.224,1.3425774026555901,1,1116,1135
2021.4.19 10:16:25:340,12.921,right,0.16388905057061265,0.167,0.9813715603030697,1,1130,1144
2021.4.19 10:16:25:631,13.212,right,0.37508611689913807,0.28,1.3395932746397787,1,1146,1170
2021.4.19 10:16:25:654,13.235,left,0.630801986180056,0.404,1.5613910549011287,2,1137,1172
2021.4.19 10:16:26:613,14.194,right,2.4897705337286724,0.971,2.5641303127998687,1,1172,1258
2021.4.19 10:16:27:160,14.741,right,1.3195387587944347,0.492,2.68198934714316,2,1264,1307
2021.4.19 10:16:28:289,15.87,right,2.69444546933037,1.038,2.595804883747948,2,1316,1408
2021.4.19 10:16:28:971,16.552,right,1.361869832359877,0.548,2.485163927664009,2,1421,1469
2021.4.19 10:16:29:60,16.641,left,0.13974691494688163,0.14500000000000002,0.9637718272198732,2,1465,1477
2021.4.19 10:16:29:375,16.956,left,0.9057711316060233,0.27,3.354707894837123,2,1482,1505
2021.4.19 10:16:30:10,17.591,left,1.2567736124663564,0.626,2.007625579019739,1,1507,1562
2021.4.19 10:16:30:503,18.084,left,1.1415053747467858,0.437,2.612140445644819,2,1568,1606
2021.4.19 10:16:31:92,18.673,left,1.2371266171775244,0.5800000000000001,2.132976926168145,1,1608,1659
2021.4.19 10:16:31:283,18.864,left,0.45572236603247285,0.179,2.545935005768005,2,1661,1676
2021.4.19 10:16:31:595,19.176,left,0.7264666180598925,0.234,3.1045581968371474,2,1684,1704
2021.4.19 10:16:32:199,19.78,left,1.2751510772019536,0.593,2.150339084657595,1,1706,1758
2021.4.19 10:16:32:700,20.281,left,1.1899923329507551,0.468,2.542718660151186,2,1762,1803
2021.4.19 10:16:32:980,20.561,left,0.31408840407257754,0.268,1.1719716569872296,2,1805,1828
2021.4.19 10:16:33:461,21.042,left,1.1182818127338578,0.47,2.379323005816719,2,1830,1871
2021.4.19 10:16:33:807,21.388,left,0.3782696920902816,0.3,1.2608989736342722,2,1876,1902
2021.4.19 10:16:33:862,21.443,right,1.238933369396878,0.547,2.2649604559357917,2,1859,1907
2021.4.19 10:16:34:410,21.991,right,0.8544129687367304,0.45699999999999996,1.869612623056303,1,1916,1956
