event,lc_s_x_min,lc_s_x_mean,lc_s_x_max,lc_s_y_min,lc_s_y_mean,lc_s_y_max,lc_s_z_min,lc_s_z_mean,lc_s_z_max,rc_s_x_min,rc_s_x_mean,rc_s_x_max,rc_s_y_min,rc_s_y_mean,rc_s_y_max,rc_s_z_min,rc_s_z_mean,rc_s_z_max
4,0.0,0.039458483754512635,0.1,0.0,0.046859205776173286,0.3,0.0,0.02220216606498195,0.14,0.0,0.02220216606498195,0.14,0.0,0.057256317689530684,0.32,0.0,0.02292418772563177,0.06
2,0.0,0.054189189189189184,0.16,0.01,0.5433783783783784,1.86,0.01,0.3812162162162162,1.2,0.01,0.3812162162162162,1.2,0.01,0.8166216216216217,2.75,0.02,0.48162162162162164,1.63
2,0.0,0.15573333333333333,0.26,0.0,0.15000000000000002,0.39,0.05,0.11773333333333333,0.38,0.05,0.11773333333333333,0.38,0.03,0.9898666666666668,1.98,0.04,0.7070666666666667,1.87
4,0.03,0.519795918367347,0.95,0.02,0.91,1.65,0.05,0.4846938775510204,0.99,0.05,0.4846938775510204,0.99,0.01,0.4569387755102041,0.91,0.06,0.17489795918367348,0.43
2,0.01,0.263918918918919,0.74,0.01,0.8852702702702702,2.99,0.01,0.5156756756756757,1.67,0.01,0.5156756756756757,1.67,0.02,0.7540540540540541,2.73,0.0,0.5112162162162162,1.55
1,0.0,0.1436842105263158,0.38,0.01,0.38947368421052636,1.68,0.01,0.1592105263157895,0.59,0.01,0.1592105263157895,0.59,0.03,0.9606578947368419,2.99,0.01,0.6196052631578947,1.88
4,0.0,0.09673469387755103,0.37,0.0,0.9287755102040816,2.29,0.0,0.5495918367346939,1.2,0.0,0.5495918367346939,1.2,0.01,0.32204081632653064,0.5,0.0,0.07795918367346938,0.33
1,0.01,0.6369333333333334,1.64,0.0,1.1392,3.35,0.02,0.6501333333333335,1.77,0.02,0.6501333333333335,1.77,0.02,0.9333333333333331,3.03,0.01,0.6892000000000001,2.08
2,0.23,0.30375,0.42,0.0,0.07458333333333333,0.27,0.04,0.08791666666666668,0.2,0.04,0.08791666666666668,0.2,0.45,1.04,1.82,0.34,0.5666666666666667,0.74
1,0.02,0.4850000000000001,0.92,0.0,0.8407894736842105,2.14,0.0,0.35039473684210537,0.93,0.0,0.35039473684210537,0.93,0.05,0.9589473684210525,3.63,0.02,1.0292105263157894,3.48
1,0.26,0.32833333333333337,0.43,0.17,0.28750000000000003,0.49,0.19,0.23291666666666666,0.35,0.19,0.23291666666666666,0.35,0.35,0.5445833333333333,1.04,0.37,0.41583333333333333,0.46
4,0.02,0.28079999999999994,0.46,0.03,1.2613999999999999,3.15,0.04,0.6753999999999999,1.96,0.04,0.6753999999999999,1.96,0.03,1.2784,2.95,0.02,1.0666000000000002,2.99
4,0.09,0.5922448979591837,1.29,0.21,1.0459183673469388,1.95,0.01,0.6022448979591837,1.17,0.01,0.6022448979591837,1.17,0.26,1.2689795918367346,2.42,0.08,1.0238775510204081,1.69
2,0.0,0.3733333333333332,1.27,0.01,0.7686868686868686,3.7,0.01,0.42848484848484836,1.24,0.01,0.42848484848484836,1.24,0.0,1.0354545454545454,4.26,0.0,0.7228282828282828,1.77
1,0.0,0.14820000000000003,0.42,0.0,0.0742,0.2,0.01,0.0616,0.15,0.01,0.0616,0.15,0.01,0.88,1.72,0.0,0.5893999999999999,1.31
2,0.06,0.5406,1.06,0.12,0.6603999999999999,1.43,0.02,0.3875999999999999,1.25,0.02,0.3875999999999999,1.25,0.11,0.2748,0.54,0.0,0.13060000000000002,0.32
1,0.0,0.17326530612244898,0.33,0.0,0.03755102040816327,0.12,0.06,0.2773469387755102,0.39,0.06,0.2773469387755102,0.39,0.0,0.5308163265306123,1.42,0.04,0.5795918367346938,1.32
2,0.0,0.12040000000000001,0.26,0.0,0.11200000000000002,0.16,0.0,0.1114,0.29,0.0,0.1114,0.29,0.02,0.9172,2.57,0.01,0.44559999999999994,0.95
1,0.0,0.04039999999999999,0.11,0.0,0.028800000000000003,0.09,0.0,0.033400000000000006,0.06,0.0,0.033400000000000006,0.06,0.02,1.1764,2.23,0.0,0.8049999999999998,1.94
2,0.01,0.0808,0.15,0.0,0.0472,0.1,0.0,0.05040000000000001,0.1,0.0,0.05040000000000001,0.1,0.01,1.2302,2.66,0.04,0.6552,1.2
2,0.0,0.03428571428571429,0.08,0.0,0.028571428571428574,0.06,0.0,0.038979591836734696,0.08,0.0,0.038979591836734696,0.08,0.09,1.2110204081632654,2.61,0.05,0.8267346938775512,2.08
2,0.0,0.1158,0.27,0.01,0.0638,0.18,0.0,0.08780000000000002,0.15,0.0,0.08780000000000002,0.15,0.01,1.4454,3.55,0.1,1.0316,1.69
1,0.0,0.6676000000000001,1.49,0.0,1.0708000000000002,2.32,0.01,0.5446,1.26,0.01,0.5446,1.26,0.0,0.317,0.51,0.0,0.2114,0.38
2,0.06,0.7608163265306122,1.77,0.01,1.0842857142857143,2.16,0.01,0.5508163265306123,1.03,0.01,0.5508163265306123,1.03,0.02,0.13530612244897958,0.28,0.04,0.13653061224489796,0.25
1,0.02,0.7502,1.55,0.07,0.9574000000000001,1.76,0.0,0.4942,1.01,0.0,0.4942,1.01,0.0,0.06319999999999999,0.12,0.01,0.0806,0.13
2,0.12,0.8006,1.45,0.01,0.9614,1.74,0.04,0.6039999999999999,0.98,0.04,0.6039999999999999,0.98,0.0,0.04279999999999999,0.09,0.0,0.0766,0.14
1,0.0,0.8301999999999999,1.99,0.03,1.0212,2.37,0.01,0.6085999999999999,1.55,0.01,0.6085999999999999,1.55,0.0,0.023200000000000002,0.05,0.0,0.032400000000000005,0.07
2,0.04,0.7406122448979592,1.4,0.0,0.9938775510204082,2.06,0.04,0.7069387755102041,1.09,0.04,0.7069387755102041,1.09,0.0,0.030816326530612247,0.05,0.0,0.05102040816326531,0.1
2,0.0,0.6991999999999998,1.4,0.03,0.9568000000000001,2.13,0.01,0.5916,1.29,0.01,0.5916,1.29,0.0,0.017200000000000003,0.05,0.0,0.0212,0.07
2,0.01,0.363,0.59,0.05,1.2074,2.85,0.01,0.7904000000000001,1.65,0.01,0.7904000000000001,1.65,0.0,0.1208,0.41,0.0,0.10880000000000001,0.29
1,0.01,0.10620000000000002,0.21,0.0,0.1252,0.22,0.01,0.08680000000000002,0.17,0.01,0.08680000000000002,0.17,0.02,1.3894000000000002,3.37,0.0,0.6977999999999999,1.5
