event,lc_s_x_min,lc_s_x_mean,lc_s_x_max,lc_s_y_min,lc_s_y_mean,lc_s_y_max,lc_s_z_min,lc_s_z_mean,lc_s_z_max,rc_s_x_min,rc_s_x_mean,rc_s_x_max,rc_s_y_min,rc_s_y_mean,rc_s_y_max,rc_s_z_min,rc_s_z_mean,rc_s_z_max
5,0.0,0.018970588235294118,0.08,0.0,0.04882352941176471,0.34,0.0,0.0167156862745098,0.13,0.0,0.0167156862745098,0.13,0.0,0.07112745098039217,0.38,0.0,0.01779411764705882,0.08
2,0.0,0.05392857142857143,0.15,0.0,0.2573214285714286,1.28,0.0,0.10624999999999998,0.45,0.0,0.10624999999999998,0.45,0.0,0.25589285714285714,1.07,0.0,0.10392857142857144,0.31
2,0.0,0.08846153846153847,0.2,0.0,0.016346153846153847,0.04,0.0,0.02076923076923077,0.11,0.0,0.02076923076923077,0.11,0.01,0.4582692307692309,0.89,0.0,0.12442307692307694,0.3
5,0.02,0.3981578947368421,0.91,0.01,0.4744736842105263,1.31,0.02,0.19789473684210526,0.3,0.02,0.19789473684210526,0.3,0.01,0.24868421052631573,0.64,0.02,0.08921052631578948,0.18
2,0.01,0.19166666666666662,0.48,0.0,0.5183333333333332,2.15,0.01,0.26699999999999996,0.89,0.01,0.26699999999999996,0.89,0.0,0.3646666666666666,1.78,0.0,0.16999999999999998,0.69
1,0.0,0.20416666666666666,0.44,0.0,0.08250000000000002,0.23,0.0,0.085,0.29,0.0,0.085,0.29,0.02,0.4799999999999999,1.14,0.0,0.10666666666666667,0.26
5,0.0,0.327037037037037,0.7,0.02,0.8296296296296296,2.14,0.0,0.33000000000000007,0.69,0.0,0.33000000000000007,0.69,0.0,0.2548148148148148,0.68,0.0,0.05074074074074075,0.11
1,0.0,0.37940000000000007,0.79,0.01,0.71,2.35,0.02,0.2864,0.99,0.02,0.2864,0.99,0.01,0.5262,2.18,0.0,0.3148,1.0
2,0.28,0.3190476190476191,0.37,0.0,0.0380952380952381,0.06,0.03,0.04904761904761905,0.08,0.03,0.04904761904761905,0.08,0.37,0.5261904761904761,1.03,0.01,0.16476190476190475,0.22
1,0.05,0.5277083333333333,1.14,0.0,0.5522916666666666,1.83,0.0,0.14708333333333332,0.4,0.0,0.14708333333333332,0.4,0.0,0.550625,1.75,0.03,0.2485416666666667,0.91
1,0.1,0.1608695652173913,0.2,0.08,0.14391304347826087,0.37,0.14,0.1673913043478261,0.2,0.14,0.1673913043478261,0.2,0.19,0.7791304347826088,2.2,0.0,0.11478260869565218,0.34
5,0.0,0.06592592592592593,0.18,0.01,0.5474074074074073,1.76,0.0,0.21407407407407408,0.66,0.0,0.21407407407407408,0.66,0.02,0.3351851851851852,1.93,0.01,0.2248148148148148,0.79
5,0.0,0.4415555555555556,1.3,0.0,0.5373333333333334,1.6,0.02,0.24822222222222218,0.48,0.02,0.24822222222222218,0.48,0.02,0.4975555555555556,1.35,0.0,0.21066666666666664,0.59
2,0.0,0.1894366197183098,0.68,0.0,0.27070422535211264,1.65,0.0,0.1584507042253521,0.59,0.0,0.1584507042253521,0.59,0.04,0.3322535211267605,1.74,0.02,0.13380281690140838,0.7
1,0.0,0.09310344827586206,0.2,0.0,0.01862068965517242,0.03,0.0,0.0303448275862069,0.07,0.0,0.0303448275862069,0.07,0.02,0.32724137931034475,1.24,0.03,0.14275862068965517,0.28
2,0.0,0.0976315789473684,0.15,0.0,0.01736842105263158,0.04,0.0,0.02447368421052632,0.06,0.0,0.02447368421052632,0.06,0.0,0.5981578947368421,1.87,0.0,0.22657894736842105,0.63
