event,lc_s_x_min,lc_s_x_mean,lc_s_x_max,lc_s_y_min,lc_s_y_mean,lc_s_y_max,lc_s_z_min,lc_s_z_mean,lc_s_z_max,rc_s_x_min,rc_s_x_mean,rc_s_x_max,rc_s_y_min,rc_s_y_mean,rc_s_y_max,rc_s_z_min,rc_s_z_mean,rc_s_z_max
4,0.0,0.08898916967509025,0.28,0.0,0.14736462093862812,1.5,0.0,0.07270758122743683,0.51,0.0,0.07270758122743683,0.51,0.0,0.25635379061371844,1.8,0.0,0.07693140794223827,0.56
2,0.01,0.11702702702702703,0.29,0.0,0.6301351351351352,2.6,0.0,0.3756756756756756,1.01,0.0,0.3756756756756756,1.01,0.04,0.9094594594594594,3.1,0.03,0.5393243243243244,1.2
2,0.0,0.1512,0.3,0.0,0.48866666666666664,1.31,0.01,0.22053333333333336,0.45,0.01,0.22053333333333336,0.45,0.02,0.7802666666666667,1.8,0.01,0.3843999999999999,1.44
4,0.14,0.8887755102040815,2.3,0.01,0.6042857142857143,2.0,0.0,0.8,2.39,0.0,0.8,2.39,0.0,0.2838775510204081,0.95,0.0,0.07489795918367348,0.18
2,0.01,0.2836,0.48,0.0,1.0073333333333332,3.5,0.0,0.6295999999999999,1.68,0.0,0.6295999999999999,1.68,0.02,1.054,3.38,0.05,0.5574666666666667,1.66
1,0.0,0.17386666666666667,0.75,0.01,0.3052,1.37,0.01,0.1226666666666667,0.46,0.01,0.1226666666666667,0.46,0.01,0.5441333333333335,1.49,0.01,0.4414666666666667,1.44
4,0.06,0.42775510204081635,0.74,0.02,1.4455102040816326,2.69,0.01,0.7161224489795919,1.82,0.01,0.7161224489795919,1.82,0.01,0.16693877551020408,0.44,0.0,0.06755102040816327,0.21
1,0.0,0.528,1.82,0.01,1.2238666666666667,5.19,0.01,0.7036,2.07,0.01,0.7036,2.07,0.0,0.7297333333333332,4.39,0.01,0.5653333333333334,1.79
2,0.29,0.5184,0.83,0.08,0.9152,1.77,0.01,0.20000000000000004,0.45,0.01,0.20000000000000004,0.45,0.39,1.41,2.36,0.07,0.4916,0.87
1,0.14,1.0027027027027025,2.83,0.02,0.8036486486486486,2.38,0.01,0.5812162162162162,2.09,0.01,0.5812162162162162,2.09,0.02,0.5335135135135136,2.78,0.05,0.6954054054054054,2.77
1,0.45,0.5531999999999999,0.62,0.02,0.5831999999999999,0.97,0.07,0.4292,0.64,0.07,0.4292,0.64,0.36,1.6787999999999996,3.44,0.02,0.7280000000000001,1.35
4,0.03,0.36060000000000003,0.65,0.06,1.192,3.22,0.0,0.5197999999999999,1.24,0.0,0.5197999999999999,1.24,0.01,0.40240000000000004,1.27,0.01,0.27080000000000004,1.23
4,0.04,0.9476,1.93,0.02,1.1852,2.35,0.02,0.6065999999999999,1.42,0.02,0.6065999999999999,1.42,0.0,0.8648,2.1,0.04,0.7298,1.7
2,0.0,0.2139393939393939,0.61,0.0,0.6568686868686869,3.68,0.0,0.4064646464646466,1.32,0.0,0.4064646464646466,1.32,0.01,0.7874747474747474,3.94,0.0,0.6202020202020202,1.76
1,0.01,0.08940000000000001,0.18,0.01,0.1382,0.51,0.0,0.16759999999999997,0.34,0.0,0.16759999999999997,0.34,0.0,0.8062000000000001,2.25,0.01,0.5549999999999999,1.93
2,0.0,0.09880000000000003,0.17,0.09,0.36119999999999997,0.52,0.01,0.1426,0.34,0.01,0.1426,0.34,0.0,1.2146000000000001,3.71,0.08,0.8260000000000001,1.8
1,0.0,0.051428571428571435,0.13,0.02,0.21775510204081633,0.44,0.0,0.1126530612244898,0.19,0.0,0.1126530612244898,0.19,0.02,0.8438775510204081,1.89,0.0,0.786734693877551,1.86
2,0.0,0.12119999999999999,0.21,0.0,0.06480000000000001,0.16,0.0,0.07459999999999999,0.14,0.0,0.07459999999999999,0.14,0.01,1.0668,2.82,0.02,0.8474,1.65
1,0.01,0.0794,0.13,0.0,0.055600000000000004,0.1,0.0,0.035,0.06,0.0,0.035,0.06,0.03,1.0561999999999998,2.62,0.02,0.7996000000000001,1.97
2,0.0,0.0254,0.07,0.0,0.025200000000000004,0.07,0.0,0.014400000000000001,0.03,0.0,0.014400000000000001,0.03,0.01,1.1042,2.74,0.01,0.8665999999999999,1.46
2,0.0,0.03959183673469388,0.09,0.0,0.04591836734693878,0.1,0.0,0.044081632653061226,0.09,0.0,0.044081632653061226,0.09,0.01,1.0579591836734694,2.56,0.03,0.8281632653061224,1.87
