event,lc_s_x_min,lc_s_x_mean,lc_s_x_max,lc_s_y_min,lc_s_y_mean,lc_s_y_max,lc_s_z_min,lc_s_z_mean,lc_s_z_max,rc_s_x_min,rc_s_x_mean,rc_s_x_max,rc_s_y_min,rc_s_y_mean,rc_s_y_max,rc_s_z_min,rc_s_z_mean,rc_s_z_max
3,0.0,0.0842,0.18,0.0,0.06,0.16,0.02,0.04500000000000001,0.14,0.02,0.04500000000000001,0.14,0.01,0.44419999999999993,1.32,0.01,0.13720000000000002,0.37
1,0.0,0.08200000000000002,0.16,0.0,0.037000000000000005,0.13,0.0,0.0722,0.15,0.0,0.0722,0.15,0.01,0.45480000000000004,1.0,0.0,0.126,0.34
2,0.05,0.08571428571428572,0.13,0.0,0.017755102040816328,0.04,0.01,0.046122448979591835,0.08,0.01,0.046122448979591835,0.08,0.02,0.30448979591836733,1.04,0.0,0.1540816326530612,0.43
1,0.0,0.033,0.05,0.0,0.0104,0.02,0.0,0.013600000000000001,0.04,0.0,0.013600000000000001,0.04,0.0,0.48560000000000003,1.31,0.01,0.18460000000000004,0.35
3,0.0,0.0378,0.08,0.0,0.0208,0.05,0.03,0.03840000000000001,0.05,0.03,0.03840000000000001,0.05,0.01,0.3621999999999999,0.92,0.01,0.11860000000000001,0.26
1,0.0,0.05102040816326531,0.1,0.0,0.019387755102040816,0.04,0.0,0.04510204081632653,0.07,0.0,0.04510204081632653,0.07,0.01,0.3414285714285714,0.85,0.0,0.1273469387755102,0.31
2,0.0,0.0382,0.09,0.01,0.036800000000000006,0.06,0.0,0.05720000000000001,0.21,0.0,0.05720000000000001,0.21,0.0,0.365,1.16,0.03,0.19219999999999998,0.42
1,0.01,0.2508000000000001,0.42,0.02,0.325,1.0,0.0,0.1414,0.25,0.0,0.1414,0.25,0.0,0.046400000000000004,0.09,0.02,0.04,0.08
3,0.14,0.23379999999999998,0.37,0.02,0.5257999999999999,1.06,0.0,0.1074,0.25,0.0,0.1074,0.25,0.0,0.033600000000000005,0.08,0.03,0.06199999999999999,0.12
1,0.0,0.28469387755102044,0.58,0.01,0.25918367346938775,0.55,0.0,0.15224489795918367,0.27,0.0,0.15224489795918367,0.27,0.0,0.022653061224489797,0.05,0.0,0.023469387755102038,0.11
2,0.0,0.20800000000000002,0.51,0.0,0.35100000000000003,0.91,0.01,0.099,0.22,0.01,0.099,0.22,0.0,0.016,0.03,0.0,0.0146,0.03
2,0.01,0.21999999999999997,0.45,0.02,0.47120000000000006,0.85,0.03,0.158,0.24,0.03,0.158,0.24,0.0,0.017200000000000003,0.03,0.0,0.009600000000000001,0.02
1,0.02,0.21041666666666667,0.4,0.07,0.35125,0.51,0.0,0.04958333333333333,0.11,0.0,0.04958333333333333,0.11,0.0,0.6416666666666667,1.43,0.0,0.07208333333333333,0.39
1,0.0,0.16979999999999998,0.38,0.02,0.3877999999999999,1.05,0.0,0.0764,0.22,0.0,0.0764,0.22,0.01,0.389,1.15,0.0,0.2396,0.39
2,0.0,0.051199999999999996,0.17,0.02,0.1232,0.19,0.0,0.055600000000000004,0.08,0.0,0.055600000000000004,0.08,0.01,0.5592,1.27,0.06,0.3428,0.41
5,0.01,0.3292156862745097,0.77,0.01,0.29980392156862745,0.63,0.0,0.12156862745098039,0.27,0.0,0.12156862745098039,0.27,0.0,0.1772549019607843,0.39,0.01,0.11137254901960786,0.26
1,0.0,0.114375,0.23,0.0,0.4622916666666667,1.46,0.02,0.2025,0.57,0.02,0.2025,0.57,0.01,0.5254166666666666,1.32,0.01,0.17666666666666667,0.51
5,0.01,0.23749999999999996,0.53,0.02,0.2017857142857143,0.61,0.01,0.1367857142857143,0.3,0.01,0.1367857142857143,0.3,0.02,0.45892857142857135,1.66,0.0,0.16464285714285712,0.65
1,0.04,0.44333333333333336,0.71,0.03,0.38083333333333336,0.75,0.0,0.158125,0.5,0.0,0.158125,0.5,0.0,0.346875,0.64,0.01,0.1391666666666667,0.31
2,0.01,0.12653061224489795,0.4,0.0,0.38612244897959186,1.66,0.0,0.11897959183673469,0.48,0.0,0.11897959183673469,0.48,0.04,0.39653061224489794,1.31,0.02,0.12428571428571428,0.59
1,0.0,0.1515686274509804,0.44,0.01,0.5323529411764705,1.28,0.0,0.09666666666666666,0.26,0.0,0.09666666666666666,0.26,0.02,0.13372549019607846,0.3,0.02,0.1476470588235294,0.26
5,0.0,0.038200000000000005,0.09,0.0,0.05,0.09,0.01,0.029999999999999995,0.06,0.01,0.029999999999999995,0.06,0.01,0.2524,0.68,0.01,0.18419999999999997,0.41
3,0.0,0.28346938775510205,0.6,0.02,0.5306122448979592,1.52,0.01,0.11122448979591837,0.28,0.01,0.11122448979591837,0.28,0.0,0.2248979591836735,0.74,0.02,0.13714285714285715,0.19
2,0.02,0.20959999999999998,0.41,0.03,0.45800000000000013,1.86,0.01,0.21019999999999997,0.62,0.01,0.21019999999999997,0.62,0.0,0.1948,0.47,0.0,0.06820000000000001,0.22
2,0.21,0.3394,0.56,0.14,0.311,0.9,0.01,0.05800000000000001,0.13,0.01,0.05800000000000001,0.13,0.0,0.38939999999999997,0.87,0.02,0.15599999999999997,0.38
5,0.01,0.3326530612244898,0.52,0.02,0.42020408163265305,1.07,0.0,0.15571428571428572,0.58,0.0,0.15571428571428572,0.58,0.0,0.11469387755102042,0.3,0.0,0.06571428571428571,0.1
2,0.0,0.07326530612244898,0.21,0.02,0.21816326530612243,0.86,0.0,0.06387755102040817,0.21,0.0,0.06387755102040817,0.21,0.01,0.4532653061224489,1.53,0.0,0.1620408163265306,0.73
2,0.0,0.10220000000000001,0.28,0.0,0.038599999999999995,0.19,0.0,0.0646,0.25,0.0,0.0646,0.25,0.01,0.4174,0.94,0.0,0.1704,0.41
2,0.02,0.4554000000000001,0.97,0.0,0.38980000000000004,0.81,0.02,0.18539999999999998,0.42,0.02,0.18539999999999998,0.42,0.05,0.2412,0.34,0.01,0.11439999999999997,0.27
3,0.1,0.25224489795918364,0.42,0.01,0.18285714285714283,0.32,0.0,0.10857142857142858,0.28,0.0,0.10857142857142858,0.28,0.0,0.2969387755102041,1.17,0.01,0.2783673469387755,0.56
2,0.01,0.32244897959183677,0.91,0.0,0.27367346938775516,0.94,0.06,0.23795918367346938,0.43,0.06,0.23795918367346938,0.43,0.0,0.25224489795918364,0.43,0.0,0.10714285714285714,0.25
2,0.2,0.353921568627451,0.59,0.0,0.21882352941176467,0.66,0.0,0.08411764705882353,0.18,0.0,0.08411764705882353,0.18,0.04,0.6009803921568628,1.26,0.0,0.1384313725490196,0.34
3,0.04,0.42795918367346936,1.07,0.02,0.31714285714285717,0.97,0.0,0.18489795918367352,0.6,0.0,0.18489795918367352,0.6,0.0,0.20775510204081632,0.69,0.01,0.062448979591836734,0.11
2,0.0,0.7245999999999999,1.47,0.04,0.48719999999999997,0.8,0.02,0.2542,0.64,0.02,0.2542,0.64,0.0,0.0776,0.18,0.0,0.03780000000000001,0.1
3,0.01,0.6557999999999999,1.37,0.0,0.4613999999999999,1.06,0.0,0.213,0.54,0.0,0.213,0.54,0.0,0.0304,0.07,0.0,0.033,0.07
2,0.01,0.5394000000000001,1.41,0.0,0.3232,1.04,0.02,0.19680000000000003,0.65,0.02,0.19680000000000003,0.65,0.0,0.09600000000000002,0.28,0.0,0.1562,0.45
2,0.16,0.2816666666666667,0.39,0.02,0.09499999999999999,0.25,0.01,0.11208333333333335,0.32,0.01,0.11208333333333335,0.32,0.01,0.339375,1.27,0.01,0.2914583333333333,0.46
1,0.01,0.46260000000000007,1.03,0.01,0.428,0.97,0.0,0.19719999999999996,0.47,0.0,0.19719999999999996,0.47,0.0,0.235,0.54,0.0,0.10400000000000001,0.45
1,0.0,0.17820000000000003,0.4,0.01,0.32500000000000007,0.66,0.0,0.06280000000000001,0.2,0.0,0.06280000000000001,0.2,0.02,0.7876000000000001,1.64,0.02,0.2866,0.58
