event,lc_s_x_min,lc_s_x_mean,lc_s_x_max,lc_s_y_min,lc_s_y_mean,lc_s_y_max,lc_s_z_min,lc_s_z_mean,lc_s_z_max,rc_s_x_min,rc_s_x_mean,rc_s_x_max,rc_s_y_min,rc_s_y_mean,rc_s_y_max,rc_s_z_min,rc_s_z_mean,rc_s_z_max
4,0.0,0.1713357400722022,0.48,0.0,0.12072202166064981,0.35,0.0,0.08101083032490976,0.21,0.0,0.08101083032490976,0.21,0.0,0.1264620938628159,0.35,0.0,0.07649819494584838,0.43
2,0.0,0.15333333333333332,0.25,0.0,0.6140000000000001,2.9,0.01,0.5087999999999999,1.92,0.01,0.5087999999999999,1.92,0.01,0.7033333333333334,2.81,0.02,0.5836,1.37
2,0.0,0.22026666666666672,0.6,0.06,0.20333333333333334,0.56,0.04,0.22026666666666667,0.59,0.04,0.22026666666666667,0.59,0.01,0.8876,2.07,0.0,0.4675999999999999,1.79
4,0.05,0.8338775510204082,1.97,0.04,0.7887755102040817,1.74,0.01,0.6616326530612245,1.7,0.01,0.6616326530612245,1.7,0.01,0.4040816326530613,0.88,0.01,0.2030612244897959,0.41
2,0.03,0.427972972972973,0.6,0.01,0.7755405405405404,3.57,0.04,0.5941891891891893,1.69,0.04,0.5941891891891893,1.69,0.0,0.6708108108108107,2.84,0.01,0.4997297297297297,1.1
1,0.0,0.3218666666666667,0.59,0.0,0.22933333333333333,1.2,0.0,0.27026666666666666,1.07,0.0,0.27026666666666666,1.07,0.01,1.0608,2.22,0.01,0.5649333333333333,1.81
4,0.07,0.5185714285714286,0.8,0.07,1.3810204081632653,3.28,0.0,0.8461224489795917,2.27,0.0,0.8461224489795917,2.27,0.0,0.6389795918367347,1.08,0.01,0.22693877551020405,0.37
1,0.05,0.4629333333333333,1.04,0.01,0.9213333333333332,4.33,0.0,0.5626666666666666,2.16,0.0,0.5626666666666666,2.16,0.0,0.7790666666666666,3.26,0.04,0.7873333333333332,1.88
2,0.19,0.2756,0.32,0.07,0.09920000000000001,0.2,0.08,0.1228,0.28,0.08,0.1228,0.28,0.56,1.5568,2.85,0.1,0.8240000000000001,1.01
1,0.08,0.6791999999999999,1.86,0.01,0.9978666666666667,3.47,0.03,0.7063999999999999,2.73,0.03,0.7063999999999999,2.73,0.0,0.6518666666666667,3.33,0.02,0.6802666666666667,2.91
1,0.39,0.4295833333333334,0.5,0.07,0.33708333333333335,0.43,0.16,0.21166666666666667,0.28,0.16,0.21166666666666667,0.28,0.56,2.0062499999999996,3.79,0.11,0.8075000000000001,1.44
4,0.02,0.28179999999999994,0.44,0.01,0.9688000000000001,3.43,0.03,0.5428000000000001,1.45,0.03,0.5428000000000001,1.45,0.0,0.3984,1.19,0.01,0.5406,1.35
4,0.01,0.8909999999999999,2.66,0.01,0.917,2.18,0.03,0.7104,1.93,0.03,0.7104,1.93,0.0,1.0114,2.44,0.02,0.6916,1.79
2,0.0,0.21070707070707073,0.52,0.01,0.7257575757575757,4.18,0.0,0.5930303030303029,2.04,0.0,0.5930303030303029,2.04,0.02,0.8692929292929293,4.15,0.04,0.6598989898989899,1.84
1,0.0,0.09679999999999998,0.19,0.0,0.03900000000000001,0.08,0.0,0.081,0.15,0.0,0.081,0.15,0.03,0.6552,1.41,0.01,0.4611999999999999,1.19
2,0.01,0.11259999999999999,0.2,0.0,0.052199999999999996,0.09,0.0,0.04359999999999999,0.11,0.0,0.04359999999999999,0.11,0.01,0.8342,2.56,0.03,0.6410000000000001,1.6
1,0.0,0.039,0.09,0.0,0.058600000000000006,0.09,0.0,0.03540000000000001,0.06,0.0,0.03540000000000001,0.06,0.0,0.789,1.96,0.04,0.5716,1.51
2,0.0,0.06591836734693877,0.18,0.0,0.03959183673469388,0.1,0.0,0.037551020408163265,0.07,0.0,0.037551020408163265,0.07,0.0,0.9159183673469387,2.64,0.0,0.783265306122449,1.71
