event,lc_s_x_min,lc_s_x_mean,lc_s_x_max,lc_s_y_min,lc_s_y_mean,lc_s_y_max,lc_s_z_min,lc_s_z_mean,lc_s_z_max,rc_s_x_min,rc_s_x_mean,rc_s_x_max,rc_s_y_min,rc_s_y_mean,rc_s_y_max,rc_s_z_min,rc_s_z_mean,rc_s_z_max
4,0.0,0.08158844765342958,0.38,0.0,0.19743682310469318,1.38,0.0,0.07696750902527076,0.79,0.0,0.07696750902527076,0.79,0.0,0.1648375451263538,0.54,0.0,0.12375451263537904,0.51
2,0.01,0.27445945945945943,0.69,0.0,1.5537837837837838,4.61,0.01,0.6251351351351351,1.7,0.01,0.6251351351351351,1.7,0.01,0.766891891891892,2.92,0.0,0.5256756756756756,1.58
2,0.01,0.4289189189189189,2.74,0.01,0.8839189189189188,4.49,0.0,0.783108108108108,2.53,0.0,0.783108108108108,2.53,0.05,0.4943243243243243,1.08,0.02,0.26959459459459456,0.57
4,0.14,0.6287999999999999,1.11,0.01,0.48080000000000006,1.16,0.03,0.3712,0.72,0.03,0.3712,0.72,0.0,0.5714000000000001,1.33,0.01,1.0372,3.73
2,0.05,0.8133783783783783,1.75,0.07,1.6094594594594593,6.04,0.01,0.8433783783783784,2.51,0.01,0.8433783783783784,2.51,0.0,0.5245945945945946,3.13,0.02,1.4925675675675676,5.37
1,0.01,0.5790789473684211,3.43,0.04,0.8892105263157895,4.16,0.0,0.7423684210526316,2.39,0.0,0.7423684210526316,2.39,0.1,0.5455263157894737,1.35,0.01,0.4953947368421052,1.67
4,0.0,0.14020408163265308,0.3,0.02,0.3481632653061225,0.85,0.0,0.30979591836734693,1.12,0.0,0.30979591836734693,1.12,0.11,1.130204081632653,2.0,0.03,1.0059183673469387,3.22
1,0.01,0.6077333333333335,1.21,0.0,1.490133333333333,5.19,0.0,1.0505333333333333,2.83,0.0,1.0505333333333333,2.83,0.08,0.9455999999999999,3.21,0.05,0.9272000000000002,2.04
2,0.05,0.27166666666666667,0.51,0.01,1.6566666666666665,4.82,0.38,1.55375,3.99,0.38,1.55375,3.99,0.41,0.5291666666666667,0.65,0.14,0.25,0.39
1,0.0,0.24653333333333335,0.49,0.02,0.6238666666666667,1.35,0.04,0.5750666666666666,1.07,0.04,0.5750666666666666,1.07,0.01,0.4633333333333333,1.17,0.04,0.7429333333333334,3.55
1,0.01,0.1692857142857143,0.42,0.97,2.123571428571428,5.38,0.88,1.237857142857143,2.04,0.88,1.237857142857143,2.04,0.06,0.14714285714285716,0.25,0.0,0.0707142857142857,0.37
4,0.03,0.2994594594594595,0.59,0.06,1.505135135135135,2.45,0.01,0.4686486486486485,1.53,0.01,0.4686486486486485,1.53,0.01,0.8810810810810811,1.78,0.03,0.9375675675675677,2.58
4,0.0,1.049,3.12,0.08,1.3656,3.66,0.01,0.6916000000000001,2.11,0.01,0.6916000000000001,2.11,0.01,1.013,2.91,0.06,0.7648000000000001,2.51
2,0.0,0.2958585858585858,0.83,0.0,1.2894949494949495,6.39,0.01,0.7123232323232325,3.25,0.01,0.7123232323232325,3.25,0.02,1.1796969696969697,6.2,0.01,0.677070707070707,4.14
1,0.0,0.8725999999999999,2.46,0.03,1.6102,4.64,0.0,0.7394,2.73,0.0,0.7394,2.73,0.0,0.2002,0.59,0.0,0.1412,0.27
2,0.02,0.295,0.91,0.12,2.3404000000000003,6.3,0.03,0.9540000000000001,3.35,0.03,0.9540000000000001,3.35,0.0,0.17980000000000002,0.3,0.0,0.09820000000000001,0.17
1,0.02,0.5742,1.4,0.04,1.7844,5.35,0.0,0.8044,2.85,0.0,0.8044,2.85,0.02,0.09500000000000001,0.19,0.0,0.0736,0.19
2,0.0,0.18612244897959185,0.52,0.0,2.057142857142857,5.04,0.0,0.7626530612244897,2.17,0.0,0.7626530612244897,2.17,0.01,0.20469387755102042,0.32,0.0,0.15632653061224488,0.38
1,0.12,0.720612244897959,2.0,0.03,1.450408163265306,4.5,0.01,0.6787755102040816,3.15,0.01,0.6787755102040816,3.15,0.0,0.09061224489795917,0.2,0.02,0.2418367346938775,0.38
2,0.0,0.12627450980392158,0.46,0.05,1.9427450980392154,5.09,0.01,0.8315686274509804,2.21,0.01,0.8315686274509804,2.21,0.0,0.18274509803921574,0.28,0.01,0.15588235294117647,0.36
2,0.01,0.6106122448979592,1.86,0.07,1.4053061224489798,4.45,0.01,0.7693877551020408,2.98,0.01,0.7693877551020408,2.98,0.0,0.07163265306122449,0.18,0.0,0.1383673469387755,0.26
2,0.01,0.4014,1.12,0.02,1.5248,5.67,0.05,0.8682000000000001,2.51,0.05,0.8682000000000001,2.51,0.0,0.305,0.69,0.04,0.456,0.93
1,0.0,0.1912,0.52,0.07,0.2764,0.87,0.0,0.084,0.19,0.0,0.084,0.19,0.08,0.8165999999999998,2.55,0.02,1.1132,3.35
2,0.02,0.2148,0.5,0.0,0.13719999999999996,0.31,0.0,0.1764,0.34,0.0,0.1764,0.34,0.04,0.9571999999999999,2.43,0.06,0.966,2.07
1,0.0,0.11897959183673468,0.23,0.01,0.14020408163265308,0.28,0.0,0.043265306122448985,0.1,0.0,0.043265306122448985,0.1,0.05,1.2114285714285715,2.38,0.03,1.0483673469387755,3.48
2,0.0,0.1664,0.28,0.02,0.20180000000000003,0.3,0.0,0.06919999999999998,0.1,0.0,0.06919999999999998,0.1,0.0,0.785,2.23,0.0,0.7358000000000001,1.98
1,0.01,0.1378,0.3,0.0,0.14379999999999998,0.35,0.0,0.0412,0.17,0.0,0.0412,0.17,0.02,1.0903999999999998,2.48,0.02,0.7783999999999999,2.91
2,0.0,0.1385714285714286,0.36,0.03,0.17877551020408164,0.34,0.01,0.12163265306122448,0.21,0.01,0.12163265306122448,0.21,0.05,0.6587755102040816,1.27,0.02,0.5116326530612245,1.84
2,0.01,0.20408163265306123,0.37,0.0,0.13816326530612247,0.28,0.01,0.1116326530612245,0.21,0.01,0.1116326530612245,0.21,0.01,1.0477551020408162,2.17,0.02,0.7722448979591836,2.85
2,0.0,0.22219999999999998,0.39,0.0,0.405,1.46,0.01,0.22200000000000003,0.71,0.01,0.22200000000000003,0.71,0.01,0.46919999999999995,1.63,0.02,1.0088000000000001,2.39
1,0.02,0.6792,1.71,0.03,1.6440000000000001,4.91,0.0,0.8976000000000001,2.86,0.0,0.8976000000000001,2.86,0.01,0.3411999999999999,1.0,0.0,0.17779999999999999,0.36
3,0.01,0.4341999999999999,0.71,0.02,1.5781999999999998,4.84,0.06,0.9447999999999999,2.21,0.06,0.9447999999999999,2.21,0.01,0.1824,0.33,0.01,0.1582,0.37
1,0.01,0.8122448979591838,1.34,0.02,1.5983673469387756,4.69,0.04,0.7799999999999998,2.02,0.04,0.7799999999999998,2.02,0.01,0.3053061224489796,0.48,0.02,0.37775510204081636,0.74
2,0.01,0.4384,0.79,0.05,1.6525999999999998,3.93,0.39,0.8846,1.84,0.39,0.8846,1.84,0.0,0.20439999999999997,0.4,0.0,0.3342,0.69
