event,lc_s_x_min,lc_s_x_mean,lc_s_x_max,lc_s_y_min,lc_s_y_mean,lc_s_y_max,lc_s_z_min,lc_s_z_mean,lc_s_z_max,rc_s_x_min,rc_s_x_mean,rc_s_x_max,rc_s_y_min,rc_s_y_mean,rc_s_y_max,rc_s_z_min,rc_s_z_mean,rc_s_z_max
5,0.0,0.1453429602888087,0.43,0.0,0.19855595667870035,1.03,0.0,0.08953068592057763,0.46,0.0,0.08953068592057763,0.46,0.0,0.19512635379061372,1.2,0.0,0.11108303249097475,0.65
2,0.0,0.11559999999999998,0.34,0.01,0.5865333333333334,2.66,0.0,0.22000000000000006,0.84,0.0,0.22000000000000006,0.84,0.03,0.8814666666666668,3.3,0.0,0.2656,1.35
2,0.0,0.17581081081081082,0.5,0.01,0.06986486486486486,0.2,0.0,0.08891891891891891,0.34,0.0,0.08891891891891891,0.34,0.05,0.9041891891891891,2.09,0.01,0.2825675675675676,0.8
5,0.01,0.8848,1.86,0.01,0.7425999999999999,1.81,0.0,0.39159999999999995,0.71,0.0,0.39159999999999995,0.71,0.0,0.3963999999999999,1.34,0.01,0.2858,0.75
2,0.01,0.34079999999999994,0.65,0.01,0.772,3.22,0.0,0.2992,1.29,0.0,0.2992,1.29,0.01,0.9250666666666668,3.58,0.02,0.3941333333333334,1.62
1,0.03,0.40702702702702703,0.68,0.0,0.292972972972973,2.24,0.01,0.3154054054054054,1.09,0.01,0.3154054054054054,1.09,0.03,0.9360810810810812,2.02,0.02,0.28905405405405404,0.78
5,0.02,0.40900000000000003,1.03,0.08,1.3167999999999997,2.55,0.0,0.40919999999999995,0.95,0.0,0.40919999999999995,0.95,0.0,0.4202,1.37,0.01,0.26,0.56
1,0.0,0.6277333333333333,1.54,0.0,0.9299999999999998,3.69,0.0,0.34186666666666665,1.66,0.0,0.34186666666666665,1.66,0.01,0.8634666666666665,4.31,0.01,0.3824,1.83
2,0.51,0.5729166666666666,0.65,0.0,0.14875000000000002,0.21,0.0,0.11750000000000001,0.25,0.0,0.11750000000000001,0.25,0.0,2.0595833333333333,4.01,0.0,0.52375,1.45
1,0.02,0.9669333333333331,2.43,0.02,0.5306666666666665,2.39,0.03,0.46853333333333325,1.08,0.03,0.46853333333333325,1.08,0.08,0.4641333333333333,2.88,0.02,0.3922666666666667,1.72
1,0.19,0.3764,0.6,0.0,0.1064,0.57,0.0,0.0688,0.17,0.0,0.0688,0.17,0.47,2.2336,4.65,0.07,0.684,1.69
5,0.01,0.16080000000000003,0.47,0.02,0.8044,2.3,0.01,0.262,0.64,0.01,0.262,0.64,0.06,0.5164000000000001,0.72,0.01,0.19039999999999999,0.75
