event,lc_s_x_min,lc_s_x_mean,lc_s_x_max,lc_s_y_min,lc_s_y_mean,lc_s_y_max,lc_s_z_min,lc_s_z_mean,lc_s_z_max,rc_s_x_min,rc_s_x_mean,rc_s_x_max,rc_s_y_min,rc_s_y_mean,rc_s_y_max,rc_s_z_min,rc_s_z_mean,rc_s_z_max
5,0.0,0.1648582995951417,0.5,0.0,0.09036437246963563,0.28,0.0,0.12214574898785427,0.32,0.0,0.12214574898785427,0.32,0.0,0.09870445344129555,0.47,0.0,0.10991902834008097,0.32
2,0.0,0.13972222222222225,0.39,0.01,0.6043055555555557,2.9,0.0,0.30138888888888893,1.22,0.0,0.30138888888888893,1.22,0.02,0.7388888888888888,3.15,0.0,0.33375,1.39
2,0.01,0.15527777777777776,0.36,0.0,0.1025,0.35,0.0,0.10638888888888888,0.23,0.0,0.10638888888888888,0.23,0.03,0.6698611111111111,2.53,0.01,0.33819444444444446,1.87
5,0.02,0.633,1.5,0.08,0.8066,2.1,0.06,0.3606,0.9,0.06,0.3606,0.9,0.03,0.7044,1.58,0.0,0.1824,0.41
2,0.04,0.1744230769230769,0.66,0.01,0.5338461538461539,3.38,0.06,0.31653846153846155,1.0,0.06,0.31653846153846155,1.0,0.04,0.6607692307692308,3.68,0.01,0.29,1.19
1,0.0,0.2051923076923077,0.45,0.01,0.19769230769230772,0.71,0.03,0.13903846153846153,0.33,0.03,0.13903846153846153,0.33,0.05,0.7415384615384616,1.91,0.01,0.3540384615384615,1.74
5,0.11,0.4456000000000001,0.89,0.01,0.8760000000000001,2.98,0.14,0.513,0.95,0.14,0.513,0.95,0.01,0.5994000000000002,1.44,0.01,0.161,0.28
1,0.02,0.36735849056603764,0.83,0.0,1.1167924528301887,4.76,0.0,0.560566037735849,1.65,0.0,0.560566037735849,1.65,0.0,1.1239622641509435,4.1,0.03,0.5358490566037736,1.68
2,0.21,0.25681818181818183,0.29,0.0,0.05090909090909091,0.11,0.07,0.13909090909090913,0.18,0.07,0.13909090909090913,0.18,0.01,0.295,1.37,0.33,0.41727272727272724,0.77
1,0.02,0.6779411764705883,2.77,0.0,0.7517647058823529,2.39,0.02,0.5299999999999999,1.62,0.02,0.5299999999999999,1.62,0.01,0.9186764705882353,3.73,0.0,0.38279411764705884,1.54
1,0.21,0.5166666666666666,0.84,0.01,0.059166666666666666,0.11,0.12,0.31833333333333336,0.65,0.12,0.31833333333333336,0.65,0.02,0.17666666666666667,0.47,0.0,0.09000000000000001,0.41
5,0.01,0.382,1.01,0.0,1.1564444444444444,4.96,0.0,0.4613333333333334,1.39,0.0,0.4613333333333334,1.39,0.0,1.0064444444444445,4.3,0.01,0.5468888888888888,1.51
5,0.03,0.6832653061224491,1.6,0.31,0.7940816326530613,1.8,0.02,0.5159183673469387,0.77,0.02,0.5159183673469387,0.77,0.08,0.5553061224489796,1.92,0.01,0.26469387755102036,1.15
2,0.0,0.13922077922077924,0.6,0.0,0.38532467532467524,3.94,0.0,0.24454545454545457,1.18,0.0,0.24454545454545457,1.18,0.03,0.5981818181818181,4.05,0.01,0.3666233766233766,1.38
1,0.0,0.10959183673469386,0.22,0.0,0.026326530612244898,0.08,0.01,0.05204081632653061,0.14,0.01,0.05204081632653061,0.14,0.09,0.5102040816326531,1.1,0.04,0.33040816326530614,0.65
2,0.03,0.1806122448979592,0.28,0.0,0.03387755102040817,0.1,0.0,0.0742857142857143,0.17,0.0,0.0742857142857143,0.17,0.01,0.9202040816326531,2.83,0.02,0.5085714285714286,1.71
1,0.01,0.10819999999999999,0.21,0.0,0.0724,0.15,0.0,0.09480000000000001,0.17,0.0,0.09480000000000001,0.17,0.25,0.8642,1.5,0.01,0.4578,1.38
2,0.0,0.0972,0.18,0.0,0.05039999999999999,0.09,0.0,0.1256,0.23,0.0,0.1256,0.23,0.0,0.9472,3.49,0.09,0.6276,1.84
1,0.01,0.08957446808510638,0.19,0.0,0.031914893617021274,0.09,0.0,0.10170212765957445,0.17,0.0,0.10170212765957445,0.17,0.16,0.7640425531914893,1.36,0.0,0.3974468085106383,0.9
2,0.0,0.07117647058823529,0.11,0.0,0.03588235294117647,0.1,0.03,0.10764705882352942,0.16,0.03,0.10764705882352942,0.16,0.0,0.8280392156862746,3.29,0.07,0.48392156862745095,1.71
2,0.0,0.0774,0.17,0.0,0.054400000000000004,0.12,0.01,0.1284,0.22,0.01,0.1284,0.22,0.01,0.6988000000000001,1.24,0.01,0.3446,0.78
2,0.0,0.0486,0.19,0.0,0.047400000000000005,0.27,0.0,0.1328,0.6,0.0,0.1328,0.6,0.01,0.8672,3.47,0.09,0.48919999999999997,1.23
1,0.01,0.5345454545454547,1.51,0.0,0.7227272727272728,1.86,0.02,0.5561363636363637,0.96,0.02,0.5561363636363637,0.96,0.01,0.09749999999999998,0.21,0.07,0.14545454545454545,0.37
2,0.02,0.5638709677419356,2.17,0.01,0.7135483870967742,2.47,0.0,0.30999999999999994,0.8,0.0,0.30999999999999994,0.8,0.0,0.053548387096774196,0.13,0.0,0.04483870967741936,0.1
