event,lc_s_x_min,lc_s_x_mean,lc_s_x_max,lc_s_y_min,lc_s_y_mean,lc_s_y_max,lc_s_z_min,lc_s_z_mean,lc_s_z_max,rc_s_x_min,rc_s_x_mean,rc_s_x_max,rc_s_y_min,rc_s_y_mean,rc_s_y_max,rc_s_z_min,rc_s_z_mean,rc_s_z_max
5,0.0,0.13449640287769785,0.31,0.0,0.2548201438848921,1.57,0.0,0.12971223021582734,0.87,0.0,0.12971223021582734,0.87,0.0,0.2805755395683453,2.24,0.0,0.14589928057553955,0.82
2,0.01,0.13133333333333336,0.41,0.0,0.9698666666666665,4.26,0.01,0.5596,1.41,0.01,0.5596,1.41,0.03,1.1609333333333334,5.07,0.02,0.5281333333333335,1.61
2,0.0,0.2955405405405406,0.81,0.0,0.1568918918918919,0.39,0.0,0.14891891891891892,0.4,0.0,0.14891891891891892,0.4,0.03,1.085135135135135,3.43,0.0,0.9648648648648649,3.74
5,0.08,1.1572,2.68,0.02,1.4386,4.74,0.02,0.8662000000000001,2.79,0.02,0.8662000000000001,2.79,0.0,0.14340000000000003,0.27,0.0,0.111,0.42
2,0.0,0.29466666666666663,0.73,0.02,1.3094666666666668,6.95,0.0,0.8029333333333333,2.97,0.0,0.8029333333333333,2.97,0.03,1.3077333333333334,6.41,0.04,0.7099999999999999,3.57
1,0.0,0.24270270270270272,0.57,0.0,0.20324324324324325,0.41,0.0,0.19351351351351354,0.65,0.0,0.19351351351351354,0.65,0.01,1.3931081081081083,3.88,0.05,1.0825675675675677,3.97
5,0.0,0.23879999999999998,0.43,0.05,1.9214000000000002,4.58,0.09,1.0138,1.59,0.09,1.0138,1.59,0.0,0.38099999999999995,0.9,0.0,0.07980000000000001,0.22
1,0.02,0.9538666666666665,2.32,0.02,1.6598666666666666,7.15,0.01,0.7535999999999999,2.63,0.01,0.7535999999999999,2.63,0.0,1.2158666666666667,6.35,0.03,0.6349333333333333,2.82
2,0.22,0.46159999999999995,0.6,0.01,0.18600000000000003,0.57,0.0,0.1648,0.42,0.0,0.1648,0.42,0.21,1.8748000000000002,5.46,0.6,0.8444000000000002,1.26
1,0.01,1.0224324324324323,3.27,0.02,1.297027027027027,5.87,0.05,1.0664864864864865,3.49,0.05,1.0664864864864865,3.49,0.01,1.343918918918919,7.45,0.04,1.195,5.14
1,0.5,0.6176,0.72,0.18,0.43199999999999994,0.67,0.18,0.3024,0.49,0.18,0.3024,0.49,0.03,1.7392,4.0,0.45,0.8572,1.18
5,0.0,0.4059999999999999,1.52,0.04,1.4312,5.01,0.05,0.73,2.66,0.05,0.73,2.66,0.07,1.4022000000000003,6.07,0.04,1.4,4.29
5,0.04,1.1880000000000002,3.05,0.04,1.7915999999999999,4.5,0.03,0.9251999999999999,2.12,0.03,0.9251999999999999,2.12,0.03,1.811,4.62,0.01,1.3876,3.71
2,0.01,0.33292929292929285,1.19,0.0,1.2225252525252526,7.18,0.01,0.7292929292929294,3.32,0.01,0.7292929292929294,3.32,0.04,1.4176767676767676,7.83,0.01,0.9483838383838384,3.08
1,0.01,0.175,0.31,0.0,0.21020000000000003,0.37,0.02,0.4158,0.71,0.02,0.4158,0.71,0.03,1.3205999999999998,3.64,0.01,0.9331999999999999,2.87
2,0.0,0.23816326530612245,0.61,0.0,0.11142857142857145,0.28,0.0,0.12163265306122449,0.29,0.0,0.12163265306122449,0.29,0.02,1.790408163265306,5.54,0.1,0.9216326530612247,3.24
1,0.0,0.262,0.46,0.0,0.16419999999999998,0.4,0.0,0.10859999999999999,0.27,0.0,0.10859999999999999,0.27,0.02,1.6226000000000003,5.09,0.03,1.3712,4.26
2,0.0,0.2896,0.55,0.0,0.14780000000000001,0.47,0.01,0.1718,0.35,0.01,0.1718,0.35,0.05,1.8174,5.39,0.01,1.1644,2.62
1,0.02,0.3608,0.65,0.0,0.16399999999999998,0.31,0.0,0.0666,0.14,0.0,0.0666,0.14,0.03,1.6098000000000001,4.26,0.05,1.3526000000000002,4.19
