timestamp,passed_time,side,cut_length,time,speed,event_type
2021.3.30 20:42:23:18,3.691,left,0.2896215237564277,0.19999999999999996,1.4481076187821387,5
2021.3.30 20:42:23:86,3.759,right,0.3269996103706236,0.268,1.2201477998903865,5
2021.3.30 20:42:23:253,3.926,left,0.11382332347441759,0.167,0.6815767872719616,5
2021.3.30 20:42:23:320,3.993,right,0.15472135954999594,0.169,0.9155110032544138,5
2021.3.30 20:42:23:790,4.463,right,0.23809976596734433,0.155,1.5361275223699635,2
2021.3.30 20:42:24:736,5.409,left,0.38839955726609143,0.245,1.5853043153718018,2
2021.3.30 20:42:24:900,5.573,left,0.12685557720282978,0.142,0.8933491352311957,5
2021.3.30 20:42:25:120,5.793,left,0.18798160498848074,0.15600000000000003,1.2050102883876967,5
2021.3.30 20:42:25:139,5.812,right,0.21957942956017482,0.17500000000000004,1.2547395974867128,5
2021.3.30 20:42:25:490,6.163,right,0.17080910526665233,0.202,0.8455896300329323,5
2021.3.30 20:42:25:523,6.196,left,0.1196347458781234,0.235,0.5090840250132911,5
2021.3.30 20:42:26:154,6.827,right,0.41436314787139367,0.392,1.057048846610698,2
2021.3.30 20:42:26:842,7.515,left,0.20318133015704615,0.202,1.0058481690942878,1
2021.3.30 20:42:27:109,7.782,left,0.13171093092796746,0.23299999999999998,0.5652829653560836,5
2021.3.30 20:42:27:415,8.088,right,0.30697682405298476,0.204,1.5047883532009059,5
2021.3.30 20:42:27:494,8.167,left,0.3436421933391389,0.319,1.0772482549816267,5
2021.3.30 20:42:27:788,8.461,right,0.11847835380451358,0.133,0.8908146902595006,5
2021.3.30 20:42:28:151,8.824,left,0.3801787983005427,0.536,0.7092888027995199,2
2021.3.30 20:42:28:696,9.369,left,0.37551547092602366,0.419,0.8962183076993405,2
2021.3.30 20:42:28:957,9.63,right,0.6939364132784268,1.111,0.6246052324738315,1
2021.3.30 20:42:29:426,10.099,right,0.21679274275662572,0.231,0.9384967218901545,1
2021.3.30 20:42:29:595,10.268,left,0.22928113614427678,0.223,1.0281665297949631,1
2021.3.30 20:42:30:74,10.747,right,0.24341349703329704,0.42900000000000005,0.5673974289820443,5
2021.3.30 20:42:30:426,11.099,left,0.5040886476058963,0.618,0.8156774233105119,5
2021.3.30 20:42:30:851,11.524000000000001,right,0.5441417954004862,0.691,0.787470036759025,5
2021.3.30 20:42:30:944,11.617,left,0.27700023328858925,0.465,0.5956994264270736,5
2021.3.30 20:42:31:396,12.069,left,0.20264231453462828,0.403,0.5028345273812116,5
2021.3.30 20:42:32:76,12.749,right,0.863385003989632,1.047,0.8246275109738607,1
2021.3.30 20:42:32:440,13.113,left,0.3246151360070596,0.316,1.0272630886299354,1
2021.3.30 20:42:32:656,13.329,right,0.3639175112028007,0.532,0.6840554721857155,2
2021.3.30 20:42:32:738,13.411,left,0.14010113040619732,0.248,0.564923912928215,2
2021.3.30 20:42:33:233,13.906,right,0.180213969804388,0.31200000000000006,0.5776088775781666,1
2021.3.30 20:42:34:131,14.804,right,0.5480550927300076,0.759,0.7220752209881524,2
2021.3.30 20:42:36:07,16.68,right,0.1714162017268565,0.46499999999999997,0.3686369929609818,2
2021.3.30 20:42:36:556,17.229,left,0.2407530750637831,0.357,0.674378361523202,1
2021.3.30 20:42:37:102,17.775,left,0.3811928241094004,0.45799999999999996,0.8322987425969443,2
2021.3.30 20:42:37:716,18.389,left,0.33536697624246437,0.436,0.7691903124827164,1
2021.3.30 20:42:37:986,18.659,left,0.28818976148312514,0.188,1.5329242632081124,1
2021.3.30 20:42:38:397,19.07,left,0.3018718968809151,0.368,0.8203040676111824,2
2021.3.30 20:42:38:586,19.259,left,0.1514893024846602,0.136,1.113891930034266,2
2021.3.30 20:42:38:902,19.575,left,0.14495846126352038,0.272,0.5329355193511779,1
2021.3.30 20:42:39:136,19.809,left,0.18284655833480343,0.18200000000000005,1.0046514194219966,1
2021.3.30 20:42:39:557,20.23,left,0.26007349649170003,0.371,0.7010067290881402,2
2021.3.30 20:42:40:391,21.064,left,0.16427003458471673,0.382,0.4300262685463789,2
2021.3.30 20:42:40:786,21.459,right,0.14270732076853443,0.171,0.8345457354885054,2
2021.3.30 20:42:41:394,22.067,right,0.18411590536236178,0.202,0.9114648780314939,1
2021.3.30 20:42:42:171,22.844,left,0.26614866580151864,0.45699999999999996,0.5823822008785966,1
2021.3.30 20:42:43:364,24.037,right,0.29957994585116066,0.496,0.6039918263128239,1
2021.3.30 20:42:43:938,24.611,right,0.36713096878629903,0.514,0.7142625851873522,3
2021.3.30 20:42:44:465,25.138,right,0.33949755921406694,0.487,0.6971202447927453,1
2021.3.30 20:42:45:477,26.15,left,0.31987417374875304,0.312,1.0252377363742085,1
2021.3.30 20:42:46:288,26.961,left,0.4147417341567412,0.619,0.6700189566344769,3
2021.3.30 20:42:47:548,28.221,left,0.2579101723669832,0.5509999999999999,0.468076537871113,2
2021.3.30 20:42:47:866,28.539,right,0.1687584526737446,0.229,0.7369364745578366,1
2021.3.30 20:42:48:53,28.726,left,0.10178146643864833,0.18700000000000006,0.5442859167842155,1
2021.3.30 20:42:48:633,29.306,left,0.18880449267766009,0.409,0.4616246764734966,2
2021.3.30 20:42:49:557,30.23,left,0.15786038239889047,0.418,0.37765641722222604,5
2021.3.30 20:42:50:408,31.081,left,0.21067830914345773,0.758,0.2779397218251421,5
2021.3.30 20:42:50:979,31.652,right,0.4879052827785625,1.245,0.3918917933964357,1
2021.3.30 20:42:51:301,31.974,left,0.8109477148647526,0.8069999999999999,1.0048918399811062,1
2021.3.30 20:42:51:420,32.093,right,0.3434457631391366,0.286,1.200859311675303,1
2021.3.30 20:42:51:736,32.409,right,0.11722900958004925,0.271,0.43257937114409317,2
2021.3.30 20:42:52:105,32.778,left,0.41462698052336705,0.64,0.647854657067761,1
2021.3.30 20:42:52:831,33.504,right,0.7671069999117939,1.027,0.7469396299043758,5
2021.3.30 20:42:53:80,33.753,left,0.609216172168381,0.6679999999999999,0.9120002577370974,5
2021.3.30 20:42:53:649,34.322,right,0.28111335864876363,0.382,0.7358988446302713,3
2021.3.30 20:42:54:363,35.036,right,0.4034011709495058,0.542,0.7442826032278704,2
2021.3.30 20:42:54:736,35.409,left,0.3998354041230795,0.373,1.071944783171795,2
2021.3.30 20:42:55:546,36.219,left,0.6905590159481951,0.751,0.9195193288258258,2
2021.3.30 20:42:55:922,36.595,right,0.9709942235263408,0.879,1.104657819711423,2
2021.3.30 20:42:56:623,37.296,right,0.36091518310934584,0.634,0.5692668503301985,2
2021.3.30 20:42:57:04,37.677,right,0.4684556697040154,0.32199999999999995,1.4548312723727188,3
2021.3.30 20:42:57:182,37.855,left,0.8870718042522777,1.4449999999999998,0.6138905219738947,3
2021.3.30 20:42:58:819,39.492,right,1.9098511653774546,1.754,1.0888547123018555,3
2021.3.30 20:42:59:517,40.19,right,0.5860880102379729,0.579,1.0122418138825093,2
2021.3.30 20:43:00:367,41.04,left,2.727407659737286,3.12,0.8741691217106686,2
2021.3.30 20:43:01:311,41.984,right,1.9196407048212027,1.718,1.1173694440169981,2
2021.3.30 20:43:01:903,42.576,left,0.872896158669725,1.023,0.8532709273408847,1
2021.3.30 20:43:02:695,43.368,left,0.5806258528898779,0.726,0.7997601279474902,5
2021.3.30 20:43:02:818,43.491,right,1.1169098153773866,1.333,0.8378918344916629,5
2021.3.30 20:43:04:903,45.576,left,2.2036089691427785,2.033,1.0839198077436196,1
2021.3.30 20:43:04:903,45.576,right,2.0259970472536986,2.033,0.9965553601838163,1
2021.3.30 20:43:05:223,45.896,right,0.27049647112061825,0.255,1.0607704749828166,2
2021.3.30 20:43:05:522,46.195,left,0.4841986200624227,0.554,0.8740047293545535,1
2021.3.30 20:43:05:991,46.664,left,0.34505727601851544,0.415,0.8314633157072662,2
2021.3.30 20:43:06:512,47.185,left,0.3061567018097211,0.451,0.6788396935913993,2
2021.3.30 20:43:07:735,48.408,right,2.424244904635076,2.45,0.989487716177582,1
2021.3.30 20:43:08:213,48.886,right,0.7707964836299985,0.42200000000000004,1.8265319517298542,2
2021.3.30 20:43:08:954,49.627,right,0.34295728059720687,0.354,0.9688058773932398,1
2021.3.30 20:43:09:712,50.385,left,1.1626949377475275,1.7309999999999999,0.6716897387334071,2
2021.3.30 20:43:10:10,50.683,right,1.457947787538872,0.994,1.4667482772020846,1
2021.3.30 20:43:10:513,51.186,right,0.4538339826954402,0.439,1.0337903933836905,2
2021.3.30 20:43:10:704,51.377,left,0.5069258971454995,0.694,0.7304407739848696,2
2021.3.30 20:43:11:298,51.971,right,0.3439670819333186,0.6599999999999999,0.5211622453535131,1
2021.3.30 20:43:11:489,52.162,left,0.8300263159538832,0.729,1.13858205206294,2
2021.3.30 20:43:12:893,53.566,right,1.3902742617732753,1.218,1.1414402806020323,2
2021.3.30 20:43:14:20,54.693,left,1.297240823882342,1.315,0.9864949231044426,2
2021.3.30 20:43:15:528,56.201,left,0.984984138749097,1.316,0.7484681905388274,1
2021.3.30 20:43:16:140,56.813,left,0.5108457134263638,0.556,0.9187872543639635,2
2021.3.30 20:43:16:697,57.37,left,0.10067890067724727,0.366,0.2750789635990363,2
2021.3.30 20:43:17:868,58.541,right,4.609555096497189,4.913,0.938236331466963,2
2021.3.30 20:43:18:233,58.906,left,1.2985041373697896,0.997,1.3024113714842425,1
2021.3.30 20:43:19:156,59.829,left,0.6620129253930108,0.5509999999999999,1.201475363689675,1
2021.3.30 20:43:19:581,60.254,left,0.17385839679911666,0.367,0.4737286016324705,1
2021.3.30 20:43:19:778,60.451,right,1.8664599590004431,1.663,1.1223451346965985,1
2021.3.30 20:43:20:726,61.399,left,0.4859861716822265,0.64,0.759353393253479,2
2021.3.30 20:43:21:49,61.722,right,0.8301148642054389,0.899,0.923375822252991,1
2021.3.30 20:43:21:483,62.156,right,0.6724139169769451,0.377,1.7835912917160346,2
2021.3.30 20:43:21:786,62.459,left,0.3519174962025259,0.495,0.7109444367727795,2
2021.3.30 20:43:22:760,63.433,right,0.5844723482629487,0.776,0.7531860158027689,2
2021.3.30 20:43:22:956,63.629,left,1.0906853721342162,1.037,1.0517698863396492,2
2021.3.30 20:43:23:894,64.567,left,0.760268176324733,0.881,0.8629604725592883,1
2021.3.30 20:43:23:894,64.567,right,1.4102572100408188,1.075,1.3118671721309942,1
2021.3.30 20:43:24:276,64.949,left,0.3280636175660991,0.31599999999999995,1.03817600495601,2
