time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z
2021.4.5 20:20:03:35,-0.03,1.18,0.07,0.24,1.20,0.08,-0.02,0.22,-0.17,0.23,0.21,-0.20,0.11,1.67,-0.15
2021.4.5 20:20:03:201,-0.04,1.22,0.08,0.26,1.23,0.07,-0.02,0.22,-0.17,0.23,0.21,-0.20,0.12,1.67,-0.15
2021.4.5 20:20:03:216,-0.04,1.23,0.08,0.26,1.23,0.07,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.12,1.67,-0.15
2021.4.5 20:20:03:232,-0.04,1.24,0.08,0.26,1.23,0.07,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.12,1.67,-0.15
2021.4.5 20:20:03:245,-0.04,1.25,0.09,0.26,1.23,0.07,-0.02,0.22,-0.18,0.23,0.20,-0.20,0.12,1.67,-0.15
2021.4.5 20:20:03:257,-0.04,1.26,0.09,0.26,1.22,0.07,-0.02,0.22,-0.18,0.23,0.20,-0.20,0.12,1.67,-0.15
2021.4.5 20:20:03:267,-0.05,1.27,0.09,0.26,1.22,0.07,-0.02,0.22,-0.18,0.23,0.20,-0.20,0.12,1.67,-0.15
2021.4.5 20:20:03:278,-0.05,1.29,0.09,0.26,1.21,0.08,-0.02,0.22,-0.18,0.23,0.20,-0.20,0.12,1.67,-0.15
2021.4.5 20:20:03:293,-0.05,1.30,0.09,0.26,1.21,0.08,-0.02,0.22,-0.18,0.23,0.20,-0.20,0.12,1.67,-0.15
2021.4.5 20:20:03:308,-0.05,1.32,0.08,0.26,1.20,0.08,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.12,1.67,-0.15
2021.4.5 20:20:03:316,-0.05,1.33,0.08,0.26,1.20,0.08,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.12,1.67,-0.15
2021.4.5 20:20:03:325,-0.05,1.34,0.08,0.26,1.19,0.08,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.12,1.67,-0.15
2021.4.5 20:20:03:344,-0.05,1.36,0.08,0.26,1.18,0.08,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.12,1.67,-0.15
2021.4.5 20:20:03:368,-0.06,1.39,0.07,0.26,1.17,0.08,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.13,1.67,-0.15
2021.4.5 20:20:03:392,-0.06,1.42,0.06,0.26,1.16,0.08,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.12,1.67,-0.14
2021.4.5 20:20:03:411,-0.06,1.44,0.05,0.26,1.15,0.08,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.12,1.67,-0.14
2021.4.5 20:20:03:435,-0.06,1.46,0.04,0.26,1.14,0.08,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.12,1.66,-0.14
2021.4.5 20:20:03:457,-0.06,1.47,0.03,0.26,1.14,0.07,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.12,1.66,-0.14
2021.4.5 20:20:03:479,-0.06,1.49,0.02,0.26,1.13,0.07,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.12,1.66,-0.14
2021.4.5 20:20:03:501,-0.07,1.50,0.01,0.26,1.13,0.07,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.11,1.66,-0.13
2021.4.5 20:20:03:523,-0.07,1.51,0.00,0.27,1.12,0.07,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.11,1.66,-0.13
2021.4.5 20:20:03:545,-0.07,1.52,0.00,0.27,1.12,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.11,1.66,-0.13
2021.4.5 20:20:03:575,-0.07,1.53,-0.01,0.27,1.12,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.10,1.66,-0.13
2021.4.5 20:20:03:590,-0.07,1.54,-0.02,0.27,1.11,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.10,1.66,-0.12
2021.4.5 20:20:03:612,-0.07,1.54,-0.02,0.27,1.11,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.10,1.65,-0.12
2021.4.5 20:20:03:635,-0.07,1.55,-0.02,0.27,1.11,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.10,1.65,-0.12
2021.4.5 20:20:03:658,-0.06,1.55,-0.03,0.27,1.11,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.09,1.65,-0.11
2021.4.5 20:20:03:681,-0.06,1.55,-0.03,0.27,1.11,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.09,1.65,-0.11
2021.4.5 20:20:03:702,-0.06,1.55,-0.03,0.28,1.11,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.09,1.65,-0.11
2021.4.5 20:20:03:724,-0.06,1.55,-0.03,0.28,1.11,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.08,1.65,-0.11
2021.4.5 20:20:03:749,-0.06,1.55,-0.03,0.28,1.11,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.08,1.64,-0.11
2021.4.5 20:20:03:769,-0.06,1.55,-0.03,0.28,1.11,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.08,1.64,-0.10
2021.4.5 20:20:03:791,-0.06,1.55,-0.03,0.28,1.11,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.08,1.64,-0.10
2021.4.5 20:20:03:814,-0.06,1.55,-0.03,0.28,1.12,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.07,1.63,-0.10
2021.4.5 20:20:03:824,-0.06,1.55,-0.03,0.28,1.12,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.07,1.63,-0.10
2021.4.5 20:20:03:836,-0.06,1.55,-0.03,0.28,1.12,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.07,1.63,-0.10
2021.4.5 20:20:03:849,-0.06,1.55,-0.03,0.28,1.12,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.07,1.63,-0.10
2021.4.5 20:20:03:865,-0.06,1.55,-0.02,0.28,1.12,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.07,1.63,-0.10
2021.4.5 20:20:03:875,-0.06,1.55,-0.02,0.28,1.12,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.07,1.63,-0.10
2021.4.5 20:20:03:884,-0.06,1.55,-0.02,0.28,1.12,0.06,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.06,1.63,-0.10
2021.4.5 20:20:03:893,-0.06,1.55,-0.02,0.28,1.12,0.07,-0.02,0.22,-0.18,0.23,0.21,-0.20,0.06,1.63,-0.10
