time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.14 10:10:18:311,0.48,1.19,0.21,0.22,1.37,0.28,0.18,0.20,-0.01,0.48,0.30,-0.06,0.30,1.64,0.02,0.02,0.04,0.00,-0.03,0.00,-0.01
2021.4.14 10:10:18:328,0.48,1.19,0.21,0.22,1.37,0.28,0.18,0.20,-0.01,0.48,0.30,-0.06,0.30,1.64,0.02,0.01,0.03,0.00,-0.03,0.00,-0.01
2021.4.14 10:10:18:383,0.48,1.19,0.21,0.22,1.37,0.28,0.18,0.20,-0.01,0.48,0.30,-0.06,0.30,1.64,0.02,0.00,0.00,0.01,-0.03,0.00,-0.01
2021.4.14 10:10:18:581,0.49,1.19,0.21,0.22,1.37,0.28,0.18,0.20,-0.01,0.49,0.32,-0.06,0.30,1.64,0.02,0.02,0.02,-0.01,0.00,0.00,-0.01
2021.4.14 10:10:18:596,0.49,1.19,0.21,0.22,1.37,0.28,0.18,0.20,-0.01,0.49,0.32,-0.06,0.30,1.64,0.01,0.02,0.02,-0.01,0.00,0.01,-0.01
2021.4.14 10:10:18:615,0.49,1.19,0.21,0.22,1.37,0.28,0.18,0.20,-0.01,0.49,0.32,-0.06,0.30,1.64,0.01,0.01,0.02,-0.01,0.00,0.01,-0.01
2021.4.14 10:10:18:631,0.49,1.19,0.21,0.22,1.37,0.28,0.18,0.20,-0.01,0.49,0.32,-0.06,0.30,1.64,0.01,0.01,0.02,-0.02,0.00,0.01,-0.01
2021.4.14 10:10:18:639,0.49,1.19,0.21,0.22,1.37,0.28,0.18,0.20,-0.01,0.49,0.32,-0.06,0.30,1.64,0.01,0.01,0.02,-0.02,0.00,0.01,-0.01
2021.4.14 10:10:18:646,0.49,1.19,0.21,0.22,1.37,0.28,0.18,0.20,-0.01,0.49,0.32,-0.06,0.30,1.64,0.01,0.01,0.02,-0.02,0.01,0.01,-0.01
2021.4.14 10:10:18:651,0.49,1.19,0.21,0.22,1.37,0.28,0.18,0.20,-0.01,0.49,0.32,-0.06,0.30,1.64,0.01,0.01,0.02,-0.02,0.00,0.01,-0.01
2021.4.14 10:10:18:662,0.49,1.19,0.21,0.22,1.37,0.28,0.18,0.20,-0.01,0.49,0.32,-0.06,0.30,1.64,0.01,0.01,0.02,-0.02,0.00,0.01,-0.01
2021.4.14 10:10:18:673,0.49,1.19,0.21,0.22,1.37,0.28,0.18,0.20,-0.01,0.49,0.32,-0.06,0.30,1.64,0.01,0.01,0.03,-0.02,0.00,0.01,-0.01
2021.4.14 10:10:18:696,0.49,1.19,0.21,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,0.01,0.03,-0.02,0.00,0.01,-0.01
2021.4.14 10:10:18:719,0.49,1.19,0.21,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,0.01,0.03,-0.02,0.00,0.00,-0.01
2021.4.14 10:10:18:741,0.49,1.20,0.21,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,0.01,0.02,-0.02,0.00,0.00,-0.01
2021.4.14 10:10:18:772,0.49,1.20,0.21,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,0.01,0.02,-0.02,0.00,0.00,-0.01
2021.4.14 10:10:18:787,0.49,1.20,0.21,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,0.01,0.03,-0.02,0.01,0.00,-0.01
2021.4.14 10:10:18:812,0.49,1.20,0.21,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,0.02,0.03,-0.02,0.01,0.00,-0.01
2021.4.14 10:10:18:829,0.49,1.20,0.21,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,0.01,0.03,-0.02,0.01,0.00,-0.01
2021.4.14 10:10:18:852,0.49,1.20,0.21,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,0.00,0.02,-0.02,0.01,0.00,-0.01
2021.4.14 10:10:18:874,0.49,1.20,0.21,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,0.00,0.02,-0.02,0.01,0.00,-0.01
2021.4.14 10:10:18:899,0.49,1.20,0.21,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,0.00,0.02,-0.01,0.01,-0.01,-0.01
2021.4.14 10:10:18:924,0.49,1.20,0.21,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,0.00,0.01,-0.01,0.00,-0.01,-0.01
2021.4.14 10:10:18:941,0.49,1.20,0.21,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,0.00,0.01,-0.01,0.00,-0.01,-0.01
2021.4.14 10:10:18:963,0.49,1.20,0.20,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,-0.01,0.00,-0.01,0.00,-0.01,-0.01
2021.4.14 10:10:18:986,0.49,1.20,0.20,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,-0.01,0.01,-0.01,-0.01,0.00,-0.01
2021.4.14 10:10:19:09,0.49,1.20,0.20,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,-0.01,0.01,0.00,-0.01,0.00,0.00
2021.4.14 10:10:19:31,0.49,1.20,0.20,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,-0.01,0.01,0.00,-0.01,0.00,0.00
2021.4.14 10:10:19:53,0.49,1.20,0.20,0.22,1.37,0.28,0.19,0.19,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,-0.01,0.01,0.00,-0.01,0.01,0.00
2021.4.14 10:10:19:82,0.49,1.20,0.20,0.22,1.37,0.28,0.20,0.18,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,-0.02,0.01,0.00,-0.01,0.01,0.00
2021.4.14 10:10:19:100,0.49,1.20,0.20,0.22,1.37,0.28,0.20,0.18,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,-0.01,0.02,0.00,-0.01,0.01,-0.01
2021.4.14 10:10:19:120,0.48,1.20,0.20,0.22,1.37,0.28,0.20,0.18,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,0.00,0.02,0.00,0.00,0.01,-0.01
2021.4.14 10:10:19:143,0.48,1.20,0.20,0.22,1.37,0.28,0.20,0.18,-0.01,0.49,0.32,-0.05,0.30,1.64,0.01,-0.01,0.02,0.00,0.00,0.00,0.00
2021.4.14 10:10:19:164,0.48,1.20,0.20,0.22,1.37,0.28,0.20,0.18,-0.01,0.49,0.32,-0.06,0.30,1.64,0.01,-0.01,0.01,0.00,0.01,0.00,0.00
2021.4.14 10:10:19:194,0.48,1.20,0.20,0.22,1.37,0.28,0.20,0.18,-0.01,0.49,0.31,-0.06,0.30,1.64,0.01,-0.02,0.01,0.00,0.00,0.01,-0.01
2021.4.14 10:10:19:200,0.48,1.20,0.20,0.22,1.37,0.28,0.20,0.18,-0.01,0.49,0.31,-0.06,0.30,1.64,0.01,-0.01,0.01,-0.01,0.00,0.01,-0.01
2021.4.14 10:10:19:209,0.48,1.20,0.20,0.22,1.37,0.28,0.20,0.18,-0.01,0.48,0.30,-0.07,0.30,1.64,0.01,-0.01,0.01,-0.01,0.00,0.01,-0.01
2021.4.14 10:10:19:226,0.48,1.20,0.20,0.22,1.37,0.28,0.20,0.18,-0.01,0.48,0.30,-0.07,0.30,1.64,0.01,-0.01,0.01,-0.01,0.00,0.01,-0.02
2021.4.14 10:10:19:231,0.48,1.20,0.20,0.22,1.37,0.28,0.20,0.18,-0.01,0.47,0.28,-0.08,0.30,1.64,0.01,-0.01,0.01,-0.01,0.00,0.01,-0.02
2021.4.14 10:10:19:243,0.48,1.20,0.20,0.22,1.37,0.28,0.20,0.17,-0.01,0.47,0.28,-0.08,0.30,1.64,0.01,-0.01,0.01,-0.01,0.00,0.00,-0.02
2021.4.14 10:10:19:254,0.48,1.20,0.20,0.22,1.37,0.28,0.20,0.17,-0.01,0.47,0.28,-0.08,0.30,1.64,0.01,-0.01,0.00,-0.01,0.00,0.00,-0.02
2021.4.14 10:10:19:265,0.48,1.20,0.20,0.22,1.37,0.28,0.20,0.17,-0.01,0.47,0.28,-0.08,0.30,1.64,0.01,-0.01,0.00,-0.01,0.00,-0.01,-0.01
2021.4.14 10:10:19:277,0.48,1.20,0.20,0.22,1.37,0.28,0.21,0.17,-0.01,0.47,0.28,-0.08,0.30,1.64,0.01,-0.01,-0.01,-0.01,0.01,-0.01,-0.01
2021.4.14 10:10:19:288,0.48,1.20,0.20,0.22,1.37,0.28,0.21,0.17,-0.01,0.47,0.28,-0.07,0.30,1.64,0.01,-0.01,-0.01,-0.01,0.01,-0.02,0.00
2021.4.14 10:10:19:298,0.48,1.20,0.20,0.22,1.37,0.28,0.19,0.18,0.00,0.47,0.28,-0.07,0.30,1.64,0.01,-0.01,-0.01,0.00,0.00,-0.02,0.00
2021.4.14 10:10:19:310,0.48,1.20,0.20,0.22,1.37,0.28,0.19,0.19,-0.01,0.47,0.28,-0.07,0.30,1.64,0.01,0.00,-0.01,0.00,0.00,-0.03,0.01
2021.4.14 10:10:19:321,0.48,1.20,0.20,0.22,1.37,0.28,0.19,0.19,-0.01,0.47,0.29,-0.07,0.30,1.64,0.01,0.00,-0.01,0.00,0.00,-0.04,0.02
2021.4.14 10:10:19:332,0.48,1.20,0.20,0.22,1.37,0.28,0.18,0.20,-0.01,0.47,0.29,-0.07,0.30,1.64,0.01,0.00,-0.01,0.00,0.00,-0.05,0.03
2021.4.14 10:10:19:343,0.48,1.20,0.20,0.22,1.37,0.28,0.18,0.20,-0.01,0.47,0.29,-0.07,0.30,1.65,0.01,0.00,-0.01,0.00,-0.01,-0.05,0.03
2021.4.14 10:10:19:354,0.48,1.20,0.20,0.22,1.37,0.28,0.18,0.20,-0.01,0.47,0.29,-0.07,0.30,1.65,0.01,0.00,0.00,0.00,-0.01,-0.06,0.03
2021.4.14 10:10:19:367,0.48,1.20,0.20,0.22,1.37,0.28,0.18,0.19,-0.01,0.47,0.29,-0.07,0.30,1.65,0.01,0.00,0.00,0.00,-0.01,-0.06,0.03
2021.4.14 10:10:19:385,0.48,1.20,0.20,0.22,1.37,0.28,0.18,0.19,-0.01,0.47,0.29,-0.07,0.30,1.65,0.01,0.00,0.00,0.00,-0.01,-0.06,0.03
2021.4.14 10:10:19:391,0.48,1.20,0.20,0.22,1.36,0.28,0.18,0.19,-0.01,0.47,0.29,-0.07,0.30,1.65,0.01,0.00,0.00,0.00,-0.01,-0.06,0.03
2021.4.14 10:10:19:399,0.48,1.20,0.20,0.22,1.36,0.28,0.18,0.20,-0.01,0.47,0.29,-0.07,0.30,1.65,0.01,0.00,0.00,0.00,0.00,-0.06,0.02
2021.4.14 10:10:19:410,0.48,1.20,0.20,0.22,1.36,0.28,0.18,0.20,-0.01,0.47,0.29,-0.07,0.30,1.65,0.01,0.00,0.01,0.00,0.00,-0.05,0.02
2021.4.14 10:10:19:421,0.48,1.20,0.20,0.22,1.36,0.28,0.18,0.20,-0.01,0.47,0.29,-0.07,0.30,1.65,0.01,0.01,0.01,0.00,0.00,-0.05,0.01
2021.4.14 10:10:19:432,0.48,1.20,0.20,0.22,1.36,0.28,0.18,0.20,-0.01,0.47,0.29,-0.07,0.30,1.65,0.01,0.01,0.01,0.00,0.01,-0.05,0.01
2021.4.14 10:10:19:444,0.48,1.20,0.20,0.22,1.36,0.28,0.18,0.20,-0.01,0.47,0.29,-0.07,0.30,1.65,0.01,0.01,0.01,0.00,0.01,-0.04,0.00
2021.4.14 10:10:19:456,0.48,1.20,0.20,0.22,1.36,0.28,0.18,0.20,-0.01,0.47,0.28,-0.07,0.30,1.64,0.01,0.02,0.01,0.00,0.00,-0.04,0.00
2021.4.14 10:10:19:466,0.48,1.20,0.20,0.22,1.36,0.28,0.18,0.19,-0.01,0.47,0.28,-0.07,0.30,1.64,0.01,0.01,0.01,0.00,0.00,-0.03,-0.01
2021.4.14 10:10:19:478,0.48,1.20,0.20,0.22,1.36,0.28,0.18,0.19,-0.01,0.47,0.28,-0.07,0.30,1.64,0.01,0.01,0.01,0.00,0.00,-0.03,-0.01
