time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.9 20:58:22:409,-0.14,1.08,0.56,0.08,1.25,0.57,-0.16,0.17,0.24,0.14,0.20,0.23,-0.05,1.61,0.35,-0.02,0.02,0.00,0.01,0.00,-0.02
2021.4.9 20:58:22:572,-0.15,1.09,0.57,0.08,1.24,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.05,1.61,0.35,-0.01,0.05,0.02,0.02,-0.07,-0.03
2021.4.9 20:58:22:586,-0.15,1.09,0.57,0.08,1.24,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.05,1.61,0.35,0.00,0.05,0.02,0.01,-0.07,-0.02
2021.4.9 20:58:22:602,-0.15,1.09,0.57,0.08,1.24,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.05,1.61,0.35,-0.01,0.04,0.02,0.01,-0.08,-0.02
2021.4.9 20:58:22:619,-0.15,1.09,0.57,0.08,1.23,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.05,1.61,0.35,-0.01,0.03,0.02,0.01,-0.08,-0.01
2021.4.9 20:58:22:630,-0.15,1.09,0.57,0.08,1.23,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.05,1.61,0.35,-0.01,0.03,0.02,0.02,-0.09,-0.01
2021.4.9 20:58:22:639,-0.15,1.09,0.57,0.08,1.23,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.01,0.02,0.02,0.02,-0.09,-0.01
2021.4.9 20:58:22:651,-0.15,1.09,0.57,0.08,1.23,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.01,0.02,0.02,0.02,-0.09,-0.01
2021.4.9 20:58:22:659,-0.15,1.09,0.57,0.08,1.23,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.01,0.01,0.02,0.02,-0.09,-0.01
2021.4.9 20:58:22:667,-0.15,1.09,0.57,0.08,1.23,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.01,0.01,0.02,0.02,-0.08,-0.01
2021.4.9 20:58:22:675,-0.15,1.09,0.57,0.08,1.23,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.01,0.01,0.02,0.02,-0.08,-0.01
2021.4.9 20:58:22:684,-0.15,1.09,0.57,0.08,1.23,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.01,0.00,0.02,0.02,-0.08,-0.01
2021.4.9 20:58:22:695,-0.15,1.09,0.57,0.08,1.23,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.01,0.00,0.02,0.02,-0.08,-0.01
2021.4.9 20:58:22:707,-0.15,1.09,0.57,0.08,1.23,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.00,0.00,0.01,0.02,-0.07,-0.01
2021.4.9 20:58:22:719,-0.15,1.09,0.57,0.08,1.23,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.00,0.01,0.02,-0.06,-0.01
2021.4.9 20:58:22:730,-0.15,1.09,0.57,0.08,1.23,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.02,-0.01,0.01,0.01,-0.05,-0.01
2021.4.9 20:58:22:740,-0.15,1.09,0.57,0.08,1.23,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.02,0.00,0.01,0.01,-0.05,-0.01
2021.4.9 20:58:22:751,-0.15,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.03,0.00,0.01,0.00,-0.04,-0.01
2021.4.9 20:58:22:762,-0.15,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.02,0.00,0.01,-0.01,-0.03,-0.01
2021.4.9 20:58:22:773,-0.15,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.02,0.01,0.00,-0.01,-0.02,-0.01
2021.4.9 20:58:22:784,-0.14,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.02,0.01,0.00,-0.01,-0.02,-0.01
2021.4.9 20:58:22:795,-0.14,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.02,0.00,-0.01,-0.01,-0.01
2021.4.9 20:58:22:809,-0.14,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.03,0.00,-0.01,-0.01,-0.01
2021.4.9 20:58:22:819,-0.14,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.00,0.04,-0.01,-0.01,0.00,-0.01
2021.4.9 20:58:22:831,-0.14,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.00,0.04,-0.01,-0.02,0.00,-0.01
2021.4.9 20:58:22:840,-0.14,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.00,0.04,-0.01,-0.03,0.00,-0.01
2021.4.9 20:58:22:851,-0.14,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.01,0.05,-0.01,-0.03,0.01,-0.01
2021.4.9 20:58:22:862,-0.14,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.01,0.05,-0.01,-0.03,0.00,-0.01
2021.4.9 20:58:22:874,-0.15,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.01,0.06,-0.01,-0.03,0.00,0.00
2021.4.9 20:58:22:885,-0.14,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.00,0.06,0.00,-0.03,0.00,0.00
2021.4.9 20:58:22:897,-0.15,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.00,0.07,0.00,-0.03,-0.01,0.01
2021.4.9 20:58:22:912,-0.15,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.00,0.08,0.01,-0.03,-0.02,0.01
2021.4.9 20:58:22:922,-0.14,1.09,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.09,0.01,-0.03,-0.03,0.02
2021.4.9 20:58:22:931,-0.14,1.10,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.10,0.01,-0.03,-0.04,0.02
2021.4.9 20:58:22:941,-0.14,1.10,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.02,0.11,0.02,-0.03,-0.04,0.03
2021.4.9 20:58:22:953,-0.14,1.10,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.02,0.12,0.02,-0.03,-0.05,0.03
2021.4.9 20:58:22:964,-0.14,1.10,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.02,0.13,0.02,-0.02,-0.07,0.03
2021.4.9 20:58:22:975,-0.14,1.10,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.02,0.13,0.03,-0.01,-0.08,0.04
2021.4.9 20:58:22:986,-0.14,1.10,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.02,0.13,0.03,0.00,-0.10,0.04
2021.4.9 20:58:22:998,-0.14,1.10,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.12,0.03,0.02,-0.12,0.05
2021.4.9 20:58:23:12,-0.14,1.11,0.57,0.08,1.22,0.56,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.11,0.04,0.05,-0.17,0.06
2021.4.9 20:58:23:23,-0.14,1.11,0.57,0.08,1.21,0.57,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.10,0.04,0.06,-0.20,0.07
2021.4.9 20:58:23:32,-0.14,1.11,0.57,0.08,1.21,0.57,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.10,0.04,0.07,-0.24,0.08
2021.4.9 20:58:23:42,-0.14,1.11,0.57,0.08,1.21,0.57,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.08,0.05,0.08,-0.27,0.09
2021.4.9 20:58:23:53,-0.14,1.11,0.57,0.08,1.20,0.57,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.07,0.05,0.09,-0.30,0.09
2021.4.9 20:58:23:65,-0.14,1.11,0.57,0.08,1.20,0.57,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.05,0.06,0.09,-0.35,0.09
2021.4.9 20:58:23:75,-0.14,1.11,0.57,0.08,1.20,0.57,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.03,0.06,0.09,-0.38,0.09
2021.4.9 20:58:23:87,-0.14,1.11,0.57,0.09,1.19,0.57,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.01,0.00,0.07,0.09,-0.43,0.09
2021.4.9 20:58:23:100,-0.14,1.11,0.57,0.09,1.18,0.57,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,0.00,-0.02,0.07,0.08,-0.46,0.09
2021.4.9 20:58:23:112,-0.14,1.11,0.58,0.09,1.18,0.57,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.01,-0.04,0.08,0.07,-0.47,0.07
2021.4.9 20:58:23:121,-0.14,1.11,0.58,0.09,1.18,0.57,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.02,-0.05,0.08,0.06,-0.48,0.07
2021.4.9 20:58:23:131,-0.14,1.11,0.58,0.09,1.17,0.58,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.04,-0.05,0.08,0.05,-0.48,0.06
2021.4.9 20:58:23:142,-0.14,1.11,0.58,0.09,1.17,0.58,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.06,-0.05,0.08,0.03,-0.46,0.06
2021.4.9 20:58:23:153,-0.14,1.11,0.58,0.09,1.16,0.58,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.06,-0.05,0.08,0.02,-0.45,0.06
2021.4.9 20:58:23:164,-0.14,1.11,0.58,0.09,1.16,0.58,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.07,-0.03,0.07,0.02,-0.41,0.04
2021.4.9 20:58:23:175,-0.15,1.11,0.58,0.09,1.15,0.58,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.07,0.00,0.06,0.01,-0.36,0.03
2021.4.9 20:58:23:188,-0.15,1.11,0.58,0.09,1.15,0.58,-0.16,0.17,0.24,0.14,0.20,0.23,-0.06,1.61,0.35,-0.07,0.06,0.05,0.00,-0.31,0.03
