time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.10 19:15:33:363,-0.11,0.89,-0.42,0.16,0.93,-0.36,-0.12,0.22,-0.73,0.09,0.24,-0.51,0.07,1.58,-0.54,-0.24,0.06,-0.04,-0.13,-0.01,-0.12
2021.4.10 19:15:33:500,-0.14,0.89,-0.43,0.14,0.93,-0.38,-0.13,0.21,-0.74,0.09,0.24,-0.51,0.05,1.59,-0.56,-0.27,0.01,-0.10,-0.19,-0.03,-0.14
2021.4.10 19:15:33:514,-0.15,0.89,-0.44,0.14,0.93,-0.38,-0.13,0.21,-0.75,0.08,0.24,-0.51,0.05,1.59,-0.57,-0.27,0.00,-0.10,-0.20,-0.05,-0.14
2021.4.10 19:15:33:535,-0.15,0.89,-0.44,0.13,0.93,-0.38,-0.13,0.21,-0.75,0.08,0.24,-0.51,0.04,1.59,-0.57,-0.27,0.00,-0.11,-0.19,-0.06,-0.14
2021.4.10 19:15:33:552,-0.16,0.89,-0.44,0.13,0.93,-0.38,-0.12,0.21,-0.75,0.08,0.24,-0.51,0.04,1.59,-0.57,-0.28,-0.01,-0.11,-0.17,-0.04,-0.16
2021.4.10 19:15:33:576,-0.17,0.89,-0.44,0.13,0.93,-0.39,-0.12,0.21,-0.75,0.08,0.24,-0.51,0.03,1.59,-0.57,-0.28,-0.01,-0.11,-0.15,-0.03,-0.17
2021.4.10 19:15:33:587,-0.17,0.89,-0.44,0.13,0.93,-0.39,-0.12,0.21,-0.75,0.08,0.24,-0.51,0.03,1.59,-0.58,-0.28,-0.02,-0.11,-0.16,-0.03,-0.18
2021.4.10 19:15:33:596,-0.17,0.89,-0.45,0.12,0.93,-0.39,-0.12,0.21,-0.75,0.08,0.24,-0.51,0.03,1.59,-0.58,-0.28,-0.02,-0.11,-0.17,-0.05,-0.17
2021.4.10 19:15:33:605,-0.17,0.89,-0.45,0.12,0.93,-0.39,-0.12,0.21,-0.75,0.08,0.24,-0.51,0.03,1.59,-0.58,-0.27,-0.02,-0.11,-0.17,-0.06,-0.17
2021.4.10 19:15:33:613,-0.18,0.89,-0.45,0.12,0.93,-0.40,-0.12,0.21,-0.75,0.08,0.24,-0.51,0.03,1.59,-0.58,-0.27,-0.02,-0.12,-0.18,-0.07,-0.17
2021.4.10 19:15:33:622,-0.18,0.89,-0.45,0.12,0.93,-0.40,-0.12,0.21,-0.75,0.08,0.24,-0.51,0.02,1.59,-0.58,-0.27,-0.02,-0.12,-0.19,-0.08,-0.17
2021.4.10 19:15:33:630,-0.18,0.89,-0.45,0.12,0.93,-0.40,-0.13,0.21,-0.75,0.08,0.24,-0.51,0.02,1.59,-0.58,-0.27,-0.02,-0.12,-0.20,-0.08,-0.17
2021.4.10 19:15:33:639,-0.18,0.89,-0.45,0.12,0.93,-0.40,-0.13,0.21,-0.75,0.08,0.24,-0.51,0.02,1.59,-0.58,-0.27,-0.02,-0.12,-0.20,-0.08,-0.17
2021.4.10 19:15:33:650,-0.19,0.89,-0.45,0.11,0.93,-0.40,-0.13,0.21,-0.76,0.08,0.24,-0.51,0.02,1.59,-0.58,-0.27,-0.02,-0.11,-0.19,-0.08,-0.18
2021.4.10 19:15:33:681,-0.19,0.89,-0.46,0.11,0.92,-0.41,-0.13,0.21,-0.76,0.08,0.24,-0.51,0.01,1.59,-0.59,-0.27,-0.01,-0.11,-0.18,-0.09,-0.20
2021.4.10 19:15:33:695,-0.20,0.89,-0.46,0.11,0.92,-0.41,-0.13,0.21,-0.76,0.08,0.24,-0.51,0.01,1.59,-0.59,-0.27,-0.01,-0.10,-0.17,-0.11,-0.21
2021.4.10 19:15:33:704,-0.20,0.89,-0.46,0.10,0.92,-0.41,-0.13,0.21,-0.76,0.08,0.24,-0.51,0.01,1.59,-0.59,-0.28,-0.02,-0.10,-0.17,-0.12,-0.21
2021.4.10 19:15:33:713,-0.20,0.89,-0.46,0.10,0.92,-0.41,-0.13,0.21,-0.76,0.08,0.24,-0.51,0.00,1.59,-0.59,-0.28,-0.03,-0.10,-0.16,-0.14,-0.21
2021.4.10 19:15:33:723,-0.21,0.89,-0.46,0.10,0.92,-0.42,-0.13,0.21,-0.76,0.08,0.24,-0.51,0.00,1.59,-0.59,-0.27,-0.04,-0.10,-0.16,-0.17,-0.22
2021.4.10 19:15:33:732,-0.21,0.89,-0.46,0.10,0.92,-0.42,-0.13,0.21,-0.76,0.08,0.24,-0.51,0.00,1.59,-0.60,-0.27,-0.04,-0.10,-0.16,-0.18,-0.23
2021.4.10 19:15:33:740,-0.21,0.89,-0.46,0.10,0.91,-0.42,-0.13,0.21,-0.76,0.08,0.24,-0.51,0.00,1.59,-0.60,-0.27,-0.06,-0.10,-0.15,-0.19,-0.24
2021.4.10 19:15:33:763,-0.22,0.89,-0.46,0.09,0.91,-0.43,-0.13,0.21,-0.76,0.08,0.25,-0.51,0.00,1.59,-0.60,-0.25,-0.07,-0.10,-0.14,-0.19,-0.25
