time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z
2021.4.3 15:32:14:291,-0.23,0.90,0.37,0.07,1.19,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.67,0.23
2021.4.3 15:32:14:345,-0.23,0.90,0.37,0.07,1.19,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.67,0.23
2021.4.3 15:32:14:348,-0.23,0.90,0.37,0.07,1.19,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.67,0.23
2021.4.3 15:32:14:350,-0.23,0.90,0.37,0.07,1.19,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.67,0.23
2021.4.3 15:32:14:353,-0.23,0.90,0.37,0.07,1.19,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.67,0.23
2021.4.3 15:32:14:361,-0.23,0.90,0.37,0.07,1.19,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.67,0.23
2021.4.3 15:32:14:373,-0.23,0.90,0.37,0.07,1.19,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.67,0.23
2021.4.3 15:32:14:383,-0.23,0.90,0.37,0.07,1.19,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.67,0.23
2021.4.3 15:32:14:394,-0.23,0.90,0.37,0.07,1.19,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.67,0.23
2021.4.3 15:32:14:405,-0.23,0.90,0.37,0.07,1.19,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.67,0.23
2021.4.3 15:32:14:417,-0.24,0.90,0.37,0.07,1.18,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.67,0.23
2021.4.3 15:32:14:429,-0.24,0.90,0.37,0.07,1.18,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.67,0.23
2021.4.3 15:32:14:439,-0.24,0.90,0.37,0.07,1.18,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.67,0.23
2021.4.3 15:32:14:450,-0.24,0.90,0.37,0.07,1.18,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.68,0.23
2021.4.3 15:32:14:462,-0.24,0.90,0.37,0.07,1.17,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.68,0.23
2021.4.3 15:32:14:473,-0.24,0.90,0.37,0.07,1.17,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.68,0.23
2021.4.3 15:32:14:484,-0.24,0.90,0.37,0.07,1.17,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.68,0.23
2021.4.3 15:32:14:495,-0.24,0.90,0.37,0.07,1.16,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.68,0.23
2021.4.3 15:32:14:507,-0.24,0.90,0.37,0.07,1.16,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.07,1.68,0.23
2021.4.3 15:32:14:517,-0.24,0.90,0.37,0.07,1.16,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:529,-0.24,0.90,0.37,0.07,1.15,0.46,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:539,-0.24,0.90,0.37,0.07,1.15,0.45,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:551,-0.24,0.90,0.37,0.08,1.15,0.45,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:562,-0.24,0.90,0.37,0.08,1.14,0.45,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:573,-0.24,0.90,0.37,0.08,1.14,0.45,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:584,-0.24,0.90,0.37,0.08,1.13,0.45,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:595,-0.24,0.90,0.37,0.08,1.13,0.45,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:607,-0.24,0.90,0.36,0.08,1.12,0.45,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:618,-0.24,0.90,0.36,0.08,1.12,0.44,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:629,-0.24,0.90,0.36,0.08,1.11,0.44,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:640,-0.24,0.90,0.36,0.08,1.11,0.44,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:651,-0.24,0.90,0.36,0.08,1.10,0.44,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:663,-0.24,0.90,0.36,0.08,1.10,0.44,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
2021.4.3 15:32:14:674,-0.24,0.90,0.36,0.08,1.10,0.44,-0.20,0.21,0.09,0.07,0.21,0.10,-0.08,1.68,0.23
