time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z
2021.4.4 16:38:01:874,-0.13,1.22,0.45,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.23,1.76,0.19
2021.4.4 16:38:02:36,-0.14,1.21,0.45,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.22,1.75,0.19
2021.4.4 16:38:02:61,-0.14,1.21,0.45,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.22,1.75,0.19
2021.4.4 16:38:02:81,-0.14,1.21,0.45,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.22,1.75,0.19
2021.4.4 16:38:02:94,-0.14,1.21,0.45,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.22,1.75,0.19
2021.4.4 16:38:02:103,-0.14,1.21,0.45,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.22,1.75,0.19
2021.4.4 16:38:02:111,-0.14,1.21,0.45,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.22,1.76,0.19
2021.4.4 16:38:02:120,-0.14,1.21,0.45,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.22,1.76,0.19
2021.4.4 16:38:02:129,-0.14,1.21,0.45,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.22,1.76,0.19
2021.4.4 16:38:02:139,-0.14,1.21,0.45,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.22,1.76,0.19
2021.4.4 16:38:02:153,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.22,1.76,0.19
2021.4.4 16:38:02:164,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.22,1.76,0.19
2021.4.4 16:38:02:173,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.22,1.76,0.19
2021.4.4 16:38:02:182,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.21,1.76,0.19
2021.4.4 16:38:02:191,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.21,1.76,0.19
2021.4.4 16:38:02:201,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.21,1.76,0.19
2021.4.4 16:38:02:213,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.21,1.76,0.19
2021.4.4 16:38:02:224,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.21,1.76,0.19
2021.4.4 16:38:02:239,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.21,1.76,0.19
2021.4.4 16:38:02:251,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.21,1.76,0.19
2021.4.4 16:38:02:260,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.21,1.76,0.19
2021.4.4 16:38:02:269,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.21,1.76,0.19
2021.4.4 16:38:02:280,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.20,1.76,0.19
2021.4.4 16:38:02:291,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.20,1.76,0.18
2021.4.4 16:38:02:302,-0.14,1.21,0.46,-0.32,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.20,1.76,0.18
2021.4.4 16:38:02:313,-0.13,1.21,0.46,-0.31,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.20,1.76,0.18
2021.4.4 16:38:02:326,-0.13,1.21,0.46,-0.31,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.20,1.76,0.18
2021.4.4 16:38:02:344,-0.13,1.21,0.46,-0.31,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.19,1.76,0.18
2021.4.4 16:38:02:353,-0.13,1.21,0.46,-0.31,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.19,1.76,0.18
2021.4.4 16:38:02:362,-0.13,1.21,0.46,-0.31,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.19,1.76,0.18
2021.4.4 16:38:02:370,-0.13,1.21,0.46,-0.31,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.19,1.76,0.18
2021.4.4 16:38:02:380,-0.13,1.21,0.46,-0.31,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.19,1.75,0.18
2021.4.4 16:38:02:391,-0.13,1.21,0.46,-0.31,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.19,1.75,0.18
2021.4.4 16:38:02:403,-0.13,1.21,0.46,-0.31,1.15,0.46,-0.74,0.73,1.71,0.00,0.00,0.00,-0.19,1.75,0.18
