time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.12 15:01:54:731,0.33,1.17,0.04,0.50,1.25,-0.01,0.09,0.21,-0.24,0.42,0.23,-0.30,0.39,1.75,-0.19,-0.01,0.00,0.00,-0.02,0.01,-0.01
2021.4.12 15:01:54:741,0.33,1.17,0.04,0.50,1.25,-0.01,0.09,0.21,-0.24,0.42,0.23,-0.30,0.39,1.75,-0.19,-0.01,0.00,0.00,-0.01,0.02,-0.01
2021.4.12 15:01:54:775,0.33,1.17,0.04,0.50,1.25,-0.01,0.09,0.21,-0.24,0.42,0.23,-0.30,0.39,1.75,-0.19,-0.01,0.00,0.00,0.00,0.05,-0.03
2021.4.12 15:01:54:940,0.33,1.17,0.04,0.49,1.25,-0.01,0.09,0.21,-0.24,0.42,0.23,-0.30,0.39,1.75,-0.19,-0.01,0.00,0.00,0.01,-0.01,0.01
2021.4.12 15:01:54:955,0.33,1.17,0.04,0.49,1.25,-0.01,0.09,0.21,-0.24,0.42,0.23,-0.30,0.39,1.75,-0.19,-0.01,0.00,0.00,0.01,-0.01,0.01
2021.4.12 15:01:54:970,0.33,1.17,0.04,0.49,1.25,-0.01,0.09,0.21,-0.24,0.42,0.23,-0.30,0.39,1.75,-0.19,-0.01,0.00,0.00,0.00,-0.01,0.01
2021.4.12 15:01:54:977,0.33,1.17,0.04,0.49,1.25,-0.01,0.09,0.21,-0.24,0.42,0.23,-0.30,0.39,1.75,-0.19,-0.01,0.01,0.00,-0.01,-0.01,0.00
2021.4.12 15:01:54:985,0.33,1.17,0.04,0.49,1.25,-0.01,0.09,0.21,-0.24,0.42,0.23,-0.30,0.39,1.75,-0.19,-0.01,0.01,0.00,-0.01,0.00,0.00
2021.4.12 15:01:54:993,0.33,1.17,0.04,0.49,1.25,-0.01,0.09,0.21,-0.24,0.42,0.23,-0.30,0.39,1.75,-0.19,-0.01,0.01,0.00,-0.01,0.00,0.00
2021.4.12 15:01:54:999,0.33,1.17,0.04,0.49,1.25,-0.01,0.09,0.21,-0.24,0.42,0.23,-0.30,0.39,1.75,-0.19,0.00,0.01,0.00,-0.02,0.01,0.00
2021.4.12 15:01:55:08,0.33,1.17,0.04,0.49,1.25,-0.01,0.09,0.21,-0.24,0.42,0.23,-0.30,0.39,1.75,-0.19,0.00,0.01,0.00,-0.02,0.02,0.00
2021.4.12 15:01:55:13,0.33,1.17,0.04,0.49,1.25,-0.01,0.09,0.21,-0.24,0.42,0.23,-0.30,0.39,1.75,-0.19,0.00,0.01,0.00,-0.02,0.02,0.00
