time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z
2021.4.4 15:02:42:774,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.44
2021.4.4 15:02:42:934,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.44
2021.4.4 15:02:42:958,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:42:983,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:42:995,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:05,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:15,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:24,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:33,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:48,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:63,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:74,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:85,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:96,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:108,-0.29,1.09,0.55,0.02,1.15,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:118,-0.29,1.09,0.55,0.02,1.14,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:132,-0.29,1.09,0.55,0.02,1.14,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:145,-0.29,1.09,0.55,0.02,1.14,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:156,-0.29,1.09,0.55,0.02,1.14,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:166,-0.29,1.09,0.55,0.02,1.14,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:175,-0.29,1.09,0.55,0.02,1.14,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:186,-0.29,1.09,0.55,0.02,1.14,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:197,-0.29,1.09,0.55,0.02,1.14,0.58,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:207,-0.29,1.09,0.55,0.02,1.14,0.58,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:218,-0.29,1.09,0.55,0.02,1.14,0.58,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:230,-0.29,1.09,0.55,0.02,1.14,0.58,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:244,-0.29,1.09,0.55,0.02,1.14,0.58,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:261,-0.29,1.09,0.55,0.02,1.14,0.58,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:283,-0.29,1.09,0.55,0.02,1.14,0.58,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:306,-0.29,1.09,0.55,0.02,1.14,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:329,-0.29,1.09,0.55,0.02,1.14,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:350,-0.29,1.09,0.55,0.02,1.14,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
2021.4.4 15:02:43:373,-0.29,1.09,0.55,0.02,1.14,0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,1.68,0.45
