time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z
2021.4.5 20:04:04:222,-0.03,0.96,0.15,0.21,1.24,0.31,0.01,0.25,-0.12,0.23,0.24,-0.08,0.14,1.63,-0.03
2021.4.5 20:04:04:382,-0.03,0.96,0.15,0.21,1.24,0.30,0.01,0.25,-0.12,0.23,0.24,-0.08,0.14,1.63,-0.03
2021.4.5 20:04:04:401,-0.03,0.96,0.15,0.21,1.24,0.30,0.01,0.25,-0.12,0.23,0.24,-0.08,0.14,1.63,-0.03
2021.4.5 20:04:04:419,-0.03,0.96,0.15,0.21,1.23,0.30,0.01,0.25,-0.12,0.23,0.24,-0.08,0.14,1.63,-0.03
2021.4.5 20:04:04:439,-0.03,0.95,0.15,0.21,1.23,0.30,0.01,0.25,-0.12,0.23,0.24,-0.08,0.14,1.63,-0.03
2021.4.5 20:04:04:449,-0.03,0.95,0.15,0.21,1.23,0.30,0.01,0.25,-0.12,0.23,0.24,-0.08,0.14,1.63,-0.03
2021.4.5 20:04:04:459,-0.03,0.95,0.15,0.21,1.23,0.30,0.01,0.25,-0.12,0.23,0.24,-0.08,0.14,1.63,-0.03
2021.4.5 20:04:04:468,-0.03,0.95,0.15,0.21,1.23,0.30,0.01,0.25,-0.12,0.23,0.24,-0.08,0.14,1.63,-0.03
2021.4.5 20:04:04:479,-0.03,0.95,0.15,0.21,1.23,0.30,0.01,0.25,-0.12,0.23,0.24,-0.08,0.14,1.63,-0.03
2021.4.5 20:04:04:495,-0.03,0.95,0.15,0.21,1.23,0.30,0.01,0.25,-0.12,0.23,0.24,-0.08,0.14,1.63,-0.03
2021.4.5 20:04:04:509,-0.03,0.95,0.15,0.21,1.23,0.30,0.01,0.25,-0.12,0.23,0.24,-0.08,0.13,1.63,-0.03
2021.4.5 20:04:04:518,-0.03,0.95,0.15,0.21,1.23,0.30,0.01,0.25,-0.12,0.23,0.24,-0.08,0.13,1.63,-0.03
2021.4.5 20:04:04:526,-0.03,0.95,0.15,0.21,1.23,0.30,0.01,0.25,-0.12,0.23,0.24,-0.08,0.13,1.63,-0.03
2021.4.5 20:04:04:541,-0.03,0.95,0.15,0.21,1.22,0.30,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.03
2021.4.5 20:04:04:565,-0.03,0.95,0.15,0.22,1.22,0.30,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.03
2021.4.5 20:04:04:587,-0.03,0.96,0.15,0.22,1.22,0.30,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.03
2021.4.5 20:04:04:609,-0.03,0.96,0.15,0.22,1.22,0.30,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.03
2021.4.5 20:04:04:631,-0.03,0.96,0.15,0.22,1.21,0.30,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.03
2021.4.5 20:04:04:652,-0.03,0.96,0.15,0.22,1.21,0.30,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.03
2021.4.5 20:04:04:684,-0.03,0.96,0.15,0.23,1.20,0.30,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.64,-0.03
2021.4.5 20:04:04:699,-0.03,0.96,0.15,0.23,1.19,0.30,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.03
2021.4.5 20:04:04:723,-0.03,0.96,0.15,0.23,1.18,0.29,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.03
2021.4.5 20:04:04:742,-0.03,0.97,0.15,0.23,1.18,0.29,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.62,-0.03
2021.4.5 20:04:04:764,-0.03,0.97,0.15,0.23,1.17,0.29,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.03
2021.4.5 20:04:04:787,-0.03,0.97,0.16,0.23,1.16,0.29,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.61,-0.03
2021.4.5 20:04:04:809,-0.03,0.97,0.16,0.24,1.16,0.29,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.61,-0.03
2021.4.5 20:04:04:831,-0.03,0.98,0.16,0.24,1.15,0.28,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.61,-0.03
2021.4.5 20:04:04:856,-0.03,0.98,0.16,0.24,1.15,0.28,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.61,-0.03
2021.4.5 20:04:04:881,-0.03,0.98,0.16,0.25,1.14,0.28,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.61,-0.03
2021.4.5 20:04:04:898,-0.03,0.99,0.16,0.25,1.14,0.28,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.61,-0.03
2021.4.5 20:04:04:921,-0.03,0.99,0.16,0.25,1.14,0.28,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.62,-0.03
2021.4.5 20:04:04:945,-0.03,1.00,0.16,0.26,1.14,0.28,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.62,-0.03
2021.4.5 20:04:04:967,-0.03,1.00,0.16,0.26,1.13,0.28,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.62,-0.03
2021.4.5 20:04:04:988,-0.03,1.00,0.16,0.26,1.13,0.28,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.03
2021.4.5 20:04:05:10,-0.03,1.01,0.16,0.27,1.13,0.28,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.03
2021.4.5 20:04:05:21,-0.03,1.01,0.17,0.27,1.13,0.28,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.03
2021.4.5 20:04:05:35,-0.03,1.01,0.17,0.27,1.13,0.28,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.03
2021.4.5 20:04:05:46,-0.03,1.01,0.17,0.27,1.12,0.28,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.03
2021.4.5 20:04:05:56,-0.03,1.01,0.17,0.27,1.12,0.28,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.03
2021.4.5 20:04:05:70,-0.03,1.01,0.17,0.27,1.12,0.28,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.03
2021.4.5 20:04:05:82,-0.03,1.01,0.17,0.27,1.11,0.28,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.61,-0.03
2021.4.5 20:04:05:91,-0.03,1.01,0.17,0.28,1.11,0.28,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.61,-0.03
2021.4.5 20:04:05:100,-0.03,1.00,0.17,0.28,1.11,0.28,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.61,-0.03
2021.4.5 20:04:05:111,-0.03,1.00,0.17,0.28,1.10,0.28,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.61,-0.03
2021.4.5 20:04:05:124,-0.03,1.00,0.17,0.28,1.10,0.27,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.61,-0.03
2021.4.5 20:04:05:133,-0.03,1.00,0.17,0.28,1.09,0.27,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.61,-0.02
2021.4.5 20:04:05:144,-0.03,0.99,0.17,0.28,1.09,0.27,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.02
2021.4.5 20:04:05:158,-0.03,0.99,0.17,0.28,1.09,0.27,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.02
2021.4.5 20:04:05:171,-0.03,0.99,0.17,0.28,1.08,0.27,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.02
2021.4.5 20:04:05:180,-0.03,0.99,0.17,0.28,1.08,0.27,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.02
2021.4.5 20:04:05:189,-0.03,0.98,0.17,0.28,1.08,0.26,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:200,-0.03,0.98,0.17,0.28,1.08,0.26,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:212,-0.03,0.98,0.17,0.29,1.08,0.26,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.63,-0.02
2021.4.5 20:04:05:225,-0.03,0.98,0.17,0.29,1.08,0.26,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.62,-0.03
2021.4.5 20:04:05:237,-0.03,0.98,0.17,0.29,1.08,0.25,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.62,-0.03
2021.4.5 20:04:05:250,-0.03,0.98,0.17,0.29,1.08,0.25,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.61,-0.03
2021.4.5 20:04:05:265,-0.03,0.98,0.17,0.29,1.08,0.25,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.61,-0.03
2021.4.5 20:04:05:274,-0.03,0.98,0.16,0.29,1.08,0.25,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.61,-0.02
2021.4.5 20:04:05:283,-0.03,0.98,0.16,0.29,1.08,0.25,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.61,-0.02
2021.4.5 20:04:05:293,-0.03,0.98,0.16,0.29,1.08,0.25,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.61,-0.02
2021.4.5 20:04:05:312,-0.03,0.98,0.16,0.29,1.07,0.25,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.02
2021.4.5 20:04:05:321,-0.03,0.97,0.16,0.29,1.07,0.24,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.02
2021.4.5 20:04:05:330,-0.03,0.97,0.16,0.30,1.07,0.24,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.02
2021.4.5 20:04:05:339,-0.03,0.97,0.16,0.30,1.06,0.24,0.01,0.25,-0.13,0.23,0.24,-0.09,0.13,1.62,-0.02
2021.4.5 20:04:05:350,-0.03,0.97,0.16,0.30,1.06,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:359,-0.03,0.97,0.16,0.30,1.06,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:369,-0.03,0.97,0.16,0.30,1.05,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:379,-0.03,0.96,0.16,0.30,1.05,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:390,-0.03,0.96,0.16,0.31,1.05,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:404,-0.03,0.96,0.16,0.31,1.04,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:416,-0.03,0.96,0.16,0.31,1.04,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:424,-0.03,0.96,0.16,0.31,1.04,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:435,-0.03,0.96,0.16,0.31,1.04,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:452,-0.03,0.96,0.16,0.31,1.03,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:461,-0.03,0.96,0.16,0.32,1.03,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:470,-0.03,0.96,0.16,0.32,1.03,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.13,1.63,-0.02
2021.4.5 20:04:05:481,-0.03,0.96,0.16,0.32,1.03,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.63,-0.02
2021.4.5 20:04:05:493,-0.03,0.96,0.16,0.32,1.03,0.24,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.63,-0.02
2021.4.5 20:04:05:504,-0.03,0.96,0.16,0.32,1.03,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.63,-0.02
2021.4.5 20:04:05:513,-0.03,0.96,0.16,0.32,1.02,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.63,-0.02
2021.4.5 20:04:05:524,-0.03,0.96,0.16,0.32,1.02,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.62,-0.02
2021.4.5 20:04:05:536,-0.03,0.96,0.16,0.32,1.02,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.62,-0.01
2021.4.5 20:04:05:549,-0.03,0.96,0.16,0.33,1.02,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.62,-0.01
2021.4.5 20:04:05:558,-0.03,0.96,0.16,0.33,1.02,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.62,-0.01
2021.4.5 20:04:05:569,-0.03,0.96,0.16,0.33,1.02,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.62,-0.01
2021.4.5 20:04:05:581,-0.03,0.96,0.16,0.33,1.02,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.62,-0.01
2021.4.5 20:04:05:595,-0.03,0.96,0.17,0.33,1.02,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.62,-0.01
2021.4.5 20:04:05:603,-0.03,0.96,0.17,0.33,1.02,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.62,-0.01
2021.4.5 20:04:05:614,-0.03,0.96,0.17,0.33,1.02,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.62,-0.01
2021.4.5 20:04:05:626,-0.03,0.96,0.17,0.33,1.02,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.62,-0.01
2021.4.5 20:04:05:640,-0.03,0.96,0.17,0.33,1.01,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.63,-0.01
2021.4.5 20:04:05:649,-0.02,0.96,0.17,0.33,1.01,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.63,-0.01
2021.4.5 20:04:05:658,-0.02,0.96,0.17,0.33,1.01,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.63,-0.01
2021.4.5 20:04:05:673,-0.02,0.96,0.17,0.33,1.01,0.23,0.01,0.25,-0.12,0.23,0.24,-0.09,0.14,1.63,-0.01
