time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.11 20:22:08:153,-0.03,1.26,0.20,0.29,1.19,0.24,0.04,0.19,-0.09,0.29,0.18,-0.08,0.15,1.70,-0.01,-0.04,0.00,0.00,0.02,0.02,0.01
2021.4.11 20:22:08:163,-0.03,1.26,0.20,0.29,1.19,0.24,0.04,0.19,-0.09,0.30,0.18,-0.08,0.15,1.70,-0.01,-0.04,0.00,0.00,0.02,0.02,0.01
2021.4.11 20:22:08:174,-0.03,1.26,0.20,0.29,1.19,0.24,0.04,0.18,-0.09,0.30,0.18,-0.08,0.15,1.70,-0.01,-0.03,0.00,0.00,0.00,0.01,0.02
2021.4.11 20:22:08:185,-0.03,1.26,0.20,0.29,1.19,0.24,0.04,0.18,-0.09,0.30,0.18,-0.08,0.15,1.70,-0.01,-0.03,0.00,0.00,-0.01,0.00,0.02
2021.4.11 20:22:08:209,-0.03,1.26,0.20,0.29,1.19,0.24,0.04,0.19,-0.09,0.30,0.18,-0.08,0.15,1.70,-0.01,-0.02,0.00,0.00,-0.03,-0.01,0.02
2021.4.11 20:22:08:400,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.15,1.70,-0.01,0.01,0.01,0.02,0.03,-0.01,0.02
2021.4.11 20:22:08:418,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.15,1.70,-0.01,0.01,0.01,0.02,0.03,-0.01,0.02
2021.4.11 20:22:08:436,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.15,1.70,-0.01,0.01,0.01,0.01,0.03,-0.01,0.01
2021.4.11 20:22:08:445,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.15,1.70,-0.01,0.02,0.01,0.01,0.03,-0.01,0.01
2021.4.11 20:22:08:452,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.15,1.70,-0.01,0.02,0.01,0.01,0.03,-0.01,0.01
2021.4.11 20:22:08:458,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.15,1.70,-0.01,0.02,0.01,0.01,0.03,-0.01,0.01
2021.4.11 20:22:08:469,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.15,1.70,-0.01,0.02,0.01,0.01,0.03,-0.01,0.00
2021.4.11 20:22:08:481,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.15,1.70,-0.01,0.02,0.01,0.01,0.03,-0.01,0.00
2021.4.11 20:22:08:491,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.15,1.70,-0.01,0.02,0.00,0.01,0.03,-0.01,0.00
2021.4.11 20:22:08:503,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.15,1.70,-0.01,0.02,0.00,0.01,0.03,-0.01,0.00
2021.4.11 20:22:08:514,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.15,1.70,-0.01,0.02,0.00,0.02,0.03,-0.01,0.00
2021.4.11 20:22:08:525,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.15,1.70,-0.01,0.02,-0.01,0.02,0.03,-0.02,0.00
2021.4.11 20:22:08:537,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,-0.01,0.02,-0.01,0.02,0.03,-0.02,0.00
2021.4.11 20:22:08:547,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,-0.01,0.02,-0.02,0.02,0.03,-0.02,0.00
2021.4.11 20:22:08:559,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,-0.01,0.02,-0.02,0.02,0.04,-0.02,0.00
2021.4.11 20:22:08:570,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,-0.01,0.02,-0.02,0.02,0.04,-0.02,0.00
2021.4.11 20:22:08:585,-0.03,1.26,0.20,0.29,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,-0.01,0.02,-0.03,0.02,0.04,-0.01,-0.01
2021.4.11 20:22:08:593,-0.03,1.26,0.20,0.30,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,-0.01,0.02,-0.03,0.02,0.04,-0.01,-0.01
2021.4.11 20:22:08:603,-0.03,1.26,0.20,0.30,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,-0.01,0.02,-0.03,0.02,0.04,-0.01,-0.01
2021.4.11 20:22:08:615,-0.03,1.26,0.20,0.30,1.19,0.25,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,-0.01,0.02,-0.03,0.02,0.04,-0.01,-0.01
2021.4.11 20:22:08:625,-0.03,1.26,0.20,0.30,1.19,0.24,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,-0.01,0.02,-0.03,0.02,0.04,0.00,-0.01
2021.4.11 20:22:08:637,-0.03,1.26,0.20,0.30,1.19,0.24,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,-0.01,0.02,-0.04,0.02,0.04,0.00,-0.01
2021.4.11 20:22:08:648,-0.03,1.26,0.20,0.30,1.19,0.24,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,-0.01,0.02,-0.04,0.03,0.04,0.00,-0.01
2021.4.11 20:22:08:659,-0.03,1.26,0.20,0.30,1.19,0.24,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,-0.01,0.02,-0.05,0.03,0.03,0.00,-0.02
2021.4.11 20:22:08:672,-0.03,1.26,0.20,0.30,1.19,0.24,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,-0.01,0.03,-0.06,0.04,0.02,-0.01,-0.02
2021.4.11 20:22:08:682,-0.03,1.26,0.20,0.30,1.18,0.24,0.04,0.18,-0.09,0.30,0.19,-0.07,0.14,1.70,0.00,0.03,-0.07,0.05,0.02,-0.01,-0.02
