time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.11 20:02:22:550,0.14,1.32,0.14,0.37,1.15,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.22,1.71,-0.06,-0.02,0.01,0.00,0.01,-0.01,-0.01
2021.4.11 20:02:22:722,0.14,1.32,0.14,0.37,1.15,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.00,0.00,0.00,-0.03,0.02,-0.01
2021.4.11 20:02:22:738,0.14,1.32,0.14,0.37,1.15,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.00,0.00,0.00,-0.02,0.02,0.00
2021.4.11 20:02:22:772,0.14,1.32,0.14,0.37,1.15,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,0.00,-0.01,0.01,0.00
2021.4.11 20:02:22:785,0.14,1.32,0.14,0.37,1.15,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,0.00,0.00,0.01,0.00
2021.4.11 20:02:22:794,0.14,1.32,0.14,0.37,1.15,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,0.00,0.00,0.01,0.00
2021.4.11 20:02:22:803,0.14,1.32,0.14,0.37,1.15,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,0.00,0.00,0.01,0.00
2021.4.11 20:02:22:814,0.14,1.32,0.14,0.37,1.15,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,0.00,0.00,0.01,0.00
2021.4.11 20:02:22:823,0.14,1.32,0.14,0.37,1.15,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,0.00,0.00,0.01,0.00
2021.4.11 20:02:22:832,0.14,1.32,0.14,0.37,1.15,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,0.00,0.00,0.01,0.00
2021.4.11 20:02:22:852,0.14,1.32,0.13,0.37,1.15,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,-0.01,0.00,0.01,0.00
2021.4.11 20:02:22:875,0.14,1.32,0.13,0.37,1.16,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,-0.01,0.00,0.01,-0.01
2021.4.11 20:02:22:898,0.14,1.32,0.13,0.37,1.16,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,-0.01,0.00,0.01,-0.01
2021.4.11 20:02:22:924,0.14,1.32,0.13,0.37,1.16,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,0.00,0.01,0.01,-0.01
2021.4.11 20:02:22:942,0.14,1.32,0.13,0.37,1.16,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,0.00,0.01,0.01,-0.01
2021.4.11 20:02:22:964,0.14,1.32,0.13,0.37,1.16,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,0.00,0.01,0.01,-0.01
2021.4.11 20:02:22:988,0.14,1.32,0.13,0.37,1.16,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.01,0.00,0.00,0.01,0.01,-0.01
2021.4.11 20:02:23:09,0.14,1.32,0.13,0.37,1.16,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.00,0.00,0.00,0.01,0.01,-0.01
2021.4.11 20:02:23:35,0.14,1.32,0.13,0.37,1.16,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.72,-0.06,0.00,0.00,0.00,0.01,0.01,-0.01
2021.4.11 20:02:23:53,0.14,1.32,0.13,0.37,1.16,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.71,-0.06,0.00,0.01,0.00,0.00,0.01,-0.01
2021.4.11 20:02:23:82,0.14,1.32,0.13,0.37,1.16,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.71,-0.06,0.00,0.01,0.00,-0.01,0.01,-0.01
2021.4.11 20:02:23:98,0.14,1.32,0.13,0.37,1.16,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.71,-0.06,0.00,0.01,0.00,-0.01,0.01,-0.02
2021.4.11 20:02:23:121,0.14,1.32,0.13,0.37,1.16,0.21,0.06,0.20,-0.13,0.35,0.16,-0.12,0.21,1.71,-0.06,0.00,0.00,0.00,-0.04,0.01,-0.02
