time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.7 14:38:50:31,-0.17,0.68,0.06,0.19,1.13,0.39,-0.10,0.16,0.07,0.26,0.13,0.03,0.15,1.53,0.18,0.00,0.01,0.01,0.00,0.01,-0.01
2021.4.7 14:38:50:186,-0.17,0.68,0.06,0.19,1.14,0.38,-0.10,0.16,0.07,0.27,0.13,0.03,0.15,1.53,0.18,-0.01,0.02,0.02,0.01,0.07,-0.02
2021.4.7 14:38:50:198,-0.17,0.68,0.06,0.19,1.14,0.38,-0.10,0.16,0.07,0.26,0.13,0.03,0.15,1.53,0.18,-0.02,0.02,0.01,0.00,0.09,-0.04
2021.4.7 14:38:50:223,-0.17,0.68,0.06,0.19,1.14,0.38,-0.10,0.16,0.07,0.27,0.13,0.03,0.15,1.53,0.18,-0.02,0.01,0.01,-0.02,0.13,-0.06
2021.4.7 14:38:50:237,-0.17,0.68,0.06,0.19,1.14,0.38,-0.10,0.16,0.07,0.26,0.13,0.03,0.15,1.53,0.18,-0.02,0.01,0.01,-0.03,0.14,-0.06
2021.4.7 14:38:50:245,-0.17,0.68,0.06,0.19,1.15,0.38,-0.10,0.16,0.07,0.26,0.13,0.03,0.15,1.53,0.18,-0.02,0.01,0.01,-0.03,0.14,-0.06
2021.4.7 14:38:50:256,-0.18,0.68,0.06,0.19,1.15,0.38,-0.10,0.16,0.07,0.26,0.13,0.03,0.15,1.53,0.18,-0.02,0.01,0.01,-0.03,0.13,-0.06
2021.4.7 14:38:50:267,-0.18,0.68,0.06,0.19,1.15,0.38,-0.10,0.16,0.07,0.26,0.13,0.03,0.15,1.53,0.18,-0.01,0.01,0.01,-0.02,0.11,-0.06
2021.4.7 14:38:50:279,-0.18,0.68,0.06,0.19,1.15,0.38,-0.10,0.16,0.07,0.26,0.13,0.03,0.15,1.53,0.18,-0.01,0.01,0.02,-0.02,0.09,-0.05
2021.4.7 14:38:50:288,-0.18,0.68,0.06,0.19,1.15,0.38,-0.10,0.16,0.07,0.26,0.13,0.03,0.15,1.53,0.18,-0.01,0.01,0.02,-0.01,0.07,-0.04
2021.4.7 14:38:50:304,-0.18,0.68,0.06,0.19,1.15,0.38,-0.10,0.16,0.07,0.26,0.13,0.03,0.15,1.53,0.18,-0.01,0.01,0.02,0.00,0.06,-0.03
2021.4.7 14:38:50:328,-0.18,0.68,0.06,0.19,1.15,0.38,-0.10,0.16,0.07,0.26,0.13,0.03,0.15,1.53,0.18,0.00,0.00,0.01,0.00,0.06,-0.04
2021.4.7 14:38:50:349,-0.18,0.68,0.06,0.19,1.15,0.38,-0.10,0.16,0.07,0.26,0.13,0.03,0.15,1.53,0.18,0.00,0.00,0.02,-0.01,0.07,-0.05
2021.4.7 14:38:50:378,-0.17,0.68,0.06,0.19,1.16,0.37,-0.10,0.16,0.07,0.26,0.13,0.03,0.15,1.53,0.18,0.01,0.00,0.02,-0.02,0.08,-0.06
2021.4.7 14:38:50:394,-0.17,0.68,0.06,0.19,1.16,0.37,-0.10,0.16,0.07,0.27,0.13,0.03,0.15,1.53,0.18,0.01,0.00,0.03,-0.04,0.08,-0.07
2021.4.7 14:38:50:416,-0.17,0.68,0.07,0.19,1.16,0.37,-0.10,0.16,0.07,0.27,0.13,0.03,0.15,1.53,0.18,0.01,-0.01,0.04,-0.04,0.07,-0.07
2021.4.7 14:38:50:438,-0.17,0.68,0.07,0.18,1.16,0.37,-0.10,0.16,0.07,0.27,0.13,0.03,0.15,1.53,0.18,0.02,0.00,0.06,-0.04,0.04,-0.05
2021.4.7 14:38:50:464,-0.17,0.68,0.07,0.18,1.16,0.37,-0.10,0.16,0.07,0.27,0.13,0.03,0.15,1.53,0.18,0.02,0.00,0.07,-0.02,0.00,-0.02
2021.4.7 14:38:50:484,-0.17,0.68,0.07,0.18,1.16,0.37,-0.10,0.16,0.07,0.27,0.13,0.03,0.15,1.53,0.18,0.02,0.00,0.08,0.00,-0.05,0.02
2021.4.7 14:38:50:510,-0.17,0.68,0.07,0.18,1.16,0.37,-0.10,0.16,0.07,0.27,0.13,0.03,0.15,1.53,0.18,0.03,0.00,0.09,0.05,-0.13,0.08
2021.4.7 14:38:50:532,-0.17,0.68,0.07,0.19,1.15,0.37,-0.10,0.16,0.07,0.27,0.13,0.03,0.15,1.53,0.18,0.03,0.00,0.10,0.10,-0.23,0.14
