time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.13 19:23:22:230,-0.04,0.74,0.31,0.22,1.15,0.46,-0.16,0.22,0.11,0.20,0.23,0.07,0.08,1.61,0.09,0.03,0.00,-0.02,0.02,0.03,-0.05
2021.4.13 19:23:22:385,-0.04,0.74,0.31,0.21,1.16,0.45,-0.16,0.22,0.11,0.19,0.22,0.06,0.09,1.61,0.08,-0.06,0.04,0.02,-0.06,0.03,-0.08
2021.4.13 19:23:22:403,-0.04,0.74,0.31,0.21,1.16,0.45,-0.16,0.22,0.11,0.19,0.22,0.06,0.09,1.61,0.08,-0.09,0.08,0.06,-0.08,0.07,-0.10
2021.4.13 19:23:22:423,-0.04,0.74,0.31,0.21,1.16,0.45,-0.16,0.22,0.11,0.19,0.22,0.06,0.09,1.61,0.08,-0.12,0.12,0.10,-0.04,0.13,-0.10
2021.4.13 19:23:22:435,-0.04,0.75,0.31,0.21,1.16,0.45,-0.16,0.22,0.11,0.19,0.22,0.06,0.09,1.61,0.08,-0.15,0.15,0.12,-0.01,0.17,-0.11
2021.4.13 19:23:22:441,-0.04,0.75,0.31,0.21,1.17,0.45,-0.16,0.22,0.11,0.19,0.22,0.06,0.09,1.61,0.08,-0.16,0.16,0.13,0.00,0.18,-0.11
2021.4.13 19:23:22:447,-0.04,0.75,0.31,0.21,1.17,0.45,-0.16,0.22,0.11,0.19,0.22,0.06,0.09,1.61,0.08,-0.17,0.18,0.15,0.03,0.20,-0.11
2021.4.13 19:23:22:458,-0.05,0.75,0.31,0.21,1.17,0.45,-0.16,0.22,0.11,0.19,0.22,0.06,0.09,1.61,0.08,-0.19,0.20,0.16,0.05,0.21,-0.11
2021.4.13 19:23:22:470,-0.05,0.75,0.32,0.21,1.17,0.44,-0.16,0.22,0.11,0.19,0.22,0.06,0.09,1.61,0.08,-0.19,0.25,0.20,0.06,0.20,-0.10
2021.4.13 19:23:22:481,-0.05,0.76,0.32,0.21,1.17,0.44,-0.16,0.22,0.11,0.19,0.22,0.06,0.09,1.61,0.08,-0.19,0.27,0.22,0.06,0.20,-0.09
