time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.13 11:13:51:515,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:526,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:545,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:552,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:561,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:573,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,-0.01,0.01,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:586,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,-0.01,0.01,0.00,0.00,0.01,0.00
2021.4.13 11:13:51:593,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.02,-0.01,-0.01,0.01,0.00
2021.4.13 11:13:51:604,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.02,-0.01,0.00,0.01,0.00
2021.4.13 11:13:51:615,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.19,0.00,0.02,0.00,0.00,0.01,0.00
2021.4.13 11:13:51:645,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.18,-0.01,0.02,0.00,0.00,0.01,0.00
2021.4.13 11:13:51:652,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.18,-0.01,0.02,0.00,-0.01,0.01,0.00
2021.4.13 11:13:51:657,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.18,-0.01,0.02,0.00,-0.01,0.01,0.00
2021.4.13 11:13:51:662,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.18,-0.01,0.02,0.00,-0.01,0.01,0.00
2021.4.13 11:13:51:672,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.18,0.00,0.02,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:683,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.18,0.00,0.02,0.00,0.00,0.00,0.00
2021.4.13 11:13:51:694,-0.15,1.20,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.18,0.00,0.02,0.00,0.01,0.00,0.00
2021.4.13 11:13:51:705,-0.15,1.21,0.05,0.04,1.23,0.05,-0.22,0.21,-0.20,-0.03,0.20,-0.27,-0.07,1.69,-0.18,0.00,0.02,0.00,0.01,0.00,0.00
