time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.11 19:27:33:886,0.13,1.31,0.17,0.35,1.31,0.26,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,-0.01,0.00,0.02,-0.03,0.00,0.01
2021.4.11 19:27:34:50,0.13,1.32,0.17,0.35,1.31,0.26,0.12,0.17,-0.12,0.37,0.19,-0.14,0.29,1.60,-0.04,-0.02,0.01,0.01,-0.03,0.01,-0.02
2021.4.11 19:27:34:63,0.13,1.32,0.17,0.35,1.31,0.26,0.12,0.17,-0.12,0.37,0.19,-0.14,0.29,1.60,-0.04,-0.01,0.01,0.01,-0.02,0.02,-0.02
2021.4.11 19:27:34:88,0.13,1.32,0.17,0.35,1.31,0.26,0.12,0.17,-0.12,0.37,0.19,-0.14,0.29,1.60,-0.04,-0.01,0.01,0.01,-0.02,0.03,-0.03
2021.4.11 19:27:34:104,0.13,1.32,0.17,0.34,1.31,0.26,0.12,0.17,-0.12,0.37,0.19,-0.14,0.29,1.60,-0.04,0.00,0.01,0.01,-0.02,0.02,-0.03
2021.4.11 19:27:34:116,0.13,1.32,0.17,0.34,1.31,0.25,0.12,0.17,-0.12,0.37,0.19,-0.14,0.29,1.60,-0.04,0.00,0.01,0.02,-0.03,0.02,-0.03
2021.4.11 19:27:34:132,0.13,1.32,0.17,0.34,1.31,0.25,0.12,0.17,-0.12,0.37,0.19,-0.14,0.29,1.60,-0.04,0.01,0.00,0.02,-0.02,0.01,-0.03
2021.4.11 19:27:34:141,0.13,1.32,0.17,0.34,1.31,0.25,0.12,0.17,-0.12,0.37,0.19,-0.14,0.29,1.60,-0.04,0.01,0.00,0.02,-0.01,0.00,-0.03
2021.4.11 19:27:34:150,0.13,1.32,0.17,0.34,1.31,0.25,0.12,0.17,-0.12,0.37,0.19,-0.14,0.29,1.60,-0.04,0.01,0.00,0.02,0.00,-0.01,-0.03
2021.4.11 19:27:34:159,0.13,1.32,0.17,0.34,1.31,0.25,0.12,0.17,-0.12,0.37,0.19,-0.14,0.29,1.60,-0.04,0.02,0.00,0.03,0.00,-0.01,-0.03
2021.4.11 19:27:34:170,0.13,1.32,0.17,0.34,1.31,0.25,0.12,0.17,-0.12,0.37,0.19,-0.14,0.29,1.60,-0.04,0.02,0.00,0.03,0.02,-0.02,-0.03
2021.4.11 19:27:34:193,0.13,1.32,0.17,0.34,1.31,0.25,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.03,-0.01,0.03,0.03,-0.02,-0.04
2021.4.11 19:27:34:218,0.13,1.32,0.17,0.35,1.31,0.25,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.03,-0.01,0.04,0.04,-0.02,-0.04
2021.4.11 19:27:34:242,0.13,1.32,0.18,0.35,1.31,0.25,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.04,-0.01,0.04,0.06,-0.02,-0.05
2021.4.11 19:27:34:259,0.14,1.32,0.18,0.35,1.31,0.25,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.05,-0.01,0.04,0.07,-0.03,-0.06
2021.4.11 19:27:34:282,0.14,1.32,0.18,0.35,1.31,0.25,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.05,-0.01,0.05,0.09,-0.04,-0.06
2021.4.11 19:27:34:305,0.14,1.31,0.18,0.35,1.30,0.25,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.06,-0.02,0.05,0.11,-0.07,-0.06
2021.4.11 19:27:34:326,0.14,1.31,0.18,0.36,1.30,0.24,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.06,-0.02,0.05,0.12,-0.10,-0.06
2021.4.11 19:27:34:349,0.14,1.31,0.18,0.36,1.30,0.24,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.07,-0.03,0.06,0.15,-0.13,-0.06
2021.4.11 19:27:34:371,0.14,1.31,0.18,0.36,1.30,0.24,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.07,-0.05,0.07,0.18,-0.17,-0.05
2021.4.11 19:27:34:400,0.14,1.31,0.19,0.37,1.29,0.24,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.08,-0.08,0.09,0.21,-0.22,-0.04
2021.4.11 19:27:34:416,0.15,1.31,0.19,0.37,1.29,0.24,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.08,-0.10,0.10,0.21,-0.24,-0.04
2021.4.11 19:27:34:438,0.15,1.31,0.19,0.38,1.28,0.24,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.08,-0.12,0.11,0.20,-0.28,-0.03
2021.4.11 19:27:34:460,0.15,1.30,0.19,0.38,1.27,0.24,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.07,-0.16,0.13,0.21,-0.31,-0.03
2021.4.11 19:27:34:484,0.15,1.30,0.20,0.39,1.27,0.24,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.07,-0.19,0.15,0.24,-0.31,-0.03
2021.4.11 19:27:34:506,0.15,1.29,0.20,0.39,1.26,0.24,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.06,-0.21,0.15,0.24,-0.30,-0.04
2021.4.11 19:27:34:528,0.15,1.29,0.20,0.40,1.25,0.24,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.61,-0.04,0.06,-0.22,0.14,0.20,-0.26,-0.06
2021.4.11 19:27:34:554,0.16,1.28,0.21,0.40,1.25,0.24,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.06,-0.22,0.13,0.12,-0.21,-0.09
2021.4.11 19:27:34:572,0.16,1.28,0.21,0.40,1.24,0.23,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.07,-0.22,0.12,0.06,-0.17,-0.11
2021.4.11 19:27:34:596,0.16,1.27,0.21,0.40,1.24,0.23,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.08,-0.21,0.10,0.01,-0.16,-0.11
2021.4.11 19:27:34:617,0.16,1.27,0.21,0.40,1.24,0.23,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.09,-0.19,0.10,-0.01,-0.17,-0.11
2021.4.11 19:27:34:639,0.16,1.27,0.21,0.40,1.23,0.23,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.09,-0.17,0.09,0.02,-0.21,-0.09
2021.4.11 19:27:34:662,0.16,1.26,0.22,0.40,1.23,0.22,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.07,-0.13,0.08,0.04,-0.25,-0.07
2021.4.11 19:27:34:673,0.16,1.26,0.22,0.40,1.22,0.22,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.05,-0.11,0.09,0.06,-0.27,-0.08
2021.4.11 19:27:34:684,0.17,1.26,0.22,0.40,1.22,0.22,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,0.02,-0.09,0.09,0.11,-0.27,-0.09
2021.4.11 19:27:34:703,0.16,1.26,0.22,0.41,1.22,0.22,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,-0.05,-0.02,0.10,0.22,-0.19,-0.09
2021.4.11 19:27:34:713,0.16,1.26,0.22,0.41,1.22,0.22,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,-0.11,0.02,0.11,0.26,-0.15,-0.08
2021.4.11 19:27:34:721,0.16,1.26,0.22,0.41,1.21,0.22,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,-0.14,0.06,0.11,0.29,-0.11,-0.09
2021.4.11 19:27:34:729,0.16,1.26,0.22,0.42,1.21,0.22,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,-0.18,0.10,0.11,0.31,-0.08,-0.08
2021.4.11 19:27:34:739,0.16,1.26,0.22,0.42,1.21,0.22,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.60,-0.04,-0.21,0.14,0.11,0.32,-0.03,-0.08
2021.4.11 19:27:34:750,0.15,1.27,0.23,0.42,1.21,0.22,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.61,-0.04,-0.26,0.21,0.10,0.35,0.02,-0.07
2021.4.11 19:27:34:762,0.15,1.27,0.23,0.43,1.22,0.22,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.61,-0.04,-0.31,0.27,0.10,0.37,0.11,-0.08
2021.4.11 19:27:34:775,0.15,1.28,0.23,0.43,1.22,0.21,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.61,-0.04,-0.36,0.35,0.08,0.39,0.20,-0.09
2021.4.11 19:27:34:787,0.14,1.28,0.23,0.44,1.22,0.21,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.61,-0.04,-0.39,0.40,0.07,0.38,0.28,-0.09
2021.4.11 19:27:34:795,0.14,1.28,0.23,0.44,1.23,0.21,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.61,-0.04,-0.41,0.42,0.06,0.37,0.33,-0.10
2021.4.11 19:27:34:806,0.13,1.29,0.23,0.44,1.23,0.21,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.61,-0.04,-0.43,0.46,0.03,0.32,0.39,-0.11
2021.4.11 19:27:34:818,0.13,1.29,0.23,0.45,1.23,0.21,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.61,-0.04,-0.44,0.48,0.01,0.30,0.41,-0.12
2021.4.11 19:27:34:829,0.12,1.30,0.23,0.45,1.24,0.21,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.61,-0.04,-0.44,0.48,0.00,0.27,0.43,-0.12
2021.4.11 19:27:34:840,0.12,1.30,0.23,0.45,1.24,0.21,0.12,0.17,-0.12,0.37,0.19,-0.14,0.28,1.61,-0.04,-0.44,0.47,-0.01,0.25,0.43,-0.12
2021.4.11 19:27:34:859,0.11,1.31,0.23,0.46,1.25,0.20,0.12,0.17,-0.12,0.37,0.19,-0.15,0.28,1.61,-0.04,-0.42,0.43,-0.04,0.19,0.41,-0.13
