time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.6 18:03:33:251,-0.17,0.72,0.12,0.19,1.42,0.53,-0.07,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.07,-0.12,0.01,-0.01,0.02,0.03,0.00
2021.4.6 18:03:33:405,-0.17,0.72,0.12,0.19,1.42,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.07,0.01,0.00,-0.02,0.00,-0.03,0.00
2021.4.6 18:03:33:420,-0.17,0.72,0.12,0.19,1.42,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.07,0.01,-0.01,-0.02,0.00,-0.02,0.00
2021.4.6 18:03:33:445,-0.17,0.72,0.12,0.19,1.42,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.03,-0.01,-0.01,-0.01,-0.01,-0.01
2021.4.6 18:03:33:456,-0.17,0.72,0.12,0.19,1.42,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.03,-0.01,-0.01,0.00,-0.01,-0.01
2021.4.6 18:03:33:465,-0.17,0.72,0.12,0.19,1.42,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.04,-0.01,-0.01,0.00,-0.01,-0.01
2021.4.6 18:03:33:474,-0.17,0.72,0.12,0.19,1.42,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.05,-0.01,-0.01,0.00,-0.01,-0.01
2021.4.6 18:03:33:483,-0.17,0.72,0.12,0.19,1.41,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.05,-0.01,-0.01,0.00,-0.01,-0.01
2021.4.6 18:03:33:492,-0.17,0.72,0.12,0.19,1.41,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.06,-0.01,-0.01,0.00,-0.01,-0.01
2021.4.6 18:03:33:500,-0.17,0.72,0.12,0.19,1.41,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.06,-0.01,0.00,0.00,-0.02,-0.01
2021.4.6 18:03:33:509,-0.17,0.72,0.12,0.19,1.41,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.07,0.00,0.00,0.00,-0.02,-0.01
2021.4.6 18:03:33:524,-0.17,0.72,0.12,0.19,1.41,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.08,0.00,0.00,0.00,-0.03,-0.01
2021.4.6 18:03:33:547,-0.16,0.72,0.12,0.19,1.41,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.08,0.00,0.01,0.00,-0.04,-0.01
2021.4.6 18:03:33:569,-0.16,0.72,0.12,0.19,1.41,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.09,0.00,0.01,0.00,-0.05,-0.01
2021.4.6 18:03:33:597,-0.16,0.72,0.12,0.19,1.41,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.08,0.00,0.01,0.01,-0.07,0.00
2021.4.6 18:03:33:614,-0.16,0.72,0.12,0.19,1.41,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.07,0.00,0.02,0.01,-0.10,0.00
2021.4.6 18:03:33:636,-0.16,0.72,0.12,0.19,1.41,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.05,0.01,0.02,0.02,-0.13,0.00
2021.4.6 18:03:33:658,-0.16,0.72,0.12,0.19,1.40,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.04,0.00,0.01,0.02,-0.17,0.00
2021.4.6 18:03:33:681,-0.16,0.72,0.12,0.19,1.40,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,0.01,0.00,0.02,0.01,-0.21,0.00
2021.4.6 18:03:33:703,-0.16,0.72,0.12,0.19,1.39,0.53,-0.08,0.18,0.04,0.17,0.17,0.06,0.03,1.66,0.08,-0.02,0.00,0.02,0.02,-0.28,0.00
