time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z
2021.3.30 20:42:19:327,-0.26,1.09,0.06,-0.11,1.07,-0.04,-0.32,0.12,-0.25,-0.03,0.12,-0.32,-0.28,1.56,-0.09
2021.3.30 20:42:19:574,-0.26,1.09,0.06,-0.11,1.07,-0.04,-0.32,0.12,-0.25,-0.03,0.12,-0.32,-0.27,1.56,-0.10
2021.3.30 20:42:19:597,-0.26,1.09,0.06,-0.11,1.07,-0.04,-0.32,0.12,-0.25,-0.03,0.12,-0.32,-0.27,1.56,-0.10
2021.3.30 20:42:19:629,-0.26,1.09,0.06,-0.11,1.07,-0.04,-0.32,0.12,-0.25,-0.03,0.12,-0.32,-0.28,1.56,-0.10
2021.3.30 20:42:19:653,-0.26,1.09,0.06,-0.11,1.07,-0.04,-0.32,0.12,-0.25,-0.03,0.12,-0.32,-0.28,1.56,-0.10
2021.3.30 20:42:19:673,-0.26,1.09,0.06,-0.11,1.07,-0.04,-0.32,0.12,-0.25,-0.03,0.12,-0.32,-0.28,1.56,-0.10
2021.3.30 20:42:19:690,-0.26,1.09,0.06,-0.11,1.07,-0.04,-0.32,0.12,-0.25,-0.03,0.12,-0.32,-0.28,1.56,-0.10
2021.3.30 20:42:19:710,-0.26,1.09,0.06,-0.11,1.07,-0.04,-0.32,0.12,-0.25,-0.03,0.12,-0.32,-0.28,1.56,-0.10
2021.3.30 20:42:19:727,-0.26,1.09,0.06,-0.11,1.08,-0.04,-0.32,0.12,-0.25,-0.03,0.12,-0.32,-0.28,1.56,-0.10
2021.3.30 20:42:19:749,-0.26,1.09,0.06,-0.11,1.08,-0.04,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.10
2021.3.30 20:42:19:775,-0.26,1.09,0.06,-0.11,1.08,-0.04,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.10
2021.3.30 20:42:19:788,-0.26,1.09,0.06,-0.11,1.08,-0.04,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.10
2021.3.30 20:42:19:812,-0.26,1.09,0.06,-0.11,1.08,-0.04,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.10
2021.3.30 20:42:19:855,-0.26,1.09,0.05,-0.11,1.08,-0.04,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.10
2021.3.30 20:42:19:880,-0.26,1.09,0.05,-0.11,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.10
2021.3.30 20:42:19:915,-0.26,1.09,0.05,-0.11,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.11
2021.3.30 20:42:19:955,-0.26,1.09,0.05,-0.11,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.11
2021.3.30 20:42:19:981,-0.26,1.09,0.05,-0.11,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.11
2021.3.30 20:42:20:15,-0.26,1.09,0.05,-0.10,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.11
2021.3.30 20:42:20:49,-0.26,1.09,0.05,-0.10,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.27,1.56,-0.11
2021.3.30 20:42:20:83,-0.26,1.09,0.05,-0.11,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.27,1.56,-0.11
2021.3.30 20:42:20:117,-0.26,1.09,0.05,-0.11,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.27,1.56,-0.11
2021.3.30 20:42:20:152,-0.26,1.09,0.05,-0.11,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.11
2021.3.30 20:42:20:182,-0.26,1.09,0.05,-0.11,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.11
2021.3.30 20:42:20:217,-0.26,1.09,0.05,-0.11,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.11
2021.3.30 20:42:20:249,-0.27,1.09,0.05,-0.11,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.11
2021.3.30 20:42:20:282,-0.27,1.10,0.05,-0.12,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.11
2021.3.30 20:42:20:316,-0.27,1.10,0.05,-0.12,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.11
2021.3.30 20:42:20:350,-0.28,1.10,0.05,-0.13,1.08,-0.05,-0.32,0.12,-0.26,-0.03,0.12,-0.32,-0.28,1.56,-0.11
