time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.9 16:39:22:480,0.26,1.07,0.22,-0.06,1.07,0.28,-0.04,0.20,0.04,0.15,0.21,0.00,0.10,1.63,0.04,-0.04,0.00,-0.03,-0.07,-0.04,-0.03
2021.4.9 16:39:22:634,0.26,1.07,0.22,-0.07,1.07,0.27,-0.04,0.20,0.04,0.15,0.21,0.00,0.09,1.63,0.04,0.02,-0.01,0.00,-0.02,0.01,-0.02
2021.4.9 16:39:22:647,0.26,1.07,0.22,-0.07,1.07,0.27,-0.04,0.20,0.04,0.15,0.21,0.00,0.09,1.63,0.04,0.03,-0.01,0.01,-0.01,0.02,-0.01
2021.4.9 16:39:22:677,0.26,1.07,0.22,-0.07,1.07,0.27,-0.04,0.20,0.04,0.15,0.21,0.00,0.09,1.63,0.04,0.04,0.03,-0.02,0.03,0.05,0.00
2021.4.9 16:39:22:690,0.26,1.07,0.22,-0.07,1.07,0.27,-0.04,0.20,0.04,0.15,0.21,0.00,0.09,1.63,0.04,0.05,0.06,-0.02,0.03,0.05,0.00
2021.4.9 16:39:22:699,0.26,1.07,0.22,-0.07,1.07,0.27,-0.04,0.20,0.04,0.15,0.21,0.00,0.09,1.63,0.04,0.06,0.08,-0.03,0.04,0.06,0.01
2021.4.9 16:39:22:710,0.26,1.08,0.22,-0.07,1.07,0.27,-0.04,0.20,0.04,0.15,0.21,0.00,0.09,1.63,0.04,0.07,0.11,-0.03,0.04,0.08,0.01
2021.4.9 16:39:22:721,0.26,1.08,0.22,-0.07,1.07,0.27,-0.04,0.20,0.04,0.15,0.21,0.00,0.09,1.63,0.04,0.08,0.13,-0.04,0.05,0.08,0.01
2021.4.9 16:39:22:730,0.26,1.08,0.22,-0.07,1.07,0.27,-0.04,0.20,0.04,0.15,0.21,0.00,0.09,1.63,0.04,0.10,0.16,-0.04,0.05,0.09,0.01
2021.4.9 16:39:22:739,0.26,1.08,0.22,-0.07,1.07,0.27,-0.04,0.20,0.04,0.15,0.21,0.00,0.09,1.63,0.04,0.12,0.17,-0.04,0.06,0.10,0.01
2021.4.9 16:39:22:748,0.27,1.08,0.22,-0.07,1.08,0.27,-0.04,0.20,0.04,0.15,0.21,0.00,0.09,1.63,0.04,0.13,0.18,-0.04,0.07,0.11,0.02
2021.4.9 16:39:22:766,0.27,1.09,0.22,-0.06,1.08,0.28,-0.04,0.20,0.04,0.15,0.21,0.00,0.09,1.63,0.04,0.15,0.18,-0.04,0.08,0.11,0.02
2021.4.9 16:39:22:791,0.27,1.09,0.22,-0.06,1.08,0.28,-0.04,0.20,0.04,0.15,0.21,0.00,0.09,1.63,0.04,0.15,0.15,-0.02,0.11,0.12,0.03
2021.4.9 16:39:22:812,0.28,1.09,0.22,-0.06,1.08,0.28,-0.04,0.20,0.04,0.15,0.21,0.00,0.09,1.63,0.04,0.14,0.12,0.00,0.12,0.11,0.03
