time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z
2021.4.5 14:54:26:801,-0.02,1.20,0.32,0.25,1.15,0.28,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:26:976,-0.03,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:26:992,-0.03,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:18,-0.03,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:32,-0.03,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:47,-0.03,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:57,-0.03,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:70,-0.03,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:83,-0.03,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:92,-0.03,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:102,-0.03,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:119,-0.03,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:142,-0.03,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:169,-0.02,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:187,-0.02,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:209,-0.02,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:235,-0.02,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:257,-0.02,1.21,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:276,-0.02,1.20,0.32,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:298,-0.02,1.20,0.33,0.24,1.14,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:331,-0.02,1.20,0.33,0.24,1.13,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:343,-0.02,1.20,0.33,0.24,1.13,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:366,-0.02,1.20,0.33,0.24,1.13,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:387,-0.02,1.20,0.33,0.24,1.13,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:411,-0.02,1.20,0.33,0.24,1.13,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:434,-0.02,1.20,0.33,0.24,1.13,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:455,-0.02,1.20,0.33,0.24,1.13,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:482,-0.02,1.20,0.33,0.24,1.13,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
2021.4.5 14:54:27:499,-0.02,1.20,0.33,0.24,1.13,0.27,-0.01,0.19,-0.08,0.18,0.20,-0.09,0.11,1.55,-0.05
