time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z
2021.4.5 20:30:46:672,0.12,1.25,0.28,0.20,1.21,0.52,-0.10,0.24,0.06,0.19,0.23,0.04,0.09,1.63,0.12
2021.4.5 20:30:46:842,0.08,1.24,0.30,0.19,1.20,0.51,-0.10,0.24,0.07,0.18,0.23,0.04,0.07,1.63,0.12
2021.4.5 20:30:46:855,0.07,1.24,0.30,0.19,1.20,0.51,-0.10,0.24,0.07,0.18,0.23,0.04,0.07,1.63,0.12
2021.4.5 20:30:46:872,0.06,1.24,0.30,0.19,1.20,0.51,-0.10,0.24,0.07,0.18,0.23,0.04,0.07,1.63,0.12
2021.4.5 20:30:46:891,0.05,1.23,0.31,0.19,1.20,0.50,-0.10,0.24,0.07,0.18,0.23,0.04,0.07,1.63,0.12
2021.4.5 20:30:46:905,0.05,1.23,0.31,0.20,1.20,0.50,-0.10,0.24,0.07,0.18,0.24,0.04,0.06,1.63,0.12
2021.4.5 20:30:46:916,0.04,1.23,0.32,0.20,1.20,0.50,-0.10,0.24,0.07,0.18,0.23,0.04,0.06,1.63,0.12
2021.4.5 20:30:46:929,0.03,1.23,0.32,0.20,1.20,0.49,-0.10,0.24,0.07,0.18,0.23,0.04,0.06,1.63,0.12
2021.4.5 20:30:46:938,0.03,1.23,0.32,0.20,1.20,0.49,-0.10,0.24,0.07,0.18,0.23,0.04,0.06,1.63,0.12
2021.4.5 20:30:46:948,0.02,1.22,0.32,0.20,1.20,0.49,-0.11,0.24,0.07,0.18,0.24,0.04,0.06,1.63,0.12
2021.4.5 20:30:46:956,0.02,1.22,0.32,0.20,1.20,0.49,-0.11,0.24,0.07,0.18,0.24,0.04,0.06,1.63,0.12
2021.4.5 20:30:46:964,0.01,1.22,0.33,0.20,1.20,0.49,-0.11,0.24,0.07,0.18,0.24,0.04,0.06,1.63,0.12
2021.4.5 20:30:46:973,0.01,1.22,0.33,0.20,1.20,0.48,-0.10,0.24,0.07,0.18,0.24,0.04,0.05,1.63,0.12
2021.4.5 20:30:46:982,0.00,1.22,0.33,0.20,1.19,0.48,-0.10,0.24,0.07,0.18,0.24,0.04,0.05,1.63,0.12
2021.4.5 20:30:46:995,-0.01,1.21,0.33,0.20,1.19,0.48,-0.10,0.24,0.07,0.18,0.24,0.04,0.05,1.63,0.12
2021.4.5 20:30:47:15,-0.02,1.21,0.34,0.20,1.19,0.48,-0.11,0.24,0.07,0.18,0.23,0.04,0.05,1.63,0.12
2021.4.5 20:30:47:24,-0.03,1.21,0.34,0.20,1.18,0.48,-0.11,0.24,0.07,0.18,0.23,0.04,0.05,1.63,0.12
2021.4.5 20:30:47:33,-0.03,1.21,0.34,0.20,1.18,0.47,-0.11,0.23,0.07,0.18,0.23,0.04,0.04,1.63,0.12
