time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z
2021.4.5 14:48:31:557,-0.14,1.02,0.30,0.10,1.11,0.35,-0.11,0.15,0.03,0.16,0.15,0.10,0.01,1.54,0.09
2021.4.5 14:48:31:721,-0.14,1.02,0.30,0.10,1.11,0.35,-0.11,0.15,0.03,0.16,0.15,0.10,0.01,1.54,0.08
2021.4.5 14:48:31:739,-0.14,1.02,0.30,0.10,1.11,0.35,-0.11,0.15,0.03,0.16,0.15,0.10,0.01,1.54,0.08
2021.4.5 14:48:31:767,-0.14,1.02,0.30,0.10,1.11,0.35,-0.11,0.15,0.03,0.16,0.15,0.10,0.01,1.54,0.08
2021.4.5 14:48:31:781,-0.14,1.02,0.30,0.10,1.10,0.35,-0.11,0.15,0.03,0.16,0.15,0.10,0.01,1.54,0.08
2021.4.5 14:48:31:792,-0.14,1.02,0.30,0.10,1.10,0.35,-0.11,0.15,0.03,0.16,0.15,0.10,0.01,1.54,0.08
2021.4.5 14:48:31:803,-0.14,1.02,0.30,0.10,1.10,0.35,-0.11,0.15,0.03,0.16,0.15,0.10,0.01,1.54,0.08
2021.4.5 14:48:31:815,-0.14,1.02,0.30,0.10,1.10,0.35,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:31:835,-0.14,1.02,0.30,0.10,1.10,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:31:847,-0.14,1.02,0.30,0.10,1.10,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:31:856,-0.14,1.02,0.30,0.10,1.10,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:31:867,-0.14,1.02,0.30,0.10,1.10,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:31:888,-0.14,1.02,0.30,0.10,1.10,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:31:925,-0.14,1.02,0.30,0.10,1.10,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:31:935,-0.14,1.02,0.30,0.10,1.10,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:31:954,-0.14,1.02,0.30,0.10,1.11,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:31:977,-0.14,1.02,0.30,0.09,1.11,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:32:00,-0.14,1.02,0.30,0.09,1.11,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:32:23,-0.14,1.03,0.30,0.09,1.11,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:32:45,-0.14,1.03,0.30,0.09,1.11,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:32:71,-0.15,1.03,0.30,0.09,1.12,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:32:90,-0.15,1.03,0.30,0.09,1.12,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:32:112,-0.15,1.04,0.30,0.09,1.12,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:32:133,-0.15,1.04,0.30,0.09,1.12,0.34,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:32:156,-0.15,1.05,0.30,0.09,1.13,0.33,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:32:179,-0.15,1.06,0.30,0.09,1.13,0.33,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
2021.4.5 14:48:32:206,-0.15,1.06,0.30,0.10,1.13,0.33,-0.11,0.15,0.03,0.16,0.15,0.10,0.00,1.54,0.08
