time,lc_x,lc_y,lc_z,rc_x,rc_y,rc_z,lt_x,lt_y,lt_z,rt_x,rt_y,rt_z,hs_x,hs_y,hs_z,lc_s_x,lc_s_y,lc_s_z,rc_s_x,rc_s_y,rc_s_z
2021.4.9 20:53:07:658,-0.09,0.68,0.27,0.21,1.18,0.41,-0.11,0.17,0.09,0.21,0.19,0.05,0.07,1.61,0.20,0.00,0.00,0.01,0.01,0.03,0.01
2021.4.9 20:53:07:808,-0.09,0.68,0.27,0.21,1.19,0.41,-0.11,0.17,0.09,0.21,0.19,0.06,0.07,1.61,0.21,-0.01,0.00,0.00,-0.05,-0.01,0.03
2021.4.9 20:53:07:829,-0.09,0.68,0.27,0.21,1.18,0.41,-0.11,0.17,0.09,0.22,0.19,0.06,0.07,1.61,0.21,-0.01,0.00,0.00,-0.04,-0.04,0.04
2021.4.9 20:53:07:844,-0.09,0.68,0.27,0.21,1.18,0.41,-0.11,0.17,0.09,0.22,0.19,0.06,0.07,1.61,0.21,-0.01,-0.01,0.00,-0.03,-0.05,0.04
2021.4.9 20:53:07:856,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.22,0.19,0.06,0.07,1.61,0.21,-0.01,-0.01,0.00,-0.02,-0.05,0.03
2021.4.9 20:53:07:866,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.22,0.19,0.06,0.07,1.61,0.21,-0.01,-0.01,0.00,-0.01,-0.05,0.03
2021.4.9 20:53:07:876,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.21,0.19,0.06,0.07,1.61,0.21,-0.01,-0.01,0.00,-0.01,-0.04,0.02
2021.4.9 20:53:07:886,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.21,0.19,0.06,0.07,1.61,0.21,0.00,-0.01,0.00,-0.01,-0.03,0.02
2021.4.9 20:53:07:895,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.21,0.19,0.06,0.07,1.61,0.21,0.00,-0.01,0.00,-0.01,-0.02,0.02
2021.4.9 20:53:07:907,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.21,0.19,0.06,0.07,1.61,0.21,0.00,0.00,0.00,-0.02,-0.02,0.01
2021.4.9 20:53:07:915,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.21,0.19,0.06,0.07,1.61,0.21,0.00,0.00,0.00,-0.02,-0.01,0.01
2021.4.9 20:53:07:924,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.21,0.19,0.06,0.07,1.61,0.21,0.00,0.00,0.01,-0.02,-0.01,0.00
2021.4.9 20:53:07:932,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.21,0.19,0.06,0.07,1.61,0.21,0.00,0.00,0.01,-0.02,-0.01,0.00
2021.4.9 20:53:07:942,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.21,0.19,0.06,0.07,1.61,0.21,0.00,0.00,0.01,-0.02,-0.01,0.01
2021.4.9 20:53:07:954,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.21,0.19,0.06,0.07,1.61,0.21,0.01,0.01,0.01,-0.01,-0.01,0.01
2021.4.9 20:53:07:964,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.21,0.19,0.06,0.07,1.61,0.21,0.00,0.01,0.01,0.00,-0.02,0.01
2021.4.9 20:53:07:976,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.21,0.19,0.06,0.07,1.61,0.21,0.00,0.01,0.01,0.00,-0.03,0.02
2021.4.9 20:53:07:987,-0.09,0.68,0.27,0.20,1.18,0.41,-0.11,0.17,0.09,0.21,0.19,0.06,0.07,1.61,0.21,0.00,0.01,0.01,0.01,-0.04,0.02
