event,l_space_min,l_space_mean,l_space_max,r_space_min,r_space_mean,r_space_max
4,0.21377558326431947,0.23941421613441966,0.2879236009777594,0.17204650534085256,0.17819442726430598,0.194164878389476
2,0.25079872407968906,0.2611391937933813,0.2785677655436824,0.16643316977093242,0.1763818520294333,0.18601075237738274
2,0.2563201123595259,0.2663115387522412,0.28653097563788804,0.17204650534085253,0.2220024694553448,0.25238858928247926
4,0.2692582403567252,0.28002343537650587,0.291547594742265,0.17204650534085253,0.20391972101074315,0.22022715545545238
2,0.2720294101747089,0.29002804623994277,0.3047950130825634,0.13601470508735444,0.16514332484811833,0.2
1,0.26925824035672524,0.28654684954739557,0.30528675044947495,0.20615528128088303,0.21555046083828813,0.23345235059857503
4,0.2906888370749727,0.3196192360474183,0.3671511950137164,0.17,0.19010965400634677,0.20615528128088303
1,0.215870331449229,0.25663643803491737,0.3080584360149873,0.161245154965971,0.18657122201470988,0.1984943324127921
2,0.2640075756488817,0.276653636453986,0.2865309756378881,0.161245154965971,0.18244004197018351,0.20124611797498107
1,0.28284271247461906,0.2918850831638945,0.31827660925679097,0.158113883008419,0.18553556955522219,0.22360679774997896
1,0.2920616373302046,0.30203578617118126,0.30610455730027936,0.21931712199461312,0.23668455477069036,0.25298221281347033
4,0.21470910553583888,0.28223740194627667,0.3047950130825634,0.16643316977093237,0.18256558535330414,0.22135943621178658
4,0.194164878389476,0.22767159478660584,0.2570992026436488,0.15811388300841897,0.18567008552590308,0.21954498400100148
2,0.21260291625469296,0.24514003674168788,0.28425340807103794,0.18027756377319945,0.2313281448893983,0.31304951684997057
1,0.28425340807103794,0.2896713630671945,0.2920616373302047,0.26925824035672524,0.33492014387502084,0.3687817782917155
2,0.2920616373302047,0.2969096357880941,0.3047950130825634,0.26570660511172844,0.3284653287694452,0.36715119501371635
1,0.2831960451701259,0.2930593456280068,0.2973213749463701,0.3101612483854164,0.3371120227710342,0.3580502757993631
2,0.2758622844826744,0.2814359426051375,0.2831960451701259,0.2570992026436488,0.28756747070850636,0.327566787083184
1,0.2758622844826744,0.2823196115048141,0.2831960451701259,0.3138470965295043,0.36341853675003316,0.4103656905736638
2,0.2758622844826744,0.2806089755171967,0.282842712474619,0.2531797780234432,0.300205291122717,0.3577708763999663
2,0.282842712474619,0.29632999480689703,0.30413812651491096,0.3577708763999663,0.40829789924975457,0.4341658669218482
2,0.30413812651491096,0.31547792038130107,0.34205262752974136,0.38587562763149474,0.40668634008152454,0.4338202392696772
1,0.34205262752974136,0.397461752965102,0.45793012567421243,0.3413209633175202,0.3590565984258205,0.38587562763149474
2,0.35227829907617075,0.37641193327080996,0.3920459156782532,0.31064449134018135,0.32805899746234324,0.3413209633175202
1,0.3720215047547655,0.39186855022743217,0.406078810084939,0.3001666203960727,0.30191696904772164,0.31064449134018135
2,0.3940812099047606,0.4283614546329507,0.44944410108488464,0.28653097563788804,0.30166787692234437,0.31304951684997057
1,0.4410215414239989,0.5013652056810438,0.5503635162326805,0.30413812651491096,0.33628918914119105,0.36359317925395684
2,0.4070626487409524,0.4592041038622178,0.5197114584074514,0.2884441020371191,0.3093429206827953,0.3413209633175202
2,0.43908996800200295,0.4583329275604254,0.48270073544588676,0.2720294101747089,0.2862564893490979,0.2941088233970549
2,0.4,0.4359076379452684,0.47010637094172636,0.2720294101747089,0.2857161362416052,0.3124099870362662
1,0.36055512754639896,0.37177285354904177,0.4,0.3124099870362662,0.3523842716727333,0.38288379438153297
3,0.3440930106817051,0.3521407610491478,0.36124783736376886,0.23259406699226015,0.269548643617491,0.32557641192199416
1,0.34655446902326914,0.3509088483464143,0.36124783736376886,0.26305892875931813,0.2852152519592011,0.29274562336608895
2,0.3324154027718932,0.3409329986227721,0.36124783736376886,0.2865309756378881,0.301706105291409,0.331058907144937
1,0.3324154027718932,0.3387823855484999,0.34655446902326914,0.31906112267087633,0.3565366769517992,0.40224370722237524
3,0.3255764119219941,0.33418305711903656,0.3397057550292606,0.2785677655436824,0.2986308396986496,0.3220248437620924
1,0.32649655434629016,0.33095683583703656,0.3360059523282289,0.304138126514911,0.32013645664217677,0.3413209633175202
2,0.32649655434629016,0.3300050796751548,0.3397057550292606,0.30083217912982646,0.3311758870352526,0.3605551275463989
1,0.33941125496954283,0.37766857871695664,0.4103656905736639,0.27730849247724093,0.2905446144352265,0.29546573405388316
