event,l_space_min,l_space_mean,l_space_max,r_space_min,r_space_mean,r_space_max
4,0.26925824035672524,0.31838076714174807,0.3668787265568828,0.26,0.3036181741717045,0.35440090293338705
2,0.22472205054244232,0.2544432263976302,0.31827660925679097,0.18439088914585774,0.2310138253878329,0.29154759474226505
2,0.23600847442411893,0.2671323258641051,0.41773197148410846,0.2418677324489565,0.3034516885665808,0.37589892258425006
4,0.3807886552931954,0.42654692479520095,0.47169905660283024,0.22999999999999998,0.2652551479501046,0.29410882339705485
2,0.23259406699226012,0.3181803180927101,0.4295346318982906,0.15297058540778358,0.22844221679279916,0.3101612483854164
1,0.2418677324489565,0.27428350508901433,0.4045985664828782,0.2549509756796392,0.31380993400192797,0.3966106403010389
4,0.2830194339616981,0.3379946106028471,0.4263801121065569,0.24596747752497689,0.2826479543062845,0.31906112267087633
1,0.16,0.24684736020009557,0.3201562118716424,0.18439088914585774,0.25708295891510163,0.33970575502926054
2,0.28425340807103794,0.343708147111692,0.38948684188300897,0.295296461204668,0.3486129812128476,0.38999999999999996
1,0.3905124837953327,0.4816157744067707,0.5883026432033092,0.170293863659264,0.2699731919554489,0.3312099032335839
1,0.3606937759374287,0.3742821181016069,0.3894868418830089,0.2823118842698621,0.30358101250059605,0.3352610922848042
4,0.22803508501982758,0.30986599763450257,0.3889730067755345,0.18788294228055938,0.21165486996945293,0.2879236009777594
4,0.2920616373302047,0.4649928563720491,0.5824087911424415,0.2469817807045694,0.370564526821982,0.4651881339845203
2,0.18973665961010275,0.2790246625012152,0.42520583250938593,0.14866068747318503,0.22532760143161612,0.3310589071449369
1,0.23853720883753127,0.25200327556637103,0.2640075756488817,0.30413812651491096,0.3904694844767802,0.47201694884823786
2,0.22203603311174516,0.23923613971458565,0.24758836806279896,0.1118033988749895,0.25177665997225246,0.38288379438153297
1,0.22671568097509268,0.23422331515780176,0.24083189157584592,0.19697715603592206,0.3725024823605437,0.47507894080878815
2,0.2262741699796952,0.2355769659018346,0.2408318915758459,0.15524174696260024,0.2671418991034339,0.39661064030103876
1,0.21400934559032697,0.2273068763461628,0.24041630560342617,0.21470910553583888,0.36639027728247237,0.44944410108488464
2,0.2193171219946131,0.2249373945637624,0.2267156809750927,0.12165525060596441,0.2576178680511179,0.396232255123179
2,0.212602916254693,0.22009618052533128,0.22671568097509268,0.24166091947189142,0.37970946933881544,0.4622769732530488
2,0.2051828452868319,0.22854348710449984,0.2408318915758459,0.19999999999999998,0.3195111038312152,0.4386342439892262
1,0.23345235059857505,0.4235940148127715,0.5092150822589606,0.19849433241279205,0.22194057291419303,0.23430749027719963
2,0.21931712199461306,0.340697837895939,0.45803929962395146,0.22671568097509268,0.23366315994521925,0.24758836806279896
1,0.2831960451701259,0.45017119544290474,0.5192301994298868,0.212602916254693,0.22595794657053314,0.2404163056034262
2,0.18384776310850234,0.3264961669084466,0.4919349550499537,0.2051828452868319,0.2067515068304198,0.212602916254693
1,0.24083189157584586,0.44038012061283544,0.54230987451825,0.191049731745428,0.20443189281269852,0.212602916254693
