event,l_space_min,l_space_mean,l_space_max,r_space_min,r_space_mean,r_space_max
4,0.194164878389476,0.26735640850450365,0.35341194094144585,0.29154759474226505,0.316170462970592,0.3676955262170047
2,0.2193171219946131,0.2772785920982576,0.41182520563948,0.28600699292150183,0.34094664091346494,0.42941821107167777
2,0.25238858928247926,0.281409137593507,0.34713109915419565,0.295296461204668,0.43140049855496665,0.5730619512757762
4,0.3538361202590827,0.4874644523573282,0.5916924876994806,0.2906888370749727,0.3226820978824929,0.35608987629529715
2,0.22022715545545243,0.33815114473488633,0.5869412236331676,0.2906888370749727,0.3729644292587367,0.5103920062069938
1,0.2202271554554524,0.3192919236388476,0.432781700167648,0.3744329045369811,0.487839214904842,0.6407027391856539
4,0.2683281572999748,0.4096291923538565,0.5448853090330111,0.36769552621700474,0.39037230279176965,0.49396356140913883
1,0.38183766184073564,0.4272406083585547,0.46754678910243835,0.3764306044943742,0.4761250971625704,0.5745432968889289
2,0.3889730067755345,0.44105909689474276,0.5024937810560445,0.38418745424597095,0.41504606032703234,0.4326661530556787
1,0.396232255123179,0.46606800119280667,0.617170964968379,0.2906888370749727,0.3443107563599882,0.4201190307520001
1,0.44045431091090476,0.47554192387215855,0.5080354318352215,0.40311288741492757,0.4248242344094793,0.4341658669218482
4,0.35355339059327373,0.4340687429126816,0.5382378656319156,0.23853720883753124,0.2889396869431883,0.39
4,0.41617304093369617,0.5161443662381707,0.5920304046246274,0.34205262752974136,0.45134229002843623,0.552268050859363
2,0.15620499351813313,0.2862781228581403,0.523545604508337,0.29000000000000004,0.35973391424579115,0.51478150704935
1,0.30463092423455634,0.3828106530706964,0.41436698710201325,0.45803929962395146,0.5655856809735608,0.6435060217278468
2,0.2641968962724581,0.29229238948552055,0.3280243893371345,0.3383784863137726,0.4706278614233609,0.5860034129593444
1,0.3264965543462902,0.35923068862225593,0.3905124837953327,0.43840620433565947,0.5753152042798332,0.6657326790837296
2,0.3008321791298265,0.4027485979598672,0.510098029794274,0.41109609582188933,0.47381350599089705,0.5547071299343465
1,0.35693136595149494,0.4182320247821301,0.4477722635447622,0.41109609582188933,0.475593072770943,0.5738466694161429
2,0.2906888370749727,0.3109720605564474,0.35510561809129404,0.4326661530556787,0.5165250921853879,0.6095900261651268
2,0.2906888370749727,0.31057670841984925,0.3264965543462902,0.4159326868617084,0.5202862320932546,0.6226556030423239
2,0.30528675044947495,0.361986298929717,0.49091750834534315,0.3956008088970496,0.5321058740625135,0.6395310782127793
1,0.34481879299133333,0.4669499723519063,0.5889821729050888,0.4830113870293329,0.5127764908846173,0.5408326913195984
2,0.354400902933387,0.5527600637132741,0.6489992295835181,0.5277309920783504,0.5478844636035456,0.5594640292279746
1,0.4167733196834942,0.5032085728083864,0.6095900261651269,0.523545604508337,0.538722257212368,0.5507267925205745
2,0.4382921400162225,0.5525947146337441,0.608769250208977,0.5371219600798314,0.5474431576727363,0.5565968020030299
1,0.5481788029466298,0.6081247501799147,0.65,0.5348831648126533,0.549934195973762,0.5630275304103699
2,0.29120439557122074,0.47355119221403413,0.656048778674269,0.5375872022286244,0.5526274565383664,0.563205113613149
2,0.44777226354476224,0.5408519886515012,0.6370243323453194,0.5531726674375733,0.5667720554331865,0.5805170109479998
2,0.2906888370749727,0.4371395305316643,0.6312685640834652,0.4741307836451879,0.5286965501752023,0.5578530272392541
1,0.27658633371878666,0.34566941229655007,0.39999999999999997,0.4161730409336962,0.48264601294337406,0.5685068161420758
3,0.31622776601683794,0.3377474899751436,0.38897300677553454,0.3059411708155671,0.46100571657842493,0.5780138406647369
1,0.37735924528226417,0.4502710648200758,0.5243090691567331,0.29154759474226505,0.34720411670685086,0.46010868281309364
2,0.4103656905736639,0.4205437525012971,0.4393176527297759,0.3046309242345563,0.409826472643868,0.5315072906367325
1,0.3546829570193639,0.3960852864834558,0.41868842830916636,0.2884441020371191,0.44679601034432737,0.6303173803727771
3,0.23853720883753127,0.31879758928483315,0.3546829570193639,0.2842534080710379,0.39832617624595157,0.5793962374748389
1,0.23600847442411893,0.42119101650127005,0.5903388857258177,0.2842534080710379,0.37057180331807393,0.46861498055439926
2,0.3687817782917155,0.4090063746982014,0.4596737973824482,0.2941088233970549,0.40832040305305806,0.5643580423808985
1,0.3712142238654117,0.5010380397127426,0.6580273550544841,0.2884441020371192,0.36821390121319325,0.45276925690687087
3,0.2102379604162864,0.37043014702934685,0.5682429058070149,0.3606937759374287,0.4281920452776795,0.44821869662029945
1,0.2002498439450079,0.2148865064453112,0.24758836806279896,0.3535533905932738,0.5100568152715489,0.6809552114493287
2,0.24758836806279896,0.42653101402709637,0.557584074378026,0.34713109915419565,0.4056834689453656,0.4440720662234903
2,0.4031128874149275,0.4776494051216497,0.6370243323453195,0.3721558813185679,0.38801952599206807,0.43185645763378366
1,0.4455333881989093,0.5251777359333311,0.6370243323453195,0.4527692569068708,0.5843893406867179,0.6720119046564577
1,0.2816025568065745,0.3717709503402952,0.43840620433565947,0.3712142238654117,0.4544833205900123,0.530754180388624
2,0.25059928172283336,0.26283220495119686,0.2780287754891569,0.51478150704935,0.5848994180713756,0.6447480127925949
4,0.2780287754891569,0.35123102690663927,0.40360872141221127,0.25079872407968906,0.3523659972719327,0.6217716622683925
1,0.18681541692269404,0.323052914577668,0.4579301256742125,0.33837848631377265,0.3664363549633447,0.40718546143004664
4,0.18681541692269404,0.2555014871518543,0.3535533905932738,0.37735924528226417,0.42457418010936665,0.5456189146281496
1,0.3671511950137164,0.4954233052809019,0.623698645180507,0.3220248437620924,0.4999225655429908,0.6407027391856539
2,0.3996248240537617,0.4774611957170554,0.532541078227774,0.31064449134018135,0.3690994828258981,0.42011903075200013
1,0.24,0.27870929387214405,0.396232255123179,0.29614185789921693,0.32572014729430526,0.3668787265568828
4,0.2758622844826744,0.2992266467677493,0.33970575502926054,0.3189043743820395,0.42655394244078954,0.5630275304103699
3,0.2758622844826744,0.34488336577473455,0.4560701700396552,0.41231056256176607,0.47203820382800776,0.532634959423431
2,0.2545584412271571,0.3430678632036712,0.4632493928760188,0.35000000000000003,0.45814931114661595,0.6220128616033594
2,0.3190611226708764,0.33543324337425184,0.3661966684720111,0.47201694884823786,0.5360295943493829,0.6389053137985315
4,0.36891733491393436,0.4962904233077191,0.5728001396647875,0.39597979746446665,0.4577326000466836,0.5481788029466298
2,0.388329756778952,0.41515530942877155,0.4518849411078001,0.3712142238654117,0.42238281045566645,0.4919349550499537
2,0.4049691346263318,0.4567020219917704,0.4830113870293329,0.3862641583165593,0.5627092059136757,0.6438167441127949
2,0.4701063709417263,0.5567948239936849,0.6313477647065838,0.4410215414239989,0.46901447853118655,0.5341348144429456
3,0.3969886648255842,0.4850310915870865,0.5672741841473133,0.47434164902525694,0.5773701776402743,0.6242595614005444
2,0.367967389859482,0.38150639300383277,0.3969886648255842,0.52,0.5794858892419792,0.6341135544995076
2,0.35608987629529715,0.3683955674088637,0.3753664875824692,0.5456189146281496,0.5923715083790079,0.656048778674269
3,0.3744329045369811,0.39717328606587876,0.41400483088968904,0.5544366510251645,0.569813689195838,0.5889821729050888
2,0.3687817782917155,0.38453749468497606,0.396232255123179,0.4167733196834941,0.5133646009136968,0.6103277807866851
3,0.3023243291566195,0.33771107161270936,0.3969886648255842,0.2758622844826744,0.31712729965291364,0.408166632639171
2,0.3023243291566195,0.3379562648400591,0.35608987629529715,0.28600699292150183,0.4778935374018225,0.5608029957123981
2,0.32557641192199416,0.3507262824994858,0.38013155617496425,0.4596737973824482,0.508235870993931,0.5889821729050888
1,0.3001666203960727,0.3840542389746904,0.47434164902525694,0.367967389859482,0.41772990829969264,0.4596737973824482
1,0.25238858928247926,0.26457136173973106,0.291547594742265,0.33421549934136807,0.47697731898422696,0.6107372593840988
4,0.26627053911388693,0.34730107511972336,0.4770744176750625,0.41400483088968904,0.4944299987968628,0.573149195236284
4,0.39458839313897714,0.46052085301794216,0.5080354318352215,0.3920459156782532,0.44650500552787653,0.5869412236331676
4,0.10198039027185571,0.33865757851285555,0.4428317965096906,0.27313000567495327,0.32629984107538246,0.45177427992306074
1,0.3313608305156178,0.36491927457742346,0.4161730409336963,0.28442925306655786,0.35564731282317386,0.41109609582188933
2,0.3176476034853718,0.3420581513777823,0.37,0.3736308338453881,0.39836415509976836,0.4341658669218482
