event,l_space_min,l_space_mean,l_space_max,r_space_min,r_space_mean,r_space_max
4,0.19209372712298547,0.19900735974353226,0.21931712199461303,0.15000000000000002,0.1911561675712008,0.23853720883753124
2,0.21931712199461303,0.24075770226918822,0.27202941017470883,0.22847319317591727,0.2622603618503056,0.28653097563788804
2,0.27202941017470883,0.28263148431727547,0.304138126514911,0.291547594742265,0.32967560274305147,0.38078865529319544
4,0.30413812651491096,0.3558258344526421,0.4205948168962618,0.22671568097509265,0.2693042993771291,0.291547594742265
2,0.2765863337187866,0.30218443378543364,0.3220248437620924,0.17888543819998315,0.2459900073984,0.31016124838541653
1,0.26907248094147423,0.30330696631762805,0.34205262752974136,0.29529646120466807,0.3572338720966915,0.42544094772365293
4,0.2954657340538831,0.3808512160569652,0.46872166581031866,0.2865309756378881,0.29313350160042323,0.30463092423455634
1,0.15999999999999998,0.23033669712709834,0.3189043743820395,0.26,0.320257745068753,0.37013511046643494
2,0.3047950130825634,0.32412014787959065,0.36124783736376886,0.2640075756488817,0.3048922672310696,0.37483329627982626
1,0.2920616373302047,0.3710610190162305,0.46861498055439926,0.3330165161069343,0.3919756664197741,0.47507894080878815
1,0.2720294101747089,0.2876223642521452,0.3080584360149872,0.2830194339616981,0.3155002098506156,0.3330165161069343
4,0.282842712474619,0.3061292919857528,0.33120990323358385,0.2570992026436488,0.29253910453276144,0.3195309061734092
4,0.29832867780352595,0.36004374399129935,0.42544094772365293,0.30016662039607267,0.35313939145657336,0.40706264874095244
2,0.25495097567963926,0.2974555652982972,0.31400636936215165,0.2640075756488817,0.30173113312280003,0.34985711369071804
1,0.2765863337187866,0.2830557165045934,0.2920616373302046,0.33970575502926065,0.39642938102816416,0.49203658400570177
2,0.28653097563788804,0.2903997013721592,0.295296461204668,0.2973213749463701,0.3301135811192449,0.3764306044943743
1,0.2817800560721074,0.2905919352681226,0.30886890422961,0.3465544690232691,0.4075282583522933,0.4951767361255979
2,0.2817800560721074,0.2927377910367153,0.31304951684997057,0.304138126514911,0.3342718268078378,0.38418745424597095
1,0.2745906043549196,0.285637375138178,0.30016662039607267,0.3342154993413681,0.3940691143449352,0.46010868281309364
2,0.26000000000000006,0.2824947747881867,0.29546573405388316,0.2860069929215019,0.3259805879395374,0.36235341863986875
