event,l_space_min,l_space_mean,l_space_max,r_space_min,r_space_mean,r_space_max
4,0.25,0.28324068169613886,0.340147027033899,0.25612496949731395,0.29595667574819073,0.3420526275297414
2,0.2051828452868319,0.28180042608886463,0.3584689665786984,0.23345235059857503,0.3093707123868688,0.378021163428716
2,0.26000000000000006,0.2792898801450834,0.3584689665786984,0.3764306044943743,0.4482890904936475,0.5316013544000805
4,0.3605551275463989,0.4319182512238231,0.49819674828324606,0.24083189157584592,0.3327422798855401,0.41231056256176607
2,0.15652475842498528,0.27830803668194154,0.43278170016764805,0.17117242768623692,0.2691634459014689,0.38948684188300897
1,0.2435159132377184,0.2804674395006761,0.35777087639996635,0.3584689665786985,0.4266367903759395,0.5126402247190518
4,0.2545584412271571,0.3503712625982272,0.43046486500061765,0.29966648127543394,0.3310673663120145,0.3584689665786985
1,0.21840329667841554,0.3147702054005397,0.39217343102255153,0.30413812651491096,0.34235678590707935,0.41340053217188777
2,0.3956008088970496,0.45807893808312533,0.5371219600798314,0.378021163428716,0.41020683610069975,0.4318564576337837
1,0.40706264874095244,0.47099005778704794,0.6140032573203501,0.23086792761230387,0.2763139718007877,0.4177319714841085
1,0.4114608122288197,0.4348282604781246,0.4712748667179272,0.3324154027718932,0.3792350508499224,0.42801869118065394
4,0.33241540277189324,0.3794627565911429,0.45880278987817846,0.29000000000000004,0.333856197660703,0.41868842830916647
4,0.3624913792078372,0.4207473352873876,0.46615448083226657,0.34828149534535996,0.41899543656626975,0.47507894080878815
2,0.2353720459187964,0.3052290057051763,0.41231056256176607,0.2973213749463701,0.32598844520437553,0.4045985664828782
1,0.21840329667841557,0.2316552642667515,0.23769728648009425,0.3397057550292606,0.4469936124667434,0.5056678751908212
2,0.21189620100417092,0.2231087795355154,0.2340939982143925,0.2720294101747089,0.3727311630284188,0.47169905660283024
1,0.208806130178211,0.21557559935024564,0.22472205054244232,0.37483329627982626,0.45749095041718874,0.4972926703662543
2,0.208806130178211,0.21592350444563535,0.22135943621178655,0.3538361202590827,0.3898801073525954,0.44687805943008657
1,0.208806130178211,0.21452954260052157,0.22472205054244235,0.4220189569201838,0.4734945277336384,0.5249761899362675
2,0.18973665961010278,0.2047662892139382,0.21189620100417092,0.24839484696748443,0.3681831918636221,0.4716990566028302
2,0.18973665961010278,0.1948298355460622,0.2024845673131659,0.2758622844826744,0.4125830715386132,0.4947726750741193
2,0.18973665961010278,0.19270567250438278,0.2012461179749811,0.35777087639996635,0.4194416226806502,0.4687216658103186
1,0.2012461179749811,0.38338817520572677,0.5015974481593781,0.36715119501371635,0.3837924966919978,0.4049691346263317
2,0.19235384061671346,0.31253085372175343,0.4410215414239989,0.3894868418830089,0.40064811743989653,0.4114608122288197
1,0.23769728648009425,0.3981063232720293,0.483735464897913,0.3894868418830089,0.39963229433256303,0.40311288741492746
2,0.20223748416156687,0.3282383550431301,0.43931765272977596,0.3584689665786984,0.37361115178469617,0.39446165846632036
1,0.2308679276123039,0.39144471682332044,0.49244289008980524,0.36715119501371635,0.3698758215701649,0.3807886552931954
2,0.2002498439450079,0.3463574485222182,0.4609772228646444,0.3535533905932738,0.36245902108467715,0.37215588131856786
2,0.21095023109728983,0.37908814465801355,0.4712748667179271,0.34985711369071804,0.3563404343224155,0.36235341863986875
2,0.18601075237738277,0.34937990105499794,0.48270073544588676,0.35510561809129404,0.37479519176089526,0.41340053217188777
1,0.1664331697709324,0.1810975224698469,0.2024845673131659,0.29427877939124325,0.384143001646723,0.443846820423443
3,0.18439088914585774,0.192372782892231,0.2024845673131659,0.2404163056034262,0.2999156204892245,0.3894868418830089
