event,l_space_min,l_space_mean,l_space_max,r_space_min,r_space_mean,r_space_max
4,0.30870698080866266,0.39155555136946246,0.5336665625650534,0.28460498941515416,0.36701565150398563,0.5048762224545735
2,0.29966648127543394,0.32824802957983207,0.3623534186398688,0.31304951684997057,0.34665483467868635,0.36891733491393436
2,0.29154759474226505,0.31146926111263357,0.3330165161069342,0.3,0.4249592626297009,0.5730619512757762
4,0.2884441020371191,0.41484800497148955,0.5281098370604357,0.28017851452243797,0.30558133816233174,0.3324154027718932
2,0.16278820596099708,0.30585697762987163,0.5099019513592785,0.3252691193458119,0.3627281753675241,0.40804411526206336
1,0.2024845673131659,0.24708214637007875,0.29000000000000004,0.3440930106817051,0.4851327880613269,0.6184658438426491
4,0.24020824298928628,0.36573860565875504,0.5162363799656122,0.266270539113887,0.34301222914333773,0.4244997055358225
1,0.25,0.335255851163134,0.4738143096192853,0.4031128874149275,0.483323000522545,0.5768882040742382
2,0.41773197148410846,0.4357455660062008,0.4609772228646444,0.3969886648255842,0.4202240289462577,0.4622769732530488
1,0.41629316592997295,0.47236202611933653,0.570087712549569,0.29017236257093815,0.3408238508240901,0.45343136195018535
1,0.41880783182743847,0.4244622396721947,0.4304648650006177,0.3818376618407357,0.4453020957242513,0.5197114584074514
4,0.2641968962724581,0.3812244565991369,0.4841487374764082,0.3280243893371345,0.3746546379623962,0.5110772935672255
4,0.3264965543462901,0.49699226112686484,0.6103277807866851,0.3440930106817051,0.5151905354634587,0.6545991139621257
2,0.20248456731316586,0.30681791599356695,0.524785670536077,0.25612496949731395,0.34016233540954455,0.5277309920783504
1,0.19723082923316018,0.2171813490217809,0.266270539113887,0.3046309242345563,0.4944276909695858,0.6585590330410782
2,0.266270539113887,0.32973812525019125,0.3687817782917155,0.23194827009486405,0.41100519021297005,0.5798275605729689
1,0.34132096331752027,0.3548245791778266,0.3687817782917155,0.280178514522438,0.5174209768340239,0.6585590330410783
2,0.34928498393145957,0.38081949582367947,0.4004996878900158,0.21633307652783937,0.4281658150593562,0.6264982043070835
1,0.37215588131856786,0.38019194722837907,0.3901281840626232,0.23706539182259395,0.4798910482524078,0.6381222453417527
2,0.3736308338453881,0.38898835632833195,0.41303752856126763,0.25495097567963926,0.4151723698977395,0.6040695324215584
2,0.36674241641784494,0.378534419341229,0.3901281840626232,0.2745906043549196,0.5295680430180948,0.6624198064671677
2,0.3132091952673165,0.3707603639392554,0.396232255123179,0.17,0.4005739510829566,0.6262587324740471
