event,l_space_min,l_space_mean,l_space_max,r_space_min,r_space_mean,r_space_max
4,0.2195449840010015,0.25286856699688337,0.28017851452243797,0.1972308292331602,0.22403865660291367,0.25806975801127885
2,0.21931712199461306,0.26870261610907636,0.3361547262794322,0.2202271554554524,0.27495529680087094,0.36235341863986875
2,0.2765863337187866,0.2988305687866968,0.3538361202590827,0.32557641192199416,0.4337444866859526,0.5015974481593781
4,0.3606937759374287,0.47789839941441,0.5474486277268398,0.3047950130825634,0.3808104843116978,0.42154477816715985
2,0.2692582403567252,0.32684172562267644,0.447213595499958,0.15811388300841897,0.23585336018634062,0.3397057550292606
1,0.2920616373302046,0.32021529352945954,0.354682957019364,0.36124783736376886,0.45393197114414774,0.5315072906367325
4,0.24020824298928628,0.31601761666504025,0.425205832509386,0.29154759474226505,0.31858603251931816,0.36769552621700474
1,0.14999999999999997,0.22375213896486035,0.33015148038438363,0.29410882339705485,0.368676367654683,0.45650848842053315
2,0.27294688127912364,0.3451868743847585,0.4244997055358225,0.322490309931942,0.3691288254991095,0.40607881008493907
1,0.4318564576337837,0.49927984419048016,0.5656854249492381,0.31,0.3365440188680789,0.40804411526206336
1,0.3535533905932738,0.38888020763374137,0.44777226354476224,0.31622776601683794,0.32089521313225083,0.3280243893371345
4,0.33970575502926054,0.37169576973120966,0.40816663263917113,0.23769728648009425,0.2921959707498417,0.34828149534535996
4,0.36769552621700474,0.46321791273175855,0.5162363799656123,0.28017851452243797,0.4235140256873901,0.4904079934095692
2,0.29732137494637007,0.322807807890348,0.42059481689626177,0.25059928172283336,0.2880854934344556,0.41484937025383084
1,0.3023243291566195,0.31084834560449837,0.31622776601683794,0.291547594742265,0.4448229647089181,0.5288667128870941
2,0.2968164415931166,0.3045047830568493,0.3080584360149873,0.23021728866442678,0.3741133167208881,0.498196748283246
1,0.2968164415931166,0.30216828361277986,0.31064449134018135,0.2920616373302047,0.46499160473728224,0.5280151512977634
2,0.2778488797889961,0.2889304164673699,0.30016662039607267,0.20808652046684814,0.36855173774665384,0.5032891812864648
1,0.2778488797889961,0.2945958694990981,0.3001666203960727,0.2280350850198276,0.39590897688905063,0.5261178575186363
2,0.2745906043549196,0.2805040386479905,0.2865309756378881,0.18788294228055935,0.31142147253276653,0.4850773134253961
2,0.2692582403567252,0.2827778356779718,0.291547594742265,0.22472205054244232,0.410290067878463,0.5126402247190519
2,0.2692582403567252,0.29033493084653755,0.32249030993194194,0.340147027033899,0.42483701977881,0.5021951811795888
1,0.32249030993194194,0.44307226629077345,0.539351462406472,0.340147027033899,0.35793089692194646,0.3858756276314948
2,0.2193171219946131,0.3416370006872343,0.4827007354458869,0.32449961479175904,0.3391747809655389,0.36235341863986875
1,0.21954498400100148,0.4144462467800264,0.5124451190127582,0.3080584360149873,0.32023429704088985,0.327566787083184
2,0.16278820596099705,0.33125889982061096,0.49040799340956914,0.3114482300479487,0.3230079206962069,0.3342154993413681
1,0.18027756377319945,0.3710810780629456,0.478539444560216,0.2780287754891569,0.309535755900185,0.3342154993413681
2,0.25942243542145693,0.31784097976501496,0.4632493928760188,0.25238858928247926,0.26535677724130863,0.27802877548915694
2,0.28600699292150183,0.28600699292150183,0.28600699292150183,0.2641968962724581,0.2641968962724581,0.2641968962724581
2,,,,,,
1,,,,,,
3,,,,,,
1,,,,,,
2,,,,,,
1,,,,,,
3,,,,,,
1,,,,,,
2,,,,,,
1,,,,,,
3,,,,,,
1,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
2,,,,,,
4,,,,,,
1,,,,,,
4,,,,,,
1,,,,,,
2,,,,,,
1,,,,,,
4,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
3,,,,,,
2,,,,,,
3,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
1,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
2,,,,,,
1,,,,,,
2,,,,,,
1,,,,,,
2,,,,,,
1,,,,,,
2,,,,,,
1,,,,,,
2,,,,,,
1,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
2,,,,,,
1,,,,,,
2,,,,,,
1,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
2,,,,,,
1,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
1,,,,,,
1,,,,,,
4,,,,,,
1,0.30413812651491096,0.31101872257102753,0.32557641192199416,0.2024845673131659,0.21911516028472883,0.23853720883753127
1,0.32557641192199416,0.3602176599049072,0.38288379438153297,0.19924858845171275,0.28429482541568607,0.3606937759374287
