timestamp,passed_time,side,cut_length,time,speed,event_type,start,end
2021.4.5 14:21:45:851,1.178,left,0.2477123740450302,0.213,1.1629688922301886,0,70,89
2021.4.5 14:21:45:909,1.236,right,0.31404918347287664,0.28600000000000003,1.0980740680869814,0,69,94
2021.4.5 14:21:46:59,1.386,left,0.16674861087325718,0.13,1.2826816221019783,0,97,107
2021.4.5 14:21:46:378,1.705,right,0.3778923941946309,0.419,0.9018911555957778,0,99,122
2021.4.5 14:21:48:147,3.4739999999999998,right,0.2851317421547456,0.19099999999999995,1.4928363463599248,4,231,245
2021.4.5 14:21:48:165,3.492,left,0.24679684684516465,0.17600000000000005,1.4022548116202531,4,233,246
2021.4.5 14:21:48:591,3.918,left,0.1862497303456104,0.332,0.5609931636915975,4,253,267
2021.4.5 14:21:48:742,4.069,right,0.3267626250519752,0.385,0.8487340910440914,2,257,275
2021.4.5 14:21:49:47,4.374,right,0.3265092095178315,0.14500000000000002,2.2517876518471143,2,290,301
2021.4.5 14:21:49:255,4.582,right,0.10414213562373073,0.121,0.860678806807692,2,309,319
2021.4.5 14:21:49:370,4.697,left,0.10064495102245988,0.115,0.875173487151825,2,320,328
2021.4.5 14:21:49:841,5.167999999999999,left,0.29269004872380106,0.264,1.108674426984095,2,347,364
2021.4.5 14:21:50:133,5.46,left,0.15559233523410748,0.22,0.7072378874277614,4,368,377
2021.4.5 14:21:50:404,5.731,left,0.25560478991306584,0.16399999999999998,1.5585657921528404,4,383,395
2021.4.5 14:21:50:415,5.742000000000001,right,0.5336611386194072,0.502,1.0630699972498152,4,368,396
2021.4.5 14:21:50:936,6.263,left,0.2523069482238444,0.35600000000000004,0.7087273826512482,4,411,426
2021.4.5 14:21:51:337,6.664,right,0.7282647611815805,0.69,1.055456175625479,2,414,453
2021.4.5 14:21:51:974,7.301,right,0.33323881751974993,0.446,0.7471722365913676,1,470,490
2021.4.5 14:21:52:109,7.436,left,0.4822603898168209,0.5589999999999999,0.8627198386705205,1,472,497
2021.4.5 14:21:52:611,7.938,left,0.35704836796076983,0.32899999999999996,1.0852533980570511,4,512,530
2021.4.5 14:21:52:815,8.142000000000001,right,0.3664636574855825,0.379,0.9669225791176318,4,523,539
2021.4.5 14:21:53:71,8.398,left,0.1847870866461907,0.213,0.867545007728595,4,542,558
2021.4.5 14:21:53:665,8.992,left,0.5125062021164041,0.504,1.016877385151595,2,567,595
2021.4.5 14:21:53:882,9.209,right,0.6964236234812476,0.6940000000000001,1.0034922528548238,2,569,606
2021.4.5 14:21:54:656,9.982999999999999,right,0.299213320193674,0.24600000000000002,1.2163143097303821,1,644,654
2021.4.5 14:21:54:927,10.254000000000001,left,0.2360112615949153,0.20199999999999999,1.1683725821530462,1,658,670
2021.4.5 14:21:55:428,10.755,left,0.4139743257108605,0.384,1.0780581398720326,4,681,704
2021.4.5 14:21:55:428,10.755,right,0.19656854249492395,0.287,0.6849078135711636,4,689,704
2021.4.5 14:21:55:715,11.042,left,0.15861041012060836,0.266,0.5962797372955201,4,706,717
2021.4.5 14:21:55:914,11.241,left,0.17889744482851416,0.11900000000000001,1.5033398725085223,4,725,733
2021.4.5 14:21:55:924,11.251,right,0.3083128209539737,0.18,1.7128490052998542,4,721,734
2021.4.5 14:21:57:455,12.782,right,0.511168102567261,0.48200000000000004,1.0605147356167242,1,799,821
2021.4.5 14:21:57:652,12.979000000000001,right,0.31738640495470083,0.17600000000000002,1.8033318463335275,1,823,836
2021.4.5 14:21:58:296,13.623,right,0.6861398987846581,0.5409999999999999,1.2682807740936382,2,844,871
2021.4.5 14:21:58:571,13.898,right,0.17307135789365266,0.171,1.012113204056448,1,880,893
2021.4.5 14:21:58:766,14.093,right,0.3503882739896668,0.18600000000000003,1.883807924675628,1,895,907
2021.4.5 14:21:59:354,14.681,right,0.6454077135978091,0.52,1.2411686799957868,2,911,937
2021.4.5 14:21:59:948,15.275,right,0.5999453595722317,0.523,1.14712305845551,1,944,973
2021.4.5 14:22:00:433,15.76,right,0.563398827660942,0.449,1.254785807708111,2,976,1004
2021.4.5 14:22:01:37,16.364,right,0.6221141389451231,0.593,1.049096355725334,2,1006,1035
2021.4.5 14:22:02:553,17.88,left,0.5176135111490479,0.43,1.2037523515094135,2,1103,1123
2021.4.5 14:22:04:397,19.724,left,0.6044480521404859,0.522,1.1579464600392453,1,1202,1226
2021.4.5 14:22:04:578,19.905,left,0.17242640687119273,0.16699999999999998,1.0324934543185194,2,1228,1242
2021.4.5 14:22:04:823,20.15,left,0.328120794175842,0.23399999999999999,1.4022256161360769,2,1244,1261
2021.4.5 14:22:05:469,20.796,left,0.5356005516530459,0.528,1.0143949841913746,2,1272,1297
