timestamp,passed_time,side,cut_length,time,speed,event_type,start,end
2021.4.12 15:04:26:231,0.867,left,0.22135562914111467,0.215,1.0295610657726264,0,47,65
2021.4.12 15:04:26:423,1.0590000000000002,right,0.19307135789365265,0.177,1.090798632167529,0,67,82
2021.4.12 15:04:28:825,3.4610000000000003,left,0.35057423953439937,0.17,2.0622014090258785,4,283,297
2021.4.12 15:04:28:944,3.58,right,0.6135398364945231,0.33299999999999996,1.8424619714550243,4,279,308
2021.4.12 15:04:29:673,4.309,right,0.6771752933928629,0.348,1.9459060154967325,2,343,373
2021.4.12 15:04:30:53,4.689,right,0.3014286829611426,0.225,1.3396830353828562,2,388,407
2021.4.12 15:04:30:210,4.846,right,0.14803118619434352,0.146,1.0139122342078324,2,409,421
2021.4.12 15:04:30:634,5.27,left,0.6877954507465707,0.391,1.759067648968211,2,425,459
2021.4.12 15:04:30:846,5.482,right,0.16256003327696275,0.11199999999999999,1.4514288685443102,4,469,478
2021.4.12 15:04:31:122,5.757999999999999,left,0.5142451133197353,0.231,2.226169321730456,4,483,503
2021.4.12 15:04:31:134,5.77,right,0.5644603564387902,0.243,2.322882125262512,4,483,504
2021.4.12 15:04:31:829,6.465,right,0.9100462535001675,0.528,1.7235724498109233,2,520,566
2021.4.12 15:04:31:930,6.566,right,0.10528596717383737,0.09,1.169844079709304,2,568,575
2021.4.12 15:04:32:388,7.024,right,0.3320199135159385,0.265,1.2529053340224092,2,593,616
2021.4.12 15:04:32:820,7.456,left,0.959154606081572,0.522,1.8374609311907508,1,609,655
2021.4.12 15:04:33:79,7.715,left,0.31218064854190763,0.248,1.2587929376689824,4,657,678
2021.4.12 15:04:33:79,7.715,right,0.2493816608250049,0.202,1.2345626773515097,4,661,678
2021.4.12 15:04:33:302,7.938,left,0.6474328976795505,0.212,3.0539287626393885,4,680,698
2021.4.12 15:04:33:302,7.938,right,0.5757596676061587,0.212,2.715847488708296,4,680,698
2021.4.12 15:04:33:572,8.208,left,0.11828427124746195,0.135,0.8761797870182367,4,711,722
2021.4.12 15:04:34:05,8.641,left,0.10414213562373098,0.124,0.8398559324494433,1,751,761
