timestamp,passed_time,side,cut_length,time,speed,event_type,start,end
2021.4.11 15:15:06:925,3.4589999999999996,left,0.362386486259111,0.20199999999999999,1.7939925062332227,4,258,275
2021.4.11 15:15:06:925,3.4589999999999996,right,0.3031067612036549,0.20199999999999999,1.5005285208101729,4,258,275
2021.4.11 15:15:07:91,3.625,right,0.20960812294716896,0.15400000000000005,1.3610917074491489,4,277,290
2021.4.11 15:15:07:103,3.637,left,0.20689468136807024,0.16600000000000004,1.2463535022172902,4,277,291
2021.4.11 15:15:07:517,4.051,right,0.18071067811865474,0.191,0.9461292048097106,4,312,328
2021.4.11 15:15:07:862,4.396,right,0.5581612387864247,0.278,2.0077742402389376,2,335,359
2021.4.11 15:15:08:286,4.82,right,0.35499159465860874,0.3120000000000001,1.1377935726237458,2,370,397
2021.4.11 15:15:08:646,5.18,left,0.5911631538189811,0.40399999999999997,1.4632751332152996,2,394,429
2021.4.11 15:15:08:857,5.391,right,0.22192023676495592,0.201,1.1040807799251535,2,431,448
2021.4.11 15:15:09:114,5.648,right,0.20446827449687732,0.14500000000000002,1.4101260310129466,4,459,471
2021.4.11 15:15:09:249,5.7829999999999995,left,0.5019826259340856,0.28,1.7927950926217342,4,459,483
2021.4.11 15:15:09:270,5.803999999999999,right,0.19925536114306816,0.145,1.3741749044349527,4,473,485
2021.4.11 15:15:09:650,6.184,right,0.16656854249492375,0.179,0.9305505167314176,4,504,519
2021.4.11 15:15:09:772,6.306,right,0.1065685424949238,0.111,0.960076959413728,2,521,530
2021.4.11 15:15:10:119,6.6530000000000005,right,0.5785457780319332,0.335,1.7270023224833828,2,532,561
2021.4.11 15:15:10:511,7.045,right,0.36219998189427177,0.292,1.240410896898191,2,571,596
2021.4.11 15:15:10:879,7.412999999999999,left,0.6542043724331615,0.348,1.8798976219343724,1,599,629
2021.4.11 15:15:11:146,7.68,left,0.17999271042140974,0.15500000000000005,1.1612432930413532,4,640,653
2021.4.11 15:15:11:477,8.011000000000001,right,0.3455390411434662,0.242,1.4278472774523396,4,662,683
2021.4.11 15:15:11:511,8.045,left,0.6267734035034286,0.353,1.7755620495847837,4,655,686
2021.4.11 15:15:11:634,8.168,right,0.1365685424949238,0.146,0.9354009759926291,4,685,697
2021.4.11 15:15:12:85,8.619,left,0.10242640687119288,0.112,0.9145214899213652,1,728,737
2021.4.11 15:15:12:489,9.023,left,0.5395614986751787,0.313,1.7238386539143091,2,746,773
2021.4.11 15:15:12:546,9.08,right,0.8165372110068689,0.451,1.8105037938068047,2,739,778
2021.4.11 15:15:12:810,9.344,left,0.28135562914111456,0.247,1.1390916159559294,2,781,802
2021.4.11 15:15:12:945,9.479,right,0.5043075283874188,0.382,1.3201767758832952,2,781,814
2021.4.11 15:15:13:07,9.541,left,0.1297469149468815,0.14,0.9267636781920108,2,808,819
2021.4.11 15:15:13:389,9.923,right,0.3071360574291949,0.22,1.3960729883145224,1,835,849
2021.4.11 15:15:13:724,10.258,left,0.2744218325243142,0.188,1.459690598533586,1,863,879
2021.4.11 15:15:13:979,10.513,left,0.14106343992275555,0.134,1.0527122382295189,4,891,902
2021.4.11 15:15:14:162,10.696,left,0.2354195935796073,0.17100000000000004,1.3767227694713873,4,904,918
2021.4.11 15:15:14:321,10.855,right,0.4804827661674493,0.353,1.3611409806443324,4,902,932
2021.4.11 15:15:14:329,10.863,left,0.20902889902090416,0.156,1.3399288398775908,4,920,933
2021.4.11 15:15:14:793,11.327,right,0.6144566708558545,0.374,1.642932275015654,4,942,974
2021.4.11 15:15:14:799,11.333,left,0.7323432621147015,0.45899999999999996,1.5955190895745128,4,935,975
2021.4.11 15:15:15:880,12.414000000000001,right,0.2674092360604168,0.141,1.8965194046838072,2,1060,1072
2021.4.11 15:15:16:508,13.042,right,0.7690816852553218,0.527,1.4593580365376124,1,1082,1128
2021.4.11 15:15:17:55,13.589,right,0.6272882630509212,0.376,1.6683198485396842,2,1144,1177
2021.4.11 15:15:17:596,14.13,right,0.6671864220424274,0.442,1.5094715430824148,1,1187,1225
2021.4.11 15:15:18:70,14.604000000000001,right,0.488848867787814,0.334,1.4636193646341735,2,1239,1268
2021.4.11 15:15:18:541,15.075,right,0.2898539184216972,0.19,1.525546939061564,1,1294,1310
2021.4.11 15:15:18:691,15.225,right,0.2631710828733677,0.139,1.893317142973868,1,1312,1323
2021.4.11 15:15:19:267,15.800999999999998,right,0.750403898659626,0.513,1.4627756309154505,2,1330,1375
2021.4.11 15:15:19:914,16.448,right,0.6294983861066848,0.35600000000000004,1.7682538935581036,2,1402,1433
2021.4.11 15:15:20:103,16.637,left,0.17999271042140996,0.15700000000000006,1.1464503848497447,2,1437,1450
2021.4.11 15:15:20:266,16.8,left,0.2342491390985465,0.152,1.5411127572272796,2,1452,1464
2021.4.11 15:15:20:461,16.995,left,0.23988054135265166,0.187,1.2827836435970676,2,1466,1482
2021.4.11 15:15:20:886,17.42,left,0.5927218447109927,0.302,1.9626551149370617,1,1494,1520
2021.4.11 15:15:21:353,17.887,left,0.3348334989358057,0.198,1.6910782774535638,2,1545,1562
2021.4.11 15:15:21:509,18.043,left,0.2129785221772587,0.14400000000000002,1.4790175151198524,2,1564,1576
2021.4.11 15:15:21:826,18.36,left,0.30884376150609344,0.214,1.4431951472247355,1,1586,1604
2021.4.11 15:15:21:981,18.515,left,0.25232156452626786,0.14400000000000002,1.7522330869879714,1,1606,1618
2021.4.11 15:15:22:295,18.829,left,0.17538564392481984,0.135,1.2991529179616284,2,1635,1646
2021.4.11 15:15:22:451,18.985,left,0.23893654899375485,0.147,1.6254187006377883,2,1648,1660
2021.4.11 15:15:22:573,19.107,left,0.12853006672199022,0.111,1.1579285290269388,2,1662,1671
2021.4.11 15:15:23:212,19.746,left,0.8007248347935868,0.56,1.4298657764171192,1,1679,1728
2021.4.11 15:15:23:703,20.237000000000002,left,0.6914450229329441,0.426,1.6231103824716997,2,1735,1772
2021.4.11 15:15:24:06,20.54,left,0.15934771117021734,0.14800000000000002,1.07667372412309,2,1787,1799
2021.4.11 15:15:24:172,20.706,left,0.3108660131963482,0.158,1.9675064126351152,2,1801,1814
2021.4.11 15:15:24:327,20.861,left,0.25203610299915696,0.145,1.7381800206838411,2,1816,1828
2021.4.11 15:15:24:791,21.325,right,0.4488476586865949,0.245,1.8320312599452853,2,1849,1870
2021.4.11 15:15:25:265,21.799,right,0.5209415572849829,0.271,1.9222935693172805,1,1889,1912
2021.4.11 15:15:25:434,21.968000000000004,right,0.2796916282157161,0.157,1.7814753389536055,1,1914,1927
2021.4.11 15:15:25:573,22.107,left,0.1380311861943436,0.12300000000000001,1.1222047658076717,1,1930,1940
2021.4.11 15:15:25:764,22.298000000000002,left,0.138284271247462,0.124,1.1151957358666291,3,1947,1957
2021.4.11 15:15:25:888,22.421999999999997,left,0.26773040956567673,0.113,2.369295659873245,3,1959,1968
2021.4.11 15:15:25:979,22.513,left,0.10446827449687747,0.08,1.3058534312109684,3,1970,1976
2021.4.11 15:15:26:196,22.73,right,0.34714042861386585,0.27399999999999997,1.266935870853525,1,1972,1995
2021.4.11 15:15:26:204,22.738000000000003,left,0.17828427124746205,0.146,1.221125145530562,1,1984,1996
2021.4.11 15:15:26:316,22.85,left,0.12618400324941562,0.10099999999999999,1.2493465668258972,1,1998,2006
2021.4.11 15:15:26:517,23.051,right,0.4117171713242633,0.24600000000000002,1.673647037903509,1,2003,2024
2021.4.11 15:15:26:830,23.364,right,0.15045759306553638,0.134,1.1228178586980326,2,2041,2052
2021.4.11 15:15:26:987,23.521,right,0.32157958046766816,0.146,2.202599866216905,2,2054,2066
2021.4.11 15:15:28:214,24.748,left,0.4765972101213084,0.328,1.4530402747600866,3,2148,2176
2021.4.11 15:15:28:392,24.926,left,0.14064495102245966,0.11,1.2785904638405423,1,2183,2192
2021.4.11 15:15:28:392,24.926,right,0.18453400159307232,0.156,1.1829102666222584,1,2179,2192
