timestamp,passed_time,side,cut_length,time,speed,event_type,start,end
2021.4.13 19:20:47:142,0.698,right,0.4074291498459071,0.447,0.9114746081563916,0,9,28
2021.4.13 19:20:47:601,1.157,right,0.3197056274847714,0.314,1.0181707881680615,0,39,66
2021.4.13 19:20:47:885,1.4409999999999998,right,0.11064495102245972,0.114,0.9705697458110502,0,82,91
2021.4.13 19:20:47:962,1.518,left,0.2463154574418055,0.23600000000000002,1.043709565431379,0,78,98
2021.4.13 19:20:48:177,1.733,right,0.10560477932315064,0.114,0.9263577133609706,0,108,117
2021.4.13 19:20:48:187,1.743,left,0.14071067811865476,0.146,0.9637717679359916,0,106,118
2021.4.13 19:20:49:633,3.1889999999999996,right,0.2330056307974576,0.18899999999999997,1.2328340253833736,0,232,248
2021.4.13 19:20:49:677,3.233,left,0.2962497303456104,0.256,1.1572255091625407,4,230,252
2021.4.13 19:20:50:01,3.557,right,0.6176946309891436,0.27899999999999997,2.2139592508571453,4,257,281
2021.4.13 19:20:50:16,3.572,left,0.6729197069613998,0.266,2.5297733344413524,4,259,282
2021.4.13 19:20:50:292,3.8480000000000003,left,0.15949382989376326,0.146,1.092423492423036,4,295,307
2021.4.13 19:20:50:414,3.97,right,0.5071623716401221,0.368,1.3781586185872885,4,286,318
2021.4.13 19:20:51:85,4.641,left,0.38580928733556863,0.358,1.077679573563041,2,347,378
2021.4.13 19:20:51:129,4.685,right,1.243155485024024,0.514,2.41859043778993,2,337,382
2021.4.13 19:20:51:253,4.809,left,0.1497469149468817,0.157,0.9538020060310936,2,380,393
2021.4.13 19:20:51:276,4.832,right,0.16045759306553625,0.136,1.179835243128943,2,384,395
2021.4.13 19:20:51:688,5.244,left,0.9857555625521596,0.41200000000000003,2.3926105887188345,2,396,432
2021.4.13 19:20:51:804,5.36,right,0.1453516942700324,0.13699999999999998,1.060961272044032,2,431,442
2021.4.13 19:20:51:968,5.524,left,0.3328255995643674,0.242,1.3753123948940802,4,436,457
2021.4.13 19:20:52:235,5.791,right,1.1422611992640217,0.402,2.841445769313486,4,446,481
2021.4.13 19:20:52:347,5.903,left,1.1998079949500062,0.369,3.2515121814363317,4,459,491
2021.4.13 19:20:52:347,5.903,right,0.12936237570137335,0.099,1.3066906636502358,4,483,491
2021.4.13 19:20:52:596,6.152,right,0.378651686499229,0.23800000000000002,1.5909734726858362,4,493,513
2021.4.13 19:20:52:762,6.318,left,0.5823675097260969,0.40399999999999997,1.4415037369457842,2,493,528
2021.4.13 19:20:53:218,6.774,left,0.15779271744364856,0.12300000000000001,1.2828676214930776,2,559,569
2021.4.13 19:20:53:241,6.797000000000001,right,1.2073432509713924,0.614,1.9663570862726258,2,517,571
2021.4.13 19:20:53:457,7.013,right,0.234346643636149,0.205,1.143154359200727,2,573,590
2021.4.13 19:20:54:370,7.926,left,2.4541036073350826,0.9940000000000001,2.4689171099950533,4,584,672
2021.4.13 19:20:54:370,7.926,right,0.8398155207344613,0.358,2.345853409872797,4,641,672
2021.4.13 19:20:54:727,8.283,right,1.0321507627855735,0.335,3.0810470530912646,4,675,704
2021.4.13 19:20:54:754,8.31,left,0.6030421790426478,0.36200000000000004,1.6658623730459885,4,675,706
2021.4.13 19:20:57:767,11.323,left,0.207484176581315,3.003,0.06909229989387779,4,708,710
2021.4.13 19:20:57:778,11.334000000000001,right,0.9516668037330088,3.035,0.3135640209993439,4,706,711
2021.4.13 19:20:58:401,11.957,left,0.5174466057073364,0.345,1.4998452339343085,4,737,767
2021.4.13 19:20:58:456,12.012,right,0.5293540070117922,0.321,1.6490779034635272,4,744,772
2021.4.13 19:20:58:917,12.472999999999999,left,0.206283680000398,0.16899999999999998,1.2206134911266149,2,799,813
2021.4.13 19:20:59:74,12.63,left,0.13313708498984764,0.12300000000000001,1.0824153251207127,2,817,827
2021.4.13 19:20:59:641,13.197000000000001,left,0.9898088179331924,0.485,2.0408429235735923,1,834,878
2021.4.13 19:21:00:635,14.190999999999999,left,0.20756630355021705,0.2,1.037831517751085,1,950,967
2021.4.13 19:21:00:680,14.235999999999999,right,0.8601948654794169,0.313,2.7482264072824822,1,944,971
2021.4.13 19:21:01:163,14.719000000000001,right,1.5093001015616438,0.47200000000000003,3.1976697066983983,2,973,1014
2021.4.13 19:21:01:337,14.892999999999999,left,0.16242640687119286,0.18100000000000002,0.8973834633767562,1,1014,1029
2021.4.13 19:21:01:754,15.31,left,0.2897735267943465,0.201,1.4416593372853057,1,1050,1067
2021.4.13 19:21:01:754,15.31,right,1.429279494427694,0.4,3.5731987360692345,1,1032,1067
2021.4.13 19:21:02:182,15.738,left,0.34524467971172723,0.31499999999999995,1.0960148562277057,2,1078,1105
2021.4.13 19:21:02:293,15.849,right,1.9532887533799148,0.528,3.6994105177649903,2,1069,1115
2021.4.13 19:21:02:481,16.037,right,0.15120955864630134,0.133,1.1369139747842203,2,1121,1132
2021.4.13 19:21:02:861,16.417,left,0.5797971081160055,0.358,1.6195449947374456,2,1135,1166
2021.4.13 19:21:02:906,16.462,right,1.5428404252089738,0.415,3.7176877715878884,2,1134,1170
2021.4.13 19:21:03:62,16.618,left,0.459773722442673,0.18999999999999995,2.4198616970667004,2,1168,1184
2021.4.13 19:21:03:62,16.618,right,0.1180311861943436,0.112,1.053849876735211,2,1175,1184
2021.4.13 19:21:03:196,16.752,right,0.1312095586463013,0.122,1.0754881856254204,2,1186,1196
2021.4.13 19:21:03:721,17.277,right,0.8062660124038001,0.401,2.0106384349221953,1,1208,1243
2021.4.13 19:21:04:54,17.61,right,0.4364637483787312,0.32299999999999995,1.351280954732914,1,1245,1273
2021.4.13 19:21:05:58,18.614,left,1.4077082369734375,0.411,3.425080868548509,1,1327,1363
2021.4.13 19:21:05:577,19.133,left,1.5590588729199797,0.507,3.0750668104930567,2,1365,1409
2021.4.13 19:21:06:153,19.709,left,1.3825071049308038,0.5579999999999999,2.4776112991591464,1,1412,1461
2021.4.13 19:21:06:757,20.313,left,1.3780408823706691,0.45799999999999996,3.008822887272203,2,1475,1515
2021.4.13 19:21:07:317,20.873,left,1.4985886075883588,0.48100000000000004,3.115568830745029,2,1523,1564
2021.4.13 19:21:07:560,21.116,right,0.16424181237471347,0.142,1.1566324815120668,2,1574,1586
2021.4.13 19:21:07:909,21.465,left,0.5430395693687555,0.382,1.4215695533213497,2,1584,1617
2021.4.13 19:21:08:67,21.623,left,0.15899494936611666,0.14700000000000002,1.081598295007596,1,1619,1631
2021.4.13 19:21:08:331,21.886999999999997,left,0.15365746312736944,0.132,1.1640716903588593,1,1644,1655
2021.4.13 19:21:08:487,22.043000000000003,right,0.1950934547064609,0.145,1.3454721014238682,1,1657,1669
2021.4.13 19:21:08:870,22.426,right,0.3643341995471057,0.282,1.291965246620942,3,1679,1703
2021.4.13 19:21:08:891,22.447,left,0.6836932621396078,0.426,1.6049137608910982,3,1668,1705
2021.4.13 19:21:09:05,22.561,left,0.10803118619434336,0.10199999999999998,1.059129276415131,3,1707,1715
2021.4.13 19:21:09:262,22.818,left,0.20192023676495613,0.18,1.121779093138645,1,1723,1738
2021.4.13 19:21:09:600,23.156,right,1.4378986136600365,0.439,3.2753954753076,1,1730,1768
2021.4.13 19:21:09:730,23.285999999999998,right,0.10388905057061257,0.1,1.0388905057061255,2,1772,1780
2021.4.13 19:21:10:111,23.666999999999998,right,1.5968489629437763,0.37,4.315808007956152,2,1782,1814
2021.4.13 19:21:10:714,24.27,left,0.12485281374238573,0.12300000000000001,1.0150635263608594,1,1858,1868
2021.4.13 19:21:10:805,24.361,right,1.8073799233711545,0.6829999999999999,2.6462370766781174,3,1816,1876
2021.4.13 19:21:11:573,25.129,left,0.3483573250674901,0.313,1.1129626998961344,1,1918,1945
2021.4.13 19:21:11:978,25.534000000000002,right,0.16039186596934146,0.14800000000000002,1.083728824117172,2,1969,1981
2021.4.13 19:21:12:210,25.766,left,1.0120754053773957,0.402,2.517600510889044,2,1967,2002
2021.4.13 19:21:12:989,26.545,left,2.0730811715677326,0.767,2.7028437699709684,1,2004,2072
2021.4.13 19:21:13:438,26.994,right,0.7674579850970522,0.36,2.1318277363807008,3,2081,2112
2021.4.13 19:21:13:785,27.340999999999998,right,0.3693868153354581,0.335,1.1026472099565914,1,2114,2143
2021.4.13 19:21:14:700,28.256,left,1.1348275870009927,0.49,2.3159746673489647,1,2182,2225
