uid,side,event,trial,cut_mean,cut_max,cut_min,cut_std,cut_var,speed_mean,speed_max,speed_min,speed_std,speed_var,space_mean,space_max,space_min,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity
56,left,1,3,0.6357461605605735,1.8344897397424536,0.10560477932315072,0.40039682477885385,0.1603176172929882,1.788239209173148,3.2394704802053256,0.8667856165369051,0.5482721918495284,0.3006023963554861,0.3786282759516875,0.6935416353759881,0.1118033988749895,2,22,172,52,2,1,2,4,1,5,2,1,1
56,right,1,3,0.7749088326570879,1.7547313060903769,0.1024264068711929,0.4229352641819735,0.17887423768867572,1.8786955788162512,2.9634655394200005,0.8864376362016788,0.47590506169479907,0.2264856277467305,0.3786282759516875,0.6935416353759881,0.1118033988749895,2,22,172,52,2,1,2,4,1,5,2,1,1
56,left,2,1,0.5884979529082115,1.3329662071469124,0.10071067811865472,0.2735639824039709,0.07483725246872011,1.8298221487885291,2.8109529326262974,0.8647131486646288,0.4868918845529529,0.23706370724352602,0.34041212906168594,0.5841232746604094,0.161245154965971,2,22,172,52,2,1,2,4,1,5,2,1,1
56,right,2,1,0.6455345569067575,1.3595785251017591,0.10656854249492388,0.31936742919460415,0.1019955548303705,1.6026998007441045,2.538111461801412,0.9196278254943956,0.3391215484116925,0.11500342459714391,0.34041212906168594,0.5841232746604094,0.161245154965971,2,22,172,52,2,1,2,4,1,5,2,1,1
56,left,2,2,0.6256475717680037,1.4117298341003817,0.10560477932315067,0.3354518694017922,0.11252795668515708,1.7781064028272853,3.2382696488402924,0.9228773117681408,0.5739763769572337,0.32944888130495237,0.3481128410315733,0.5954829972383763,0.1216552506059644,2,22,172,52,2,1,2,4,1,5,2,1,1
56,right,2,2,0.6872372325328018,1.5664496060558968,0.10706742302257044,0.3152420953214197,0.09937757866263906,1.7782653397860375,2.430975330461707,0.950747825126046,0.416084071507174,0.1731259545619871,0.3481128410315733,0.5954829972383763,0.1216552506059644,2,22,172,52,2,1,2,4,1,5,2,1,1
56,left,2,3,0.7506539028474309,1.777931064377211,0.10120955864630136,0.40955565545916184,0.16773583491858368,1.8331512741694187,2.9449231744191033,0.8287292817679561,0.5552275478540495,0.30827762989602076,0.36363040737633123,0.6935416353759881,0.11045361017187262,2,22,172,52,2,1,2,4,1,5,2,1,1
56,right,2,3,0.7144194782555539,1.8425784055179064,0.10009967675098252,0.4348829392404102,0.1891231708423783,1.751845394970439,3.8764130280407816,0.9304057727640792,0.5167507658127404,0.2670313539680536,0.36363040737633123,0.6935416353759881,0.11045361017187262,2,22,172,52,2,1,2,4,1,5,2,1,1
56,left,3,1,0.7423338470762693,0.9755802561289568,0.3810581578943525,0.23839973536135478,0.05683443382036399,1.743795475338877,2.071295660571033,1.4826665554851313,0.28679414304809575,0.0822508804866916,0.3016745143625587,0.4973932046178355,0.1676305461424021,2,22,172,52,2,1,2,4,1,5,2,1,1
56,right,3,1,0.40434448188764266,0.8368140643340936,0.118284271247462,0.2735086715031868,0.07480699338743814,1.3670774174275946,1.8011756133966312,0.889355422913248,0.34830060044982036,0.12131330827370539,0.3016745143625587,0.4973932046178355,0.1676305461424021,2,22,172,52,2,1,2,4,1,5,2,1,1
