,Unnamed: 0,event,age,height,weight,VR_exp,sport_fre,personality,familiarity,cut_mean,speed_mean,space_max
86,Unnamed: 086,event3,age1,height1,weight0,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxFalse
87,Unnamed: 087,event4,age1,height1,weight0,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanFalse,space_maxFalse
88,Unnamed: 088,event1,age1,height3,weight2,VR_exp1,sport_fre0,personality0,familiarity0,cut_meanTrue,speed_meanTrue,space_maxFalse
89,Unnamed: 089,event2,age1,height3,weight2,VR_exp1,sport_fre0,personality0,familiarity0,cut_meanTrue,speed_meanFalse,space_maxFalse
90,Unnamed: 090,event3,age1,height3,weight2,VR_exp1,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
91,Unnamed: 091,event4,age1,height3,weight2,VR_exp1,sport_fre0,personality0,familiarity0,cut_meanTrue,speed_meanFalse,space_maxFalse
92,Unnamed: 092,event1,age0,height2,weight1,VR_exp1,sport_fre0,personality1,familiarity1,cut_meanFalse,speed_meanFalse,space_maxFalse
93,Unnamed: 093,event2,age0,height2,weight1,VR_exp1,sport_fre0,personality1,familiarity1,cut_meanFalse,speed_meanFalse,space_maxFalse
94,Unnamed: 094,event3,age0,height2,weight1,VR_exp1,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
95,Unnamed: 095,event4,age0,height2,weight1,VR_exp1,sport_fre0,personality1,familiarity1,cut_meanFalse,speed_meanFalse,space_maxFalse
96,Unnamed: 096,event1,age0,height2,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
97,Unnamed: 097,event2,age0,height2,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
98,Unnamed: 098,event3,age0,height2,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
99,Unnamed: 099,event4,age0,height2,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
100,Unnamed: 0100,event1,age1,height2,weight2,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
101,Unnamed: 0101,event2,age1,height2,weight2,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
102,Unnamed: 0102,event3,age1,height2,weight2,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanFalse,space_maxTrue
103,Unnamed: 0103,event4,age1,height2,weight2,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
104,Unnamed: 0104,event1,age0,height3,weight3,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
105,Unnamed: 0105,event2,age0,height3,weight3,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
106,Unnamed: 0106,event3,age0,height3,weight3,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
107,Unnamed: 0107,event4,age0,height3,weight3,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
108,Unnamed: 0108,event1,age0,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
109,Unnamed: 0109,event2,age0,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
110,Unnamed: 0110,event3,age0,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
111,Unnamed: 0111,event4,age0,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
112,Unnamed: 0112,event1,age0,height3,weight3,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
113,Unnamed: 0113,event2,age0,height3,weight3,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
114,Unnamed: 0114,event3,age0,height3,weight3,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
115,Unnamed: 0115,event4,age0,height3,weight3,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
116,Unnamed: 0116,event1,age0,height1,weight1,VR_exp0,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
117,Unnamed: 0117,event2,age0,height1,weight1,VR_exp0,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanFalse,space_maxTrue
118,Unnamed: 0118,event3,age0,height1,weight1,VR_exp0,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
119,Unnamed: 0119,event4,age0,height1,weight1,VR_exp0,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
120,Unnamed: 0120,event1,age0,height2,weight1,VR_exp1,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
121,Unnamed: 0121,event2,age0,height2,weight1,VR_exp1,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
122,Unnamed: 0122,event3,age0,height2,weight1,VR_exp1,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
123,Unnamed: 0123,event4,age0,height2,weight1,VR_exp1,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
124,Unnamed: 0124,event1,age1,height2,weight2,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanTrue,space_maxFalse
125,Unnamed: 0125,event2,age1,height2,weight2,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanTrue,space_maxFalse
126,Unnamed: 0126,event3,age1,height2,weight2,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanTrue,space_maxFalse
127,Unnamed: 0127,event4,age1,height2,weight2,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanTrue,space_maxFalse
128,Unnamed: 0128,event1,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
129,Unnamed: 0129,event2,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
130,Unnamed: 0130,event3,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
131,Unnamed: 0131,event4,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanTrue,space_maxFalse
132,Unnamed: 0132,event1,age0,height0,weight0,VR_exp1,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
133,Unnamed: 0133,event2,age0,height0,weight0,VR_exp1,sport_fre0,personality1,familiarity1,cut_meanFalse,speed_meanTrue,space_maxTrue
134,Unnamed: 0134,event3,age0,height0,weight0,VR_exp1,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
135,Unnamed: 0135,event4,age0,height0,weight0,VR_exp1,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
136,Unnamed: 0136,event1,age0,height2,weight1,VR_exp0,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
137,Unnamed: 0137,event2,age0,height2,weight1,VR_exp0,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
138,Unnamed: 0138,event3,age0,height2,weight1,VR_exp0,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
139,Unnamed: 0139,event4,age0,height2,weight1,VR_exp0,sport_fre1,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
140,Unnamed: 0140,event1,age0,height1,weight1,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
141,Unnamed: 0141,event2,age0,height1,weight1,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
