cut_matching_cat,cut_matching_val,cut_proto_cat,cut_proto_val,cut_maml_cat,cut_maml_val,space_matching_cat,space_matching_val,space_proto_cat,space_proto_val,space_maml_cat,space_maml_val,speed_matching_cat,speed_matching_val,speed_proto_cat,speed_proto_val,speed_maml_cat,speed_maml_val
0.4625,0.45,0.5225,0.64,0.509375,0.6,0.475,0.525,0.4825,0.49,0.48671875,0.4703125,0.5,0.55,0.4975,0.535,0.50546875,0.5625
0.5375,0.5,0.555,0.585,0.50546875,0.5984375,0.525,0.35,0.515,0.515,0.52265625,0.496875,0.5875,0.55,0.5075,0.535,0.51328125,0.5765625
0.4375,0.475,0.5475,0.585,0.56171875,0.60625,0.4375,0.55,0.5025,0.49,0.490625,0.5015625,0.55,0.425,0.4775,0.565,0.5328125,0.540625
0.575,0.575,0.5625,0.575,0.55859375,0.61875,0.525,0.4,0.5225,0.52,0.4765625,0.471875,0.4625,0.775,0.5175,0.59,0.55078125,0.51875
0.55,0.55,0.5775,0.58,0.58203125,0.615625,0.4375,0.55,0.515,0.48,0.5,0.465625,0.575,0.575,0.5175,0.505,0.5734375,0.5453125
0.575,0.575,0.645,0.615,0.59609375,0.6140625,0.45,0.425,0.52,0.45,0.48515625,0.51875,0.575,0.55,0.5,0.585,0.59140625,0.65625
0.5375,0.5,0.62,0.735,0.67421875,0.65625,0.475,0.55,0.5575,0.565,0.5,0.5078125,0.55,0.55,0.5275,0.56,0.65078125,0.5953125
0.575,0.675,0.7175,0.675,0.7734375,0.66875,0.4875,0.475,0.495,0.475,0.51640625,0.5125,0.625,0.725,0.52,0.61,0.653125,0.6203125
0.525,0.6,0.705,0.74,0.86953125,0.6953125,0.55,0.45,0.5275,0.485,0.5125,0.4375,0.4875,0.525,0.5375,0.635,0.68359375,0.6015625
0.7,0.575,0.6775,0.655,0.8421875,0.7015625,0.6125,0.65,0.5525,0.485,0.54921875,0.4921875,0.65,0.625,0.555,0.635,0.7765625,0.6671875
0.75,0.575,0.7125,0.75,0.8984375,0.6859375,0.45,0.45,0.5175,0.46,0.55859375,0.5109375,0.6125,0.6,0.5475,0.6,0.80625,0.6734375
0.6125,0.65,0.77,0.745,0.90546875,0.690625,0.45,0.55,0.535,0.475,0.5828125,0.46875,0.5,0.55,0.5725,0.575,0.87265625,0.6390625
0.75,0.775,0.845,0.805,0.94140625,0.690625,0.475,0.575,0.5575,0.57,0.57265625,0.4890625,0.65,0.625,0.5875,0.595,0.884375,0.6625
0.65,0.625,0.87,0.775,0.94765625,0.7078125,0.5,0.375,0.53,0.53,0.6390625,0.4515625,0.575,0.575,0.585,0.695,0.89921875,0.7234375
0.775,0.675,0.8725,0.78,0.92265625,0.7265625,0.475,0.375,0.5175,0.495,0.65234375,0.503125,0.675,0.6,0.6025,0.75,0.9265625,0.759375
0.6625,0.725,0.86,0.8,0.9328125,0.6953125,0.5625,0.45,0.5325,0.47,0.69453125,0.4765625,0.7,0.75,0.6225,0.76,0.9140625,0.7359375
0.6875,0.725,0.9175,0.835,0.9,0.6890625,0.4875,0.575,0.5,0.515,0.74140625,0.49375,0.5,0.6,0.635,0.74,0.9015625,0.75
0.8625,0.65,0.91,0.85,0.90625,0.715625,0.575,0.55,0.56,0.45,0.75234375,0.478125,0.6125,0.775,0.6175,0.7,0.8890625,0.746875
0.8,0.675,0.93,0.845,0.8984375,0.7515625,0.6,0.55,0.5625,0.53,0.7640625,0.4859375,0.6375,0.7,0.635,0.685,0.8875,0.759375
0.875,0.6,0.92,0.82,0.9265625,0.725,0.625,0.575,0.6125,0.475,0.77890625,0.5109375,0.55,0.725,0.655,0.765,0.86953125,0.725
0.825,0.65,0.955,0.87,0.92109375,0.7578125,0.425,0.5,0.6,0.515,0.79296875,0.5265625,0.6875,0.725,0.6725,0.715,0.8921875,0.7296875
0.8875,0.75,0.9525,0.86,0.91328125,0.759375,0.525,0.525,0.5675,0.53,0.846875,0.5390625,0.725,0.65,0.67,0.805,0.90859375,0.75625
0.8625,0.825,0.9575,0.925,0.93515625,0.7421875,0.55,0.475,0.615,0.455,0.84375,0.5671875,0.7125,0.8,0.7275,0.815,0.9109375,0.7625
0.8375,0.775,0.9425,0.9,0.9171875,0.7296875,0.5,0.45,0.5925,0.545,0.83359375,0.55625,0.6375,0.925,0.73,0.735,0.92421875,0.7578125
0.7125,0.6,0.9775,0.87,0.94140625,0.7453125,0.5,0.625,0.63,0.51,0.85625,0.515625,0.825,0.85,0.7175,0.835,0.93359375,0.7625
0.875,0.825,0.9825,0.85,0.93515625,0.7546875,0.5,0.45,0.645,0.535,0.8703125,0.53125,0.8375,0.775,0.7425,0.775,0.928125,0.775
0.8375,0.9,0.9675,0.835,0.93671875,0.7703125,0.6375,0.55,0.6825,0.515,0.8546875,0.46875,0.75,0.825,0.825,0.83,0.9234375,0.775
0.9125,0.85,0.97,0.845,0.9421875,0.784375,0.5,0.475,0.6775,0.545,0.8734375,0.5015625,0.7875,0.6,0.8125,0.805,0.92578125,0.8046875
0.8375,0.85,0.9575,0.86,0.95625,0.7265625,0.6,0.5,0.6625,0.535,0.88046875,0.4953125,0.85,0.75,0.845,0.845,0.94453125,0.771875
0.9125,0.75,0.9675,0.78,0.953125,0.7703125,0.55,0.45,0.635,0.545,0.88671875,0.49375,0.8875,0.95,0.8925,0.895,0.93125,0.75625
0.9,0.825,0.945,0.85,0.9375,0.746875,0.4875,0.575,0.71,0.595,0.8765625,0.490625,0.9125,0.975,0.9125,0.805,0.9265625,0.796875
0.9625,0.95,0.9675,0.855,0.95234375,0.790625,0.6625,0.6,0.7175,0.565,0.9015625,0.5453125,0.825,0.775,0.925,0.81,0.9421875,0.796875
0.8875,0.825,0.965,0.865,0.934375,0.75,0.5625,0.475,0.74,0.575,0.8984375,0.5328125,0.8625,0.7,0.9,0.83,0.93359375,0.8078125
0.9125,0.75,0.9775,0.89,0.93359375,0.765625,0.5875,0.5,0.7425,0.585,0.90546875,0.5890625,0.8,0.7,0.9025,0.865,0.92734375,0.7921875
0.9625,0.825,0.9825,0.875,0.9546875,0.7921875,0.5625,0.475,0.715,0.57,0.91015625,0.5734375,0.8,0.875,0.9425,0.845,0.940625,0.8046875
0.9375,0.85,0.975,0.875,0.95234375,0.753125,0.5375,0.55,0.78,0.65,0.88984375,0.5734375,0.925,0.9,0.94,0.875,0.94140625,0.8078125
0.925,0.825,0.9975,0.825,0.94296875,0.7890625,0.3875,0.525,0.805,0.59,0.934375,0.565625,0.9,0.85,0.925,0.835,0.9515625,0.803125
0.95,0.875,0.965,0.78,0.95,0.7453125,0.5875,0.475,0.84,0.7,0.909375,0.5984375,0.825,0.9,0.965,0.85,0.94765625,0.8375
0.8375,0.775,0.91,0.845,0.9484375,0.765625,0.5,0.575,0.8375,0.545,0.9046875,0.54375,0.8875,0.775,0.9375,0.865,0.95859375,0.815625
1,0.9,0.975,0.875,0.96015625,0.7859375,0.7125,0.475,0.845,0.735,0.9125,0.5484375,0.8875,0.925,0.9525,0.87,0.95078125,0.8359375
0.9125,0.875,0.9925,0.89,0.95234375,0.7453125,0.55,0.575,0.8575,0.63,0.8953125,0.5375,0.8625,0.9,0.96,0.895,0.94921875,0.7875
0.8875,0.875,0.9875,0.855,0.965625,0.7796875,0.45,0.5,0.87,0.67,0.86640625,0.50625,0.95,0.85,0.9725,0.85,0.95078125,0.7625
0.95,0.75,0.985,0.83,0.9515625,0.7734375,0.475,0.475,0.9,0.71,0.88984375,0.54375,0.9625,0.8,0.975,0.84,0.9625,0.8125
0.9,0.8,0.9775,0.915,0.9625,0.790625,0.6375,0.475,0.885,0.62,0.88828125,0.509375,0.9375,0.75,0.9725,0.785,0.96875,0.7921875
0.9625,0.85,0.99,0.83,0.95703125,0.7359375,0.6625,0.475,0.8825,0.775,0.859375,0.55,0.9625,0.875,0.985,0.87,0.9671875,0.80625
0.9125,0.775,0.9975,0.905,0.97109375,0.75625,0.4625,0.5,0.89,0.78,0.87109375,0.5890625,0.8125,0.825,0.9875,0.9,0.9671875,0.8421875
0.925,0.925,0.995,0.875,0.95703125,0.7640625,0.5875,0.4,0.9425,0.68,0.85,0.5234375,0.925,0.8,0.98,0.84,0.9609375,0.846875
0.9,0.85,0.9975,0.89,0.97265625,0.815625,0.4375,0.45,0.9075,0.665,0.85,0.5421875,0.8375,0.85,0.96,0.86,0.9609375,0.86875
0.9375,0.8,0.995,0.875,0.96640625,0.790625,0.625,0.375,0.9025,0.755,0.8703125,0.5265625,0.9375,0.8,0.9825,0.845,0.96328125,0.85
0.975,0.85,0.995,0.865,0.959375,0.7453125,0.5625,0.425,0.92,0.665,0.85859375,0.5234375,0.7875,0.75,0.97,0.86,0.96796875,0.8296875
0.9125,0.85,0.9925,0.86,0.9515625,0.7609375,0.6,0.525,0.935,0.745,0.8671875,0.5765625,0.925,0.875,0.995,0.87,0.959375,0.8203125
0.975,0.825,0.9975,0.89,0.96640625,0.7671875,0.6375,0.525,0.915,0.77,0.8515625,0.525,0.8625,0.875,0.9825,0.87,0.9703125,0.825
0.8875,0.9,1,0.925,0.9546875,0.771875,0.6875,0.6,0.915,0.755,0.84453125,0.603125,0.8875,0.85,0.985,0.9,0.971875,0.8390625
0.925,0.85,1,0.87,0.97265625,0.7625,0.625,0.525,0.9575,0.745,0.871875,0.4828125,0.9125,0.75,0.9925,0.9,0.97265625,0.8390625
0.875,0.875,0.98,0.805,0.96875,0.74375,0.7125,0.5,0.9575,0.695,0.853125,0.540625,0.9625,0.775,0.99,0.865,0.9546875,0.8328125
0.8625,0.85,0.9975,0.89,0.959375,0.7796875,0.6375,0.475,0.92,0.735,0.871875,0.5453125,0.9625,0.9,0.995,0.895,0.95078125,0.8421875
0.9625,0.975,0.99,0.875,0.96796875,0.740625,0.65,0.375,0.9425,0.685,0.83828125,0.5265625,0.95,0.95,0.9775,0.905,0.978125,0.89375
0.9625,0.825,0.9875,0.855,0.96796875,0.7953125,0.6625,0.5,0.9575,0.695,0.85234375,0.5625,0.9375,0.9,0.98,0.85,0.9578125,0.85625
1,0.875,0.995,0.87,0.97421875,0.7703125,0.625,0.525,0.9175,0.665,0.86796875,0.571875,0.9375,0.975,0.98,0.87,0.97578125,0.825
0.9875,0.85,0.9875,0.855,0.97109375,0.80625,0.6,0.475,0.955,0.685,0.8890625,0.546875,0.85,0.85,0.99,0.845,0.965625,0.8671875
0.9875,0.825,0.9925,0.88,0.96015625,0.778125,0.675,0.5,0.9675,0.745,0.84296875,0.60625,0.9125,0.975,0.9925,0.86,0.965625,0.8671875
0.9625,0.925,1,0.905,0.96015625,0.7515625,0.6875,0.45,0.98,0.69,0.86015625,0.5875,0.8875,0.95,0.9925,0.915,0.97734375,0.8734375
0.975,0.9,1,0.835,0.9578125,0.7796875,0.6625,0.45,0.9525,0.705,0.86953125,0.5609375,0.9625,0.95,0.9925,0.88,0.975,0.8390625
0.9125,0.875,0.995,0.865,0.9515625,0.7703125,0.7,0.4,0.9825,0.765,0.8734375,0.528125,0.95,0.95,0.9925,0.795,0.98125,0.8421875
0.9875,0.875,1,0.85,0.965625,0.7890625,0.675,0.475,0.975,0.775,0.86796875,0.534375,0.925,0.875,0.985,0.88,0.98515625,0.8484375
0.9375,0.975,1,0.905,0.971875,0.7625,0.6625,0.5,0.9725,0.745,0.865625,0.578125,0.9375,0.875,0.995,0.885,0.96875,0.8859375
0.975,0.85,0.9975,0.865,0.9578125,0.759375,0.7375,0.625,0.97,0.725,0.86484375,0.5890625,0.9625,0.9,0.9875,0.89,0.9859375,0.8625
