,Unnamed: 0,event,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity,cut_mean,speed_mean,space_max,space_mean
60,60,1,0,1,2,1,1,0,0,1,0,0,1,1,0,1.0,0.0,1.0,0.0
61,61,2,0,1,2,1,1,0,0,1,0,0,1,1,0,2.0,0.0,2.0,0.0
62,62,3,0,1,2,1,1,0,0,1,0,0,1,1,0,1.0,0.0,0.0,0.0
63,63,4,0,1,2,1,1,0,0,1,0,0,1,1,0,2.0,1.0,1.0,0.0
64,64,1,0,0,2,2,1,1,1,0,0,1,0,0,1,3.0,3.0,3.0,3.0
65,65,2,0,0,2,2,1,1,1,0,0,1,0,0,1,3.0,2.0,3.0,1.0
66,66,3,0,0,2,2,1,1,1,0,0,1,0,0,1,3.0,3.0,2.0,2.0
67,67,4,0,0,2,2,1,1,1,0,0,1,0,0,1,3.0,3.0,3.0,3.0
68,68,1,1,0,1,0,1,0,1,1,1,1,1,1,0,2.0,2.0,2.0,1.0
69,69,2,1,0,1,0,1,0,1,1,1,1,1,1,0,1.0,2.0,2.0,0.0
70,70,3,1,0,1,0,1,0,1,1,1,1,1,1,0,2.0,2.0,1.0,1.0
71,71,4,1,0,1,0,1,0,1,1,1,1,1,1,0,2.0,3.0,2.0,1.0
72,72,1,1,0,2,2,1,1,0,0,0,0,0,1,0,3.0,2.0,3.0,3.0
73,73,2,1,0,2,2,1,1,0,0,0,0,0,1,0,3.0,2.0,3.0,3.0
74,74,3,1,0,2,2,1,1,0,0,0,0,0,1,0,3.0,2.0,3.0,3.0
75,75,4,1,0,2,2,1,1,0,0,0,0,0,1,0,3.0,2.0,3.0,3.0
76,76,1,0,1,1,2,1,1,1,0,1,1,0,1,0,2.0,2.0,0.0,0.0
77,77,2,0,1,1,2,1,1,1,0,1,1,0,1,0,2.0,2.0,0.0,0.0
78,78,3,0,1,1,2,1,1,1,0,1,1,0,1,0,2.0,2.0,0.0,0.0
79,79,4,0,1,1,2,1,1,1,0,1,1,0,1,0,2.0,2.0,0.0,0.0
80,80,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2.0,2.0,2.0,1.0
81,81,2,1,1,1,1,1,1,1,0,1,1,1,0,1,3.0,1.0,2.0,0.0
82,82,3,1,1,1,1,1,1,1,0,1,1,1,0,1,2.0,1.0,0.0,1.0
83,83,4,1,1,1,1,1,1,1,0,1,1,1,0,1,3.0,1.0,1.0,2.0
84,84,1,1,1,1,0,1,0,0,1,1,1,1,1,0,2.0,1.0,1.0,2.0
85,85,2,1,1,1,0,1,0,0,1,1,1,1,1,0,2.0,1.0,1.0,1.0
86,86,3,1,1,1,0,1,0,0,1,1,1,1,1,0,2.0,2.0,1.0,1.0
87,87,4,1,1,1,0,1,0,0,1,1,1,1,1,0,2.0,1.0,1.0,1.0
88,88,1,0,1,3,2,1,1,0,0,1,1,0,0,0,2.0,2.0,1.0,1.0
89,89,2,0,1,3,2,1,1,0,0,1,1,0,0,0,2.0,1.0,1.0,0.0
90,90,3,0,1,3,2,1,1,0,0,1,1,0,0,0,1.0,1.0,1.0,1.0
91,91,4,0,1,3,2,1,1,0,0,1,1,0,0,0,2.0,1.0,1.0,0.0
92,92,1,0,0,2,1,1,1,0,0,1,1,1,1,1,1.0,1.0,0.0,0.0
93,93,2,0,0,2,1,1,1,0,0,1,1,1,1,1,1.0,1.0,0.0,0.0
94,94,3,0,0,2,1,1,1,0,0,1,1,1,1,1,2.0,2.0,0.0,0.0
95,95,4,0,0,2,1,1,1,0,0,1,1,1,1,1,1.0,1.0,0.0,0.0
96,96,1,0,0,2,1,1,0,1,0,0,0,0,1,0,1.0,1.0,0.0,1.0
